Finnish;English;Hungarian
Vaatteet;Clothes;Ruházat
aamutakki;Dressing gown;(reggeli) Fürdőköpeny
alushame;Petticoat;Alsószoknya
alushousut;Underpants;Alsónadrág
aluspaita;Undershirt;Alapruha (felső)
alusvaatteet;Underwear;Fehérnemű
anorakki;Anorak;Anorák
bikinit;Bikini;Bikini
bleiseri;Blazer;Blézer
bokserit;Boxershorts;Boxernadrág
esiliina / essu;Apron;Kötény
farkkupaita;Jeans shirt;Farmering
farkut;Jeans;Farmernadrág
farmarit;Blue jeans;Kék farmer
frakki;Tailcoat;Frakk
hame;Skirt;Szoknya
hiihtohousut;Ski trousers;Sí nadrág
housupuku;Trouser suit;Nadrágkosztüm
housut;Pants;Nadrág
huppari;Hoodie;Kapucnis pulóver
iltapuku;Evening gown;Estélyi ruha
jakku;Jacket;Blézer (felső)
jakkupuku;Two piece dress and jacket;Kétrészes ruha és blézer
kauluspaita;Button-up shirt;Gombos ing
kesämekko;Summer dress;Nyári ruha
korsetti;Corset;Fűző
kylpytakki;Bathrobe;Fürdőköpeny
liivi;Waistcoat, vest;Mellény
lyhyet housut;Short pants;Rövid nadrág
mekko;Dress;Ruha
minihame;Mini skirt;Miniszoknya
mokkajakku;Suede jacket;Bőrkabát (velúr)
mokkatakki;Suede coat;Velúrkabát
nahkatakki;Leather jacket;Bőrkabát
neuletakki, villatakki;Cardigan;Kardigán
paita;Shirt;Ing
pikkuhousut;Panties;Női alsónadrág
polvisukat;Knee socks;Térdzokni
poolopaita;Turtle neck;Garbatyú pulóver
puku;Suit;Öltöny
pusero;Blouse;Blúz
pyjama;Pajamas;Pizsama
päällystakki;Overcoat;felső kabát
rintaliivit;Bra;Melltartó
sadetakki;Raincoat;Esőkabát
solmio;Tie;Nyakkendő
shortsit;Shorts;Rövidnadrág
stoola;Stole;Sál (stóla)
sukat;Socks;Zokni
sukkahousut;Tights;Harisnya
suojahaalari;Coverall;Munkaruházat (egyrészes)
takki;Coat;Kabát
toppatakki;Quilted jacket;Steppelt dzseki
toppi;Top;Felső
tuulipuku;Windbreaker;Szélkabát
T-paita;T-shirt;Póló
tunika;Tunic;Tunika
turkistakki;Fur jacket;Prémkabát (dzseki)
turkki;Fur coat;Prémkabát
tuulipusero;Windcheater;Szélpulóver
työvaatteet;Work clothes;Munkaruha
uimamyssy;Bathing cap;Fürdősapka
uimahousut;Bathing trunks;Fürdőnadrág
uimapuku;Swimsuit;Fürdőruha
verryttelypuku;Sweatsuit;Melegítőruha
villapaita, villapusero, neulepusero;Sweater;Pulóver
virkapuku;Uniform;Egyenruha
yöpaita;Nightgown;Hálóing
yöpuku;Night clothes;Hálóruha
äitiyshousut;Maternity pants;Terhesnadrág
Asusteet;Accessories;Kiegészítők
hartiahuivi;Shawl;Vállkendő
hattu;Hat;Kalap
hiussolki;Hair clip;Hajcsat
huivi;(neck)Scarf;Sál
kaulakoru;Necklace;Nyaklánc
kaulaliina;Scarf;Nyaksál
kihlasormus;Engagement ring;Eljegyzési gyűrű
korvakorut;Earrings;Fülbevaló
käsineet;Gloves;Kesztyű
käsilaukku;Hand bag;Kézitáska
lippalakki;Cap;Sapka
lippis;Cap (spoken);Sapkás sapka
myssy;(made) Cap;házilag kötött sapka
nenäliina;Handkerchief;Zsebkendő
pipo;Woolly hat, beanie;Kötött sapka
rannekello;Watch;Óra
rannerengas;Bracelet;Karkötő
sormus;Ring;Gyűrű
olkihattu;Straw hat;Szalmakalap
päähuivi;Head scarf;Fejkendő
vihkisormus;Wedding ring;Karikagyűrű
vyö;Belt;Öv
Osat;Parts;Részek
hakaneula;Safety pin;Biztosítótű
hiha;Sleeve;Ujj
hihaton;Sleeveless;Ujjatlan
huppu;Hood;Kapucni
kalvosin;Cuff;Mandzsetta
kaula-aukko;Neckline;Nyakkivágás
kaulus;Collar;Gallér
kengännauhat;Shoelaces;Cipőfűző
lahje;Pants' leg;Nadrágszár
nappi;Button;Gomb
sauma;Seam;Varrás
tarranauha;Velcro;Ragasztószalag (tépőzár)
tasku;Pocket;Zseb
vetoketju;Zipper;Cipzár
vuori;Inside lining;Bélés
Materiaalit;Materials;Anyagok
kashmir;Cashmere;Kasmír
keinokuitu;Synthetic fibre;Műszál
mohair;Mohair;Mohair
nahka;Leather;Bőr
pellava;Linen;Len
pitsi;Lace;Csipke
puuvilla;Cotton;Pamut
sametti;Velvet;Bársony
silkki;Silk;Selyem
turkis;Fur;Prém
villa;Wool;Gyapjú
Kuviot;Patterns;Minták
yksivärinen;One color;Egyszínű
raidallinen;Striped;Csíkos
ruudullinen;Checkered;Kockás
kuviollinen;Patterned;Mintás
pilkullinen;Dotted;Pöttyös
