Finnish;English;Hungarian
Sydneyn oopperatalo;Sydney Opera House;Sydney Operaház
Dionysoksen teatteri;Theatre of Dionysus;Dionüszosz Színháza
Mount Wilsonin observatorio;Mount Wilson Observatory;Mount Wilson Obszervatórium
Kennedyn avaruuskeskus;Kennedy Space Center;Kennedy Űrközpont
Halikarnassoksen mausoleumi;Mausoleum at Halicarnassus;Halikarnasszoszi Mauzóleum
Artemiin temppeli;Temple of Artemis;Artemisz Temploma
Karnakin temppeli;Karnak Temple Complex;Karnaki Templomkomplexum
Luxorin temppeli;Luxor Temple;Luxori Templom
Sulttaani Ahmedin moskeija;Sultan Ahmed Mosque;I. Ahmed Szultán Mecsetje
Djennén suurmoskeija;Great Mosque of Djenné;Djenné Nagymecset
Neuschwansteinin linna;Neuschwanstein Castle;Neuschwansteini Kastély
Bratislavan linna;Bratislava Castle;Pozsonyi Vár
Schönbrunnin linna;Schönbrunn Palace;Schönbrunni Kastély
Chambordin linna;Château de Chambord;Chambord Kastély
Malborkin linna;Malbork Castle;Malborki Vár
Diocletianuksen palatsi;Diocletian's Palace;Diocletianus Palotája
Versailles'n palatsi;Palace of Versailles;Versailles-i Palota
Topkapin palatsi;Topkapi Palace;Topkapi Palota
Notre-Damen katedraali;Notre-Dame de Paris;Notre-Dame Székesegyház
Chartresin katedraali;Chartres Cathedral;Chartres-i Székesegyház
Aachenin tuomiokirkko;Aachen Cathedral;Aacheni Székesegyház
Lalibelan kalliokirkot;Rock-hewn Churches of Lalibela;Lalibela Sziklába Vágott Templomai
Pyhän Vasilin katedraali;Saint Basil's Cathedral;Szent Bazil Katedrális
Kölnin tuomiokirkko;Cologne Cathedral;Kölni Székesegyház
Shwedagonin pagodi;Shwedagon Pagoda;Shwedagon Pagoda
Wieliczkan suolakaivos;Wieliczka Salt Mine;Wieliczka-i Sóbánya
Leshanin jättiläisbuddha;Leshan Giant Buddha;Leshan Óriás Buddha
Brandenburgin portti;Brandenburg Gate;Brandenburgi Kapu
Meidan Emam;Naqsh-e Jahan Square;Imám tér (Iszfahán)
Moskovan Kreml;Moscow Kremlin;Moszkvai Kreml
Pisan torni;Leaning Tower of Pisa;Pisai Ferde Torony
Kheopsin pyramidi;Great Pyramid of Giza;Gízai Nagy Piramis
Golden Gaten silta;Golden Gate Bridge;Golden Gate Híd
Kiinan muuri;Great Wall of China;Kínai Nagy Fal
Babylonin riippuvat puutarhat;Hanging Gardens of Babylon;Babiloni Függőkertek
Rio de Janeiron Kristus-patsas;Christ the Redeemer;Rio de Janeirói Megváltó Krisztus Szobor
Zeuksen kuvapatsas Olympiassa;Statue of Zeus at Olympia;Zeusz Szobra Olümpiában
Bayeux'n seinävaate;Bayeux Tapestry;Bayeux-i Faliszövet
Victorian putoukset;Victoria Falls;Victoria-vízesés
Iguassun putoukset;Iguazu Falls;Iguazú-vízesés
Angelin putoukset;Angel Falls;Angel-vízesés
Niagaran putoukset;Niagara Falls;Niagará-vízesés
Panaman kanava;Panama Canal;Panamai Csatorna
Hooverin pato;Hoover Dam;Hoover-gát
Bryce Canyonin kansallispuisto;Bryce Canyon National Park;Bryce Canyon Nemzeti Park
Carlsbad Cavernsin kansallispuisto;Carlsbad Caverns National Park;Carlsbad-barlangok Nemzeti Parkja
Yellowstonen kansallispuisto;Yellowstone National Park;Yellowstone Nemzeti Park
Torres del Painen kansallispuisto;Torres del Paine National Park;Torres del Paine Nemzeti Park
Rhodoksen kolossi;Colossus of Rhodes;Rodoszi Kolosszus
Faroksen majakka;Lighthouse of Alexandria;Alexandriai Világítótorony
Gizan sfinksi;Great Sphinx of Giza;Gízai Nagy Szfinx
Eiffel-torni;Eiffel Tower;Eiffel-torony
Terrakotta-armeija;Terracotta Army;Terrakotta Hadsereg
Pergamon-museo;Pergamon Museum;Pergamoni Múzeum
Bolšoi-teatteri;Bolshoi Theatre;Bolsoj Színház
Mahabodhi-temppeli;Mahabodhi Temple;Mahabodhi Templom
Guggenheim-museo;Guggenheim Museum Bilbao;Guggenheim Múzeum Bilbao
Mogao-luolat;Mogao Caves;Mogao-barlangok
Alhambra;Alhambra;Alhambra
Angkor Wat;Angkor Wat;Angkor Wat
Atomium;Atomium;Atomium
Big Ben;Big Ben;Big Ben
Borobudur;Borobudur;Borobudur
British Museum;British Museum;Brit Múzeum
Burj Khalifa;Burj Khalifa;Burj Khalifa
CN Tower;CN Tower;CN Torony
Château Frontenac;Château Frontenac;Frontenac Kastély
Cliffs of Moher;Cliffs of Moher;Moher-i Sziklák
Colosseum;Colosseum;Colosseum
Djemaa el-Fna;Jemaa el-Fnaa;Djemaa el-Fna tér
Empire State Building;Empire State Building;Empire State Felhőkarcoló
Gateway Arch;Gateway Arch;Gateway Ív
Giant's Causeway;Giant's Causeway;Óriások Útja
Grand Canyon;Grand Canyon;Grand Canyon
Hagia Sofia;Hagia Sophia;Hagia Szófia
Khardung La;Khardung La;Khardung La-hágó
Lotte World Tower;Lotte World Tower;Lotte World Torony
Machu Picchu;Machu Picchu;Machu Picchu
