Finnish;English;Hungarian
Mitä kuuluu?;How are you?;Hogy vagy?
Ihan hyvää / hyvin, kiitos.;Pretty good, thanks;Egészen jól, köszönöm.
Hyvää vain, kiitos.;Just fine, thanks;Csak jól, köszönöm.
Hyvää kuuluu.;I'm fine.;Jól vagyok.
Miten menee?;How is it going?;Hogy megy?
Hyvin / Hyvin, kiitos.;Fine, thanks;Jól, köszönöm.
Mitä äidille kuuluu?;How's mother?;Hogy van az édesanyád?
Mitä miehellesi kuuluu?;How is your husband?;Hogy van a férjed?
Mitä Antille kuuluu?;How's Antti?;Hogy van Antti?
Miten sinulla menee?;How are you doing?;Hogy megy neked?
Miten äidillä menee?;How is mother doing?;Hogy megy az anyukádnak?
Miten miehelläsi menee?;How's your husband doing?;Hogy megy a férjednek?
Miten Antilla menee?;How's Antti doing?;Hogy megy Anttinek?
Hyvää, entä sinulle?;Good, what about you?;Jól, és te?
Hyvin, entä sinulla?;Well, what about you?;Jól, és neked?
Hyvin, miten teillä?;Good, what about you (plural)?;Jól, és nálatok?
Miten sinulla on mennyt?;How have you been?;Hogy telt az időd?
Miten menee koulussa?;How are things at school?;Hogy mennek a dolgok az iskolában?
Miten menee töissä?;How are things at work?;Hogy mennek a dolgok a munkahelyen?
Miten menee kotona?;How are things at home?;Hogy mennek a dolgok otthon?
Kuinka pyyhkii?;What's up? (informal);Mi újság?
Kuinka hurisee?;How's it going? (informal);Hogy zúg?
Kuis sul hurisee?;What's up with you (informal);Mi újság nálad?
Mitä jätkä?;What's up dude? (informal);Mi újság haver?
Mitäs jätkät?;What's up my dudes? (informal);Mi újság srácok?
Mitä jätkä meinaa?;What are you up to? (informal);Mit csinálsz haver?
Mitä mies?;What's up man? (informal);Mi újság tesó?
No, mitä jätkä. Kiva nähdä pitkästä aikaa!;It's been a while!;Jó látni hosszú idő után!
Ihan hyvää, perusarkea ja koulujuttuja.;Basic everyday life and school stuff.;A hétköznapi élet és iskolai dolgok.
Hyvää kuuluu! Olen menossa elokuviin.;Going to the movies.;Moziba megyek.
Ihan hyvää, just töistä tulin.;Just left work.;Épp most jöttem a munkából.
Hyvää! Kesäloman viimeinen viikko menossa.;Last week of summer vacation.;A nyári szünet utolsó hete van.
Hyvää kuuluu, paitsi töissä on hieman kiirettä.;Work is a little hectic.;A munka kicsit hektikus.
Ihan jees, tätä normaalia perhe-elämää.;Normal family life.;Ez a normális családi élet.
Ihan hyvää, varattiin just kesämatka.;Just booked a summer trip.;Épp most foglaltunk egy nyaralást.
Ei kovin hyvää. Olen kipeä.;Not that good. I'm sick.;Nem túl jól. Beteg vagyok.
