Finnish;English;Hungarian
banaani;banana;banán
baari;bar;kocsma
bussi;bus;busz
elefantti;elephant;elefánt
energia;energy;energia
faksi;fax;fax
filmi;film;film
galleria;gallery;galéria
gangsteri;gangster;gangszter
geologia;geology;geológia
gramma;gram;gramm
grilli;grill;grill
halli;hall;csarnok
helikopteri;helicopter;helikopter
hotelli;hotel;hotel
idea;idea;ötlet
kaakao;cacao;kakaó
kaaos;chaos;káosz
kahvi;coffee;kávé
kamera;camera;kamera
kenguru;kangaroo;kenguru
kirahvi;giraffe;zsiráf
kitara;guitar;gitár
konjakki;cognac;konyak
konsertti;concert;koncert
krokotiili;crocodile;krokodil
lamppu;lamp;lámpa
meloni;melon;dinnye
metri;meter;méter
metro;metro;metró
ministeri;minister;miniszter
museo;museum;múzeum
musiikki;music;zene
neutraali;neutral;semleges
normaali;normal;normális
oliivi;olive;olíva
ooppera;opera;opera
pankki;bank;bank
paperi;paper;papír
piano;piano;zongora
pitsa;pizza;pizza
presidentti;president;elnök
professori;professor;professzor
salaatti;salad;saláta
sampoo;shampoo;sampon
pubi;pub;pub
radio;radio;rádió
siideri;cider;almabor
sohva;sofa;kanapé
sokeri;sugar;cukor
taksi;taxi;taxi
tee;tea;tea
televisio;television;televízió
tomaatti;tomato;paradicsom
traktori;tractor;traktor
trumpetti;trumpet;harsona
tupakka;tobacco;dohány
video;video;videó
viini;wine;bor
viski;whiskey;whisky
viulu;violin;hegedű
turisti;tourist;turista
Häneltä meni sormi suuhun.;(His finger went into his mouth.) He didn't know what to do.;Nem tudta, mit tegyen.
Nyt pitää ottaa järki käteen.;(Now we have to take the wits in the hand.) Now we have to be smart.;Észhez kell térni / okosan kell cselekedni.
Hän otti lusikan kauniiseen käteen.;(She took the spoon in a beautiful hand.) She understood the situation and fixed her mistake.;Megértette a helyzetet és kijavította a hibáját.
Häntä pestiin kiireestä kantapäähän.;(She was washed from the top of the head to the heel.) She was washed from top to toe.;Tetőtől talpig megmosták.
Tiina juoksi kieli vyön alla.;(Tiina ran with the tongue underneath the belt.) Tiina was in a great hurry.;Tiina nagyon sietett.
