Finnish;English;Hungarian
talvi;winter;tél
vuodenaika;season;évszak
kylmä;cold;hideg
lumi;snow;hó
jää;ice;jég
pipo;winter hat;téli sapka
kaulaliina;scarf;sál
lapaset;mittens;kötött kesztyű
käsineet;gloves;kesztyű
huopatossut;felt boots;filccsizma
villasukat;wool socks;gyapjúzokni
talvikengät;winter boots;téli csizma
pulkka;sled (kids);szánkó
kelkka;sled, sledge;szán
sukset;skis;sílécek
luistimet;iceskates;korcsolya
latu;ski trail;sípálya
moottorikelkka;snowmobile;motorosszán
lumiukko;snowman;hóember
talvirenkaat;winter tires;téli gumiabroncsok
nastarenkaat;studded tires;szöges gumi
jääraappa;ice scraper;jégkaparó
avanto;hole in the ice;jéglyuk
hanki, lumipeite;blanket of snow;hótakaró
hankikanto;hard crust on snow;hókeményedés
huurre;rime;zúzmara
ikirouta;permafrost;örök fagy
jäähelmi;ice pearl;jéggyöngy
jääkide;ice crystal;jégkristály
jääkukka;flower-like pattern of frost on glass, arctic mesh;jégvirág
jääpuikko;icicle;jégcsap
kelirikko;frost heave;olvadásos útromlás
kelkkakeli;great weather for sledding;szánkózóidő
kuura;frost in the early morning;zúzmarás dér
loska;slush, half-melted snow / ice;latyak
lumihiutale;snowflake;hópehely
lumikide;snow crystal;hókristály
lumikinos, nietos;piled up snow, snowdrift;hótorlasz
lumivaippa;thick layer of snow;hópalást
lumivyöry;snow avalanche;lavina
musta jää;black ice;fekete jég
nuoska;wet, sticky snow, good for snowmen;tapadós hó (jó hóemberhez)
pakkanen;below zero, freezing;fagyos hideg
pälvi;snow-free ground area in spring;hófolt nélküli rész
pääkallokeli;dangerously slippery weather;tükörjég (veszélyes)
raekuuro;short but heavy hail storm;jégzápor
railo;a long crack in the ice;jéghasadék
revontulet;northern lights;sarki fény
routa;frozen ground surface;fagyott talaj
räntä;sleet, wet snowfall;ónos eső
sohjo;slush, wet snow;latyakos hó
sohjokeli, loskakeli;slushy road conditions;latyakos útviszonyok
suojasää;deep winter weather above freezing;olvadás
tuisku;high wind heavy snowfall;hófúvás
tykkilumi;artificial snow on ski slopes;műhó (sípályán)
tykkylumi;heavy snow that accumulates on branches;ágakon összegyűlt hó
umpihanki;thick, unbroken blanket of snow;mély hó
vitilumi;thin, freshly fallen snow;(friss)porhó
puuterilumi;thin, fresh snow;puha porhó
umpijää;ice thick enough to walk on;jégpáncél
sataa lunta;to snow;havazni
pyryttää;to snow heavily;hózáporozni
jäätyä;to freeze (water, road);megfagyni
huurtua;to frost over (windows);párásodni
sulaa;to melt;olvadni
kiristyä;to get even colder (frost);erősödni (a fagy)
lauhtua;to get less cold (weather);enyhülni
hellittää;to ease off (weather);csillapodni
routia;to freeze (roads);megfagyni (út)
nietostua, kinostua;to be blown into a pile;hótorlasz képződni
