Finnish;English
Ongelmia;Problems
varo!;watch out!
apua!;help!
tulipalo!;fire!
varas!;thief!
poliisi;police
ambulanssi;ambulance
vaara;danger
seis;stop
huomio!;attention!
rikki;broken
epäkunnossa;out of order
kielletty;forbidden (pic)
suljettu;closed
eksynyt;lost
mene pois!;go away!
en ymmärrä;I don't understand
Kohtelias;Polite
hei, moi;hello
anteeksi;sorry
kyllä, joo;yes (link)
ei;no (link)
kiitos;thank you
ei kiitos;no thank you
hetkinen;just a moment
ole hyvä;here you are
onneksi olkoon;congratulations
hauska tutustua;nice to meet you
Kylttejä;Signs
myydään;for sale
vuokrataan;for rent
varattu;reserved
vapaa;free
ilmainen;free of charge (pic)
sisään;entrance “in” (pic)
ulos;exit “out”
varauloskäynti;emergency exit
ei sisäänkäyntiä;no entry
ale;sales
hissi;elevator (pic)
rullaportaat;escalator
taksi;taxi
avoinna ma-pe;open Mon-Fri
suljettu la-su;closed Sat-Sun
vedä;pull
työnnä;push
loppuunmyynti;final sales
loppuunmyyty;sold out
vuoronumero;queue number
WC N;ladies bathroom
WC M;men's bathroom
tervetuloa;welcome
läpikulku kielletty;no thoroughfare
Kysymyksiä;Questions
Missä hotelli Sokos on?;Where is the Sokos hotel?
Missä Itsenäisyydenkatu on?;Where is the street Itsenäisyydenkatu?
Missä sairaala on?;Where is the hospital?
Missä vessa on?;Where is the toilet?
Missä naisten vessa on?;Where is the ladies toilet?
Missä miesten vessa on?;Where is the men's toilet?
Entä muuta? (in the store);Do you want anything else?
Kuittia? (in the store);Do you want the receipt?
Mitä saisi olla? (in the store);What would you like?
Minkämaalainen sinä olet?;What nationality are you?
Puhutko englantia?;Do you speak English?
Voisitko puhua englantia?;Could you speak English?
Puhuuko kukaan täällä englantia?;Does anyone speak English here?
Voisitko kirjoittaa sen ylös?;Could you write that down?
Voisitko toistaa?;Could you please repeat that?
Voisitko auttaa minua?;Could you help me?
Mitä kuuluu?;How are you?
Oletko kunnossa?;Are you okay?
Onko tämä paikka vapaa?;Is this spot free?
Missä saan tupakoida?;Where am I allowed to smoke?
Saisinko vettä?;Could I get some water?
Paljonko se maksaa?;How much does it cost?
