Finnish;English;Hungarian
Mitä kello on?;What time is it?;Mennyi az idő?
Paljonko kello on?;What is the time?;Mennyi az óra?
mihin aikaan?;at what time?;mikor (időben)?
milloin?;when?;mikor?
aika;time;idő
rannekello;watch;karóra
seinäkello;wall clock;falióra
herätyskello;alarm clock;ébresztőóra
ajoissa;on time;időben
myöhässä;late;késve
etuajassa;early;korán
ehtiä;to have the time;eléred az időt
aamulla;in the morning;reggel
Kello on kahdeksan aamulla.;It's 8 am.;8 óra van reggel
aamupäivällä;in the late morning;délelőtt
Kello on kymmenen aamupäivällä.;It's 10 am.;10 óra van délelőtt
iltapäivällä;in the afternoon;délután
Kello on kaksi iltapäivällä.;It's 2 pm.;2 óra van délután
illalla;in the evening;este
Kello on kahdeksan illalla.;It's 8 pm.;8 óra van este
yöllä;at night;éjszaka
Kello on kaksi yöllä.;It's 2 am.;2 óra van éjszaka
aamuyöllä;in the early morning;kora reggel
Kello on neljä aamuyöllä.;It's 4 am.;4 óra van kora reggel
Kello on tasan yksi.;It's exactly one o'clock. (klo 1.00 / 13.00);Pont egy óra van
Kello on tasan kaksitoista.;It's exactly twelve o'clock. (klo 12.00 / 00.00);Pont tizenkettő van
Kello on puoli kolme.;It's half past two. (klo 2.30 / 14.30);Kettő fél van
Kello on puoli kuusi.;It's half past five. (klo 5.30 / 17.30);Öt fél van
Kello on viisi (minuuttia) yli kaksi.;It's five (minutes) past two. (klo 2.05 / 14.05);Öt perc múlt kettő
Kello on kaksikymmentä (minuuttia) yli viisi.;It's twenty (minutes) past five. (klo 5.20 / 17.20);Húsz perc múlt öt
Kello on viisi (minuuttia) vailla kaksi.;It's five (minutes) before two. (klo 1.55 / 13.55);Öt perc múlva kettő
Kello on kymmenen (minuuttia) vailla kymmenen.;It's ten (minutes) before ten. (klo 9.50 / 21.50);Tíz perc múlva tíz
kello yksi / yhdeltä;one o'clock / at one;egy óra / egykor
Herään joka yö yhdeltä.;I wake up every night at one.;Minden éjjel egykor kelek fel
kello kaksi / kahdelta;two o'clock / at two;kettő óra / kétkor
Koulu loppuu kahdelta.;School ends at two.;Az iskola kétkor ér véget
kello kolme / kolmelta;three o'clock / at three;három óra / háromkor
Tapaan Arin kolmelta.;I meet Ari at three.;Találkozom Arival háromkor
kello neljä / neljältä;four o'clock / at four;négy óra / négykor
Juon kahvia neljältä.;I drink coffee at four.;Négykor kávét iszom
kello viisi / viideltä;five o'clock / at five;öt óra / ötkor
Sarja alkaa viideltä.;The show starts at five.;Ötkor kezdődik a sorozat
kello kuusi / kuudelta;six o'clock / at six;hat óra / hatkor
Minulla on tapaaminen kuudelta.;I have a meeting at six.;Hatkor van találkozóm
kello seitsemän / seitsemältä;seven o'clock / at seven;hét óra / hétkor
Heräsin seitsemältä.;I woke up at seven.;Hétkor ébredtem
kello kahdeksan / kahdeksalta;eight o'clock / at eight;nyolc óra / nyolckor
Käyn suihkussa kahdeksalta.;I take a shower at eight.;Nyolckor zuhanyzom
kello yhdeksän / yhdeksältä;nine o'clock / at nine;kilenc óra / kilenckor
Syön aamupalaa yhdeksältä.;I eat breakfast at nine.;Kilenckor reggelizek
kello kymmenen / kymmeneltä;ten o'clock / at ten;tíz óra / tízkor
Kauppa aukeaa kymmeneltä.;The shop opens at ten.;Tízkor nyit a bolt
kello yksitoista / yhdeltätoista;eleven o'clock / at eleven;tizenegy óra / tizenegykor
Syön brunssia yhdeltätoista.;I eat brunch at eleven.;Tizenegykor brunch-olok
kello kaksitoista / kahdeltatoista;twelve o'clock / at twelve;tizenkettő óra / tizenkettőkor
Nukun jo kahdeltatoista.;I'm already sleeping at twelve.;Tizenkettőkor már alszom
kahdeksan nolla nolla;8.00;nyolc nulla nulla
kahdeksan kolmekymmentä;8.30;nyolc harminc
seitsemän neljäkymmentä;7.40;hét negyven
seitsemän neljäkymmentäviisi;7.45;hét negyvenöt
kaksitoista nolla viisi;12.05;tizenkettő nulla öt
neljätoista viisitoista;14.15;tizennégy tizenöt
seitsemäntoista kaksikymmentä;17.20;tizenhét húsz
kaksikymmentä viisikymmentäviisi;20.55;húsz ötvenöt
