Finnish;English
vihannes, kasvis;vegetable
Finnish;English
bataatti;sweet potato
brysselinkaali;brussels sprouts
endiivi;endive
fenkoli;fennel
herne;pea
jäävuorisalaatti;iceberg lettuce
kaali;cabbage
keräkaali;headed cabbage
kesäkurpitsa;zucchini
kiinankaali;Chinese cabbage
kikherne;chickpea
kirsikkatomaatti;cherry tomato
kukkakaali;cauliflower
kurkku;cucumber
kurpitsa;pumpkin
lanttu;rutabaga
lehtisalaatti;lettuce
maa-artisokka;Jerusalem artichoke
maissi;corn
munakoiso;eggplant
Finnish;English
nauris;turnip
okra;ocher
palsternakka;parsnip
paprika;bell pepper
papu;bean
parsa;asparagus
parsakaali;broccoli
peruna;potato
pinaatti;spinach
porkkana;carrot
punajuuri;beetroot
punakaali;red cabbage
purjo;leek
raparperi;rhubarb
retiisi;radish
ruusukaali;brussels sprouts
selleri;celery
sikuri;chicory
tomaatti;tomato
valkosipuli;garlic
Finnish;English
Syön paljon vihanneksia.;I eat a lot of vegetables.
On tärkeää syödä paljon kasviksia.;It’s important to eat a lot of vegetables.
Syön paljon kaalia.;I eat a lot of cabbage.
Syön usein salaattia.;I often eat lettuce/salad.
Tänään syön kukkakaalia.;Todat I eat cauliflower.
Suomalaiset syövät paljon perunoita.;Finns eat a lot of potatoes.
Tykkään valkosipulista.;I like garlic.
En pidä kurkusta.;I don’t like cucumber.
