Finnish;English;Hungarian
kirjakieli;written Finnish;Írott finn
puhekieli;spoken Finnish;Beszélt finn
murre;dialect;Tájszólás
liputuspäivä;flag day;Zászlónap
kääntäjä;translator;Fordító
kääntää;to translate;Fordítani
käännös;translation;Fordítás
käännöslaina;direct translation;Szószerinti fordítás
lainasana;loanword;Kölcsönszó
omaperäinen sana;original word;Eredeti szó
aapinen;ABC book;Ábécés könyv
julkaista;to publish;Kiadni
keksiä uusia sanoja;to invent new words;Új szavakat kitalálni
kirjallisuus;literature;Irodalom
lainata sanoja;to borrow words;Szavakat kölcsönözni
liputtaa;to fly the national flag;Zászlót kitűzni
lukutaidoton;illiterate;Írástudatlan
Raamattu;the Bible;Biblia
uskonnollinen;religious;Vallásos
