Finnish;English;Hungarian
syntymäpäivä;birthday;Születésnap
synttärit;birthday (party) (spoken);Szülinapi buli
syntymäpäivät;birthday party;Születésnapi ünnepség
synttärijuhla;birthday party (spoken);Szülinapi party
syntymäpäivälahja;birthday present;Születésnapi ajándék
synttärilahja;birthday present (spoken);Szülinapi ajándék
lahjakortti;gift certificate (pic);Ajándékkártya
päivänsankari;"hero of the day" (birthday boy / girl);A nap hőse (születésnapos)
syntymäpäiväkortti;birthday card;Születésnapi képeslap
syntymäpäiväkakku;birthday cake;Születésnapi torta
juhlatunnelma;festive atmosphere;Ünnepi hangulat
kutsukortti;invitation;Meghívó
paljon onnea vaan...;"happy birthday to you" (lyrics);Boldog születésnapot (dalszöveg)
onnitella;to congratulate;Gratulálni
juhlia;to celebrate;Ünnepelni
kutsua vieraita kylään;to invite people over;Vendégeket hívni
täyttää pyöreitä vuosia;to turn 20, 30, 40 etc.;Kerek évfordulót ünnepelni
juhlia / viettää syntymäpäiväänsä;to celebrate one's birthday;A születésnapját ünnepelni
tarjota kakkukahvit;to offer cake and coffee;Tortát és kávét kínálni
puhaltaa kynttilät sammuksiin;to blow out the candles;Elfújni a gyertyákat
Milloin on sinun syntymäpäiväsi?;When is your birthday?;Mikor van a születésnapod?
Syntymäpäiväni on tammikuussa.;My birthday is in January.;A születésnapom januárban van.
Syntymäpäiväni on 17. tammikuuta.;My birthday is on the 17th of January.;A születésnapom január 17-én van.
Minulla on syntymäpäivä huomenna.;It's my birthday tomorrow.;Holnap van a születésnapom.
Kuinka monta vuotta täytät tänä vuonna?;How old will you be this year?;Hány éves leszel idén?
Kuinka monta vuotta tuli mittariin?;How many years are "on the meter"?;Hány év van a számlálón?
Täytän tänä vuonna 20.;I'll turn 20 this year.;Idén 20 éves leszek.
Täytän tänään 20.;I turn 20 today.;Ma töltöm a 20-at.
Täytin tänä vuonna 20.;I turned 20 this year.;Idén 20 éves lettem.
Olen juuri täyttänyt 22 vuotta.;I've just turned 22.;Épp most töltöttem be a 22-t.
Juhlin tänään 35-vuotispäivääni.;I'm celebrating my 35th birthday today.;Ma ünneplem a 35. születésnapomat.
Juhlin tänään synttäreitäni.;I'm celebrating my birthday today.;Ma ünneplem a születésnapomat.
Eilen tuli 33 vuotta mittariin.;I turned 33 years old yesterday.;Tegnap lettem 33 éves.
Antti täyttää pyöreitä vuosia.;Antti is turning e.g. 30 / 40 / 50.;Antti kerek évfordulót ünnepel.
Minulla tuli eilen tasaluvut täyteen.;I turned 30 / 40 / 50 yesterday.;Tegnap töltöttem be a kerek évet.
Onnea!;Congratulations!;Gratulálok!
Onnea / Onnittelut päivänsankarille!;Congratulations to the birthday boy / girl!;Boldog születésnapot a nap hősének!
Hyvää syntymäpäivää!;Happy birthday!;Boldog születésnapot!
Lämpimät syntymäpäiväonnittelut Matille!;Warm birthday congratulations to Matti!;Meleg születésnapi jókívánságok Matinak!
Hyvää 80-vuotissyntymäpäivää!;Happy 80th birthday!;Boldog 80. születésnapot!
Kiitos paljon onnitteluista!;Thanks so much for the congratulations!;Nagyon köszönöm a gratulációkat!
Tulisitteko juhlimaan synttäreitäni?;Would you come celebrate my birthday?;Eljönnél ünnepelni a születésnapomat?
Tuletko syntymäpäiväjuhliini?;Will you come to my birthday party?;Eljössz a születésnapi bulimra?
Tervetuloa juhlimaan / viettämään synttäreitäni!;Welcome to celebrate my birthday!;Üdvözöllek, gyere ünnepelni a születésnapomat!
Tervetuloa juhlimaan 50-vuotissyntymäpäivääni!;Welcome to celebrate my 50th birthday!;Üdvözöllek, gyere ünnepelni az 50. születésnapomat!
Tervetuloa 40-vuotissyntymäpäiville!;Welcome to my 40th birthday party!;Üdvözöllek a 40. születésnapi bulimra!
Tervetuloa synttäreilleni 17.1.!;Welcome to my birthday party Jan 17th!;Üdvözöllek a születésnapi bulimra január 17-én!
Tarjoan kakkukahvit.;I'm offering cake and coffee.;Tortát és kávét kínálok.
Tarjolla on pientä suolaista ja makeaa.;There will be some small sweet and savory snacks.;Lesznek kis édes és sós falatok.
Miten vuosi voi mennä näin äkkiä?;How can a year go this fast?;Hogyan telhet el egy év ilyen gyorsan?
Anteeksi, unohdin syntymäpäiväsi.;I'm sorry, I forgot your birthday.;Sajnálom, elfelejtettem a születésnapodat.
Tässä sinulle pieni lahja.;Here's a small gift for you.;Itt egy kis ajándék neked.
Ei sinun olisi tarvinnut!;You shouldn't have!;Nem kellett volna!
Syntymäpäiväkakussa on monta kynttilää.;There are many candles on the cake.;A születésnapi tortán sok gyertya van.
Pian on syytä juhlia.;Soon there will be reason to party.;Hamarosan lesz ok az ünneplésre.
80-vuotissyntymäpäiväjuhla pidetään kotona.;The 80th birthday party will be at home.;A 80. születésnapi buli otthon lesz.
Vietän syntymäpäivääni rennosti kotona.;I will spend my birthday casually at home.;Otthon, nyugodtan ünneplem a születésnapomat.
En enää juhli vuosien vaihtumista.;I don't celebrate birthdays anymore.;Már nem ünneplem a születésnapokat.
En tee synttäreistäni suurta numeroa.;I don't make a big deal out of my birthday.;Nem csinálok nagy ügyet a születésnapomból.
Juhlin vain pyöreitä vuosia.;I only celebrate "round years".;Csak a kerek évfordulókat ünneplem.
