Finnish;English;Hungarian
kihlaus;engagement;eljegyzés
vihkiäiset;wedding ceremony;esküvői szertartás
häät;wedding;esküvő
hääjuhla;wedding party;esküvői mulatság
kirkkohäät;church wedding;egyházi esküvő
siviilihäät;civil wedding;polgári esküvő
maistraatti;registry office;anyakönyvi hivatal
kristillinen avioliitto;Christian marriage;keresztény házasság
siviiliavioliitto;civil marriage;polgári házasság
esteettömyystodistus;clearance certificate;akadálymentességi igazolás
avioeste;wedding impediment;házassági akadály
avioliitto;marriage;házasság
avioelämä;married life;házassági élet
avioehto;prenup;házassági előírás
avioehtosopimus;marriage contract;házassági szerződés
avioero;divorce;válás
hääpäivä;wedding anniversary;házassági évforduló
hopeahäät;silver wedding (25 y.);ezüstlakodalom (25 év)
kultahäät;golden wedding (50 y.);aranylakodalom (50 év)
timanttihäät;diamond wedding (60 y.);gyémántlakodalom (60 év)
morsian;bride;menyasszony
sulhanen;groom;vőlegény
hääpari, vihkipari, morsiuspari;wedding couple;esküvői pár
aviomies;husband;férj
aviovaimo;wife;feleség
puoliso;spouse;házastárs
morsiusneito;bridesmaid;koszorúslány
kaaso;maid of honor;tanú (fő koszorúslány)
bestman;best man;vőfély
todistaja;witness;tanú
häävieraat, hääväki;wedding guests;esküvői vendégek
vieraat;guests;vendégek
hääseurue;wedding parties;esküvői kíséret
pappi;priest;pap
musta puku;black suit;fekete öltöny
hääpuku, häämekko;wedding dress;menyasszonyi, esküvői ruha
morsiuspuku;bridal gown;menyasszonyi ruha
vihkipuku;wedding gown;esküvői ruha
morsiushuntu;veil;fátyol
morsiuskimppu, morsiusvihko;bridal bouquet;menyasszonyi csokor
morsiuskruunu;bridal crown;menyasszonyi korona
hääkampaus;wedding hairdo;esküvői frizura
vihkisormus;engagement ring;eljegyzési gyűrű
hääsormus;wedding ring;karikagyűrű
hääbudjetti;wedding budget;esküvői költségvetés
hääjärjestelyt;wedding arrangements;esküvőszervezés
hääohjelma;wedding program;esküvői program
hääsuunnittelija;wedding planner;esküvőszervező
juhlapaikka;wedding venue;esküvői helyszín
juhlasali;reception hall;ünnepi terem
hääateria;wedding reception meal;esküvői lakoma
hääkakku;wedding cake;esküvői torta
pitopalvelu;catering service;vendéglátás
hääkutsu;wedding invitation;esküvői meghívó
häämusiikki;wedding music;esküvői zene
häätanssi;wedding dance;esküvői tánc
häävalssi;wedding waltz;esküvői keringő
puhe;speech;beszéd
hääkoristeet;wedding decorations;esküvői díszítés
hääkuva;wedding photograph;esküvői fénykép
häälahja;wedding present;esküvői ajándék
hääyö;wedding night;esküvői éj
häämatka;honeymoon;mézes hét
hääperinne;wedding tradition;esküvői hagyomány
polttarit;hen/stag party;legény-/lánybúcsú
juhannustaiat;midsummer magic;Szent Iván-napi varázslat
morsiamen luovutus;the walk down the isle;menyasszony átadása
sukkanauhan heitto;garter toss;harisnyakötő dobása
morsiamen ryöstö;robbery of the bride;menyasszony elrablása
hääkellot soivat;the wedding bells ring;szólalnak az esküvői harangok
kosia;to propose;megkérni a kezét
mennä kihloihin;to get engaged;eljegyzésre kerülni
olla kihloissa;to be engaged;eljegyzettnek lenni
haluta naimisiin;to want to get married;házasodni akar
mennä naimisiin, solmia avioliitto;to get married;megházasodni
mennä hyviin naimisiin;to be lucky to get such a good partner;szerencsés házasságot kötni
mennä toisiin naimisiin;to get married for the second time;másodszor házasodni
mennä uusiin naimisiin;to get married again;újra megházasodni
mennä avioon;to marry;házasságra lépni
astua avioon;to enter a marriage;belépni a házasságba
karata mennäkseen naimisiin;to elope;szökni házasság céljából
olla naimisissa / avioliitossa;to be married;házasnak ienni
olla aviossa jkn kanssa;to be married to someone;valakivel házasságban élni
kutsua vieraat;to invite the guests;meghívni a vendégeket
viettää häitä;to celebrate a wedding;esküvőt ünnepelni
olla häissä;to be at a wedding;esküvőn lenni
viettää häät perhepiirissä;to have the wedding with family only;családi körben tartani az esküvőt
pitää häät sisätiloissa;to have the wedding indoors;beltéri esküvőt tartani
suunnitella häitä;to plan the wedding;esküvő tervezése
laatia vieraslista;to create the guest list;vendéglista készítése
laatia hääbudjetti;to set up the wedding budget;esküvői költségvetés készítése
varata kirkko;to book the church;templom lefoglalása
lähettää hääkutsut;to send the wedding invitations;esküvői meghívók küldése
sovittaa morsiuspuku;to try on the wedding gown;menyasszonyi ruha felpróbálása
vaatia avioero;to demand a divorce;válást követelni
purkaa avioliitto;to terminate the marriage;házasság felbontása
erota;to divorce;elválni
