Finnish;English;Hungarian
Ihmisiä;People;Emberek
dramaturgi;dramaturge;dramaturg
elokuvaohjaaja;movie director;filmrendező
elokuvatuottaja;film producer;filmproducer
elokuvatähti;movie star;filmsztár
julkkis;celebrity;celebritás
kapellimestari;conductor;zenekarvezető (karmester)
koomikko;comedian;komikus
kriitikko;critic;kritikus
kuiskaaja;prompter;súgó
kuoro;choir;kórus
käsikirjoittaja;scriptwriter;forgatókönyvíró
laulaja;singer;énekes
lavastaja;set designer;díszlettervező
maskeeraaja;make-up artist;maszkmester (sminkes)
näyttelijä;actor;színész
näyttelijätär;actress;színésznő
näyttämömestari;stage manager;színpadmester
oopperalaulaja;opera singer;operai énekes
pukija;dresser;öltöztető
pukusuunnittelija;costume designer;jelmeztervező
puvustaja;costumier;jelmezkészítő
solisti;soloist;szólista (általános)
soololaulaja;soloist (sing);szólista (énekes)
säveltäjä;composer;zeneszerző
taiteilija;artist;művész
valaistusmestari;lighting manager;világosító mester
ääniteknikko;sound engineer;hangtechnikus
Paikkoja ja tarvikkeita;Places and equipment;Helyek és kellékek
elokuvateatteri;movie theater;mozi
esirippu;stage curtain;függöny
kamera;camera;kamera
katsomo;stand;nézőtér
koroke;podium;emelvény
kulissi;set;kulissza
käsiohjelma;program, handbill;műsorfüzet
lava;stage;színpad
lavaste;flat (background);díszlet
näyttämö;theater stage;színpad (színházi)
parrasvalo;footlight;színpadi lámpa (parázsfény)
permanto;floor, parterre;földszinti nézőtér
pukuhuone;dressing room;öltöző
teatteri;theater;színház
valaistus;lighting;világítás
valkokangas;the screen;vászon (vetítővászon)
valonheitin;floodlight;reflektor
valokeila;spotlight;fénynyaláb (spotfény)
Muita sanoja;Other words;Egyéb szavak
baletti;ballet;balett
draama;drama;dráma
ensi-ilta;premiere;bemutató (premier)
erikoistehosteet;special effects;speciális effektek (színházi/filmes)
esiintyä;to perform;fellépni
esinäytös;prologue;előjáték (prológus)
harjoitella;to rehearse;próbálni
juoni;plot;cselekmény
jälkinäytös;sequel;folytatás (utójáték)
kabaree;cabaret;kabaré
kenraaliharjoitus;dress rehearsal;főpróba
koe-esiintyminen;audition;meghallgatás
kohtaus;scene;jelenet
käsikirjoitus;manuscript;forgatókönyv (színház/film)
lopputekstit;credits;zárófeliratok
näytellä;to act;szerepelni
näytelmä;play;színdarab
näytteleminen;acting;színjátszás
päärooli;lead role;főszerep
repliikki;line;szöveg (színpadi, 1 mondat)
rooli;role;szerep
tekstitys;subtitles;felirat
tuotanto;production;produkció
vuoropuhelu;dialogue;párbeszéd
vuorosanat;lines;szerepszöveg (párbeszéd)
yksinpuhelu;monologue;monológ
