Finnish;English;Hungarian
uuni;oven;sütő
liesi, hella;stove;tűzhely
keittolevyt;cooking plates;főzőlapok
mikro(aaltouuni);microwave oven;mikrohullámú sütő
astianpesukone;dishwasher;mosogatógép
tiskikone;dishwasher (spoken);mosogatógép (köznyelvi)
vohvelirauta;waffle iron;gofrisütő
liesituuletin;cooker hood;szagelszívó
jääkaappi;fridge;hűtőszekrény
vatkain;whisker, beater;habverő (kézi/elektromos)
yleiskone;food processor;konyhai robotgép
tehosekoitin;blender;turmixgép
sauvasekoitin;hand-held mixer;botmixer
vedenkeitin;water heater;vízforraló
leivänpaahdin;toaster;kenyérpirító
pakastin;freezer;mélyhűtő
kahvinkeitin;coffee machine;kávéfőző
haarukka;fork;villa
lusikka;spoon;kanál
veitsi;knife;kés
teelusikka;teaspoon;kiskanál (teáskanál)
ruokalusikka;tablespoon;evőkanál
lautanen;plate;tányér
syvä lautanen;soup plate;mélytányér
lasi;glass;pohár
vesilasi;water glass;vizespohár
viinilasi;wine glass;borospohár
kuppi;cup;csésze
muki;mug;bögre
teevati;saucer;csészealj
suolakko;salt shaker;sótartó
pippurisirotin;pepper shaker;borsszóró
pöytäliina;tablecloth;abrosz
munakuppi;egg cup;tojástartó (csésze)
kulho;bowl;tál
sokerikko;sugar bowl;cukortartó
kahvipannu;coffee pot;kávéskanna
teekannu;teapot;teáskanna
maitokannu;milk jug;tejeskanna
kauha;scoop;merőkanál
kaulin;rolling pin;nyújtófa
(uuni)vuoka;baking tray;tepsi
tiskiaine;washing up liquid (spoken);mosogatószer (köznyelvi)
astianpesuaine;washing up liquid;mosogatószer
ajastin;timer;időzítő
talouspaperi;kitchen roll;háztartási papírtörlő
siivilä;strainer (big);szűrő
kuivauskaappi;drying cupboard;edényszárító szekrény
keittiöpyyhe;kitchen towel;konyharuha
juustoraastin;cheese grater;sajreszelő
juustohöylä;cheese slicer;szeletelő kés (sajtreszelő penge)
säilytysrasia;storage box;tárolódoboz
leikkuulauta;cutting board;vágódeszka
esiliina, essu;apron;kötény
vesihana;water tap;vízcsap
paistinpannu;frying pan;serpenyő
kattila;sauce pan;lábos
hammastikku;toothpick;fogpiszkáló
korkkiruuvi;corkscrew;dugóhúzó
pullonavaaja;bottle opener;üvegnyitó
lautasliina;napkin;szalvéta
tarjoiluvati;serving dish;tálca
tuhkakuppi;ashtray;hamutartó
moppi;mop;felmosó
keittiövaaka;kitchen scale;konyhai mérleg
pizzaleikkuri;pizza cutter;pizzavágó
suppilo;funnel;tölcsér
pannunalunen;trivet;edényalátét
pannulappu;pot holder;edényfogó
sihti;strainer (small);szita
(pesu)rätti, siivousliina;cloth, rag;rongy (törlőkendő)
kuorimaveitsi;peeling knife;hámozókés
valkosipulimurskain;garlic crusher;fokhagymanyomó
pakasterasia;freezer container;mélyhűtős doboz
suodatinpussi;coffee filter;kávéfilter papír
