Finnish;English;Hungarian
Sekoita maidon joukkoon munat ja suola.;Mix the eggs and salt in with the milk.;Keverd a tojásokat és a sót a tejhez.
Kaada taikina voidellulle uunipellille.;Pour the batter on a greased baking tray.;Öntsd a tésztát a kivajazott tepsire.
Kaada taikina leivinpaperin päälle.;Pour the batter on greaseproof paper.;Öntsd a tésztát a sütőpapírra.
Kaada kattilaan puolet maidosta.;Pour half of the milk in the saucepan.;Öntsd a tej felét a lábasba.
Anna taikinan turvota 30 minuuttia.;Let the dough rise for 30 minutes.;Hagyd a tésztát 30 percig pihenni/kelni.
Sulata kattilassa rasva ja sekoita joukkoon vehnäjauhot.;Melt the butter (fat) in a pot and mix the flour in it.;Olvaszd fel a zsírt/vajat a lábasban, majd keverd bele a lisztet.
Sekoita taikina tasaiseksi.;Mix the batter until smooth.;Keverd a tésztát simára.
Sekoita kuivat aineet.;Mix the dry ingredients.;Keverd össze a száraz hozzávalókat.
Sekoita ainekset varovasti keskenään.;Mix the ingredients carefully together.;Óvatosan keverd össze a hozzávalókat.
Vatkaa ensin munat ja sokeri.;First beat the eggs and the sugar.;Először verd fel a tojásokat a cukorral.
Lisää puolet maidosta.;Add half of the milk.;Add hozzá a tej felét.
Kuori ja hienonna sipulit.;Peel and mince the onions.;Hámozd meg és aprítsd fel a hagymát.
Kuori ja kuutioi perunat.;Peel and dice the potatoes.;Hámozd meg és kockázd fel a krumplit.
Aloita ruskistamalla jauheliha ja sipuli paistinpannulla;Start by browning the minced meat and onion in a frying pan.;Kezdd a darált hús és a hagyma megpirításával egy serpenyőben.
Ruskista perunat ja sipulit.;Brown the potatoes and onions.;Pirítsd meg a krumplit és a hagymát.
Paista munat öljyssä paistinpannulla.;Fry the eggs with oil in a frying pan.;Süsd meg a tojásokat olajban a serpenyőben.
Anna kastikkeen kiehua hiljalleen kannen alla.;Let the sauce boil slowly under the lid.;Hagyd a szószt lassan főni a fedő alatt.
Keitä makaronit pakkauksen ohjeen mukaan.;Boil the macaroni according to the instructions on the package.;Főzd meg a makarónit a csomagoláson lévő utasítás szerint.
Voitele suorakaiteen muotoinen vuoka.;Grease a rectangular shaped dish / pan.;Vajazz ki egy téglalap alakú tepsit/formát.
Kuumenna uuni 200-asteiseksi.;Heat the oven to 200 degrees.;Melegítsd elő a sütőt 200 fokra.
Paista 200 asteisessa uunissa puolisen tuntia.;Bake in a 200-degree oven for about half an hour.;Süsd 200 fokos sütőben körülbelül fél óráig.
Kypsennä 225-asteisessa uunissa.;Cook in a 225-degree oven.;Süsd/főzd 225 fokos sütőben.
Mausta suolalla, pippurilla ja persiljalla.;Season with salt, pepper and parsley.;Ízesítsd sóval, borssal és petrezselyemmel.
