Finnish;English;Hungarian
laittaa ruokaa;to cook;főzni
lisätä;to add;hozzáadni
sekoittaa;to mix together;összekeverni
vatkata;to whisk, to beat;felverni (habot)
keittää;to boil;főzni (vízben)
paistaa;to fry;sütni (serpenyőben)
kiehauttaa;to bring to a boil;felforralni
paahtaa;to roast;pörkölni / pirítani
leipoa;to bake;sütni (sütőben, tésztát)
höyryttää;to steam;párolni (gőzben)
ruskistaa;to brown, sear;megbarnítani (pirítani)
grillata;to grill;grillezni
hauduttaa;to stew;párolni (lassan főzni)
lämmittää;to warm up;melegíteni
liuottaa;to dissolve;feloldani
puolittaa;to divide in half;félbevágni
raastaa;to grate;reszelni
irrottaa;to remove;eltávolítani
soseuttaa;to puree;pürésíteni
hienontaa;to mince;apróra vágni
viipaloida;to slice;szeletelni
leikata;to cut;vágni
murskata;to crush;összezúzni
täyttää;to fill;megtölteni
korvata;to replace;helyettesíteni
kääriä;to wrap;becsomagolni
voidella;to grease;megkenni (zsírral / vajjal)
kuivattaa;to dry off;megszárítani
ripotella;to sprinkle;meghinteni
vaivata;to knead;dagasztani
maustaa;to add seasoning;fűszerezni
annostella;to measure out;kimérni
mitata;to measure;mérni
peittää;to cover;befedni
levittää;to spread;kenni (szétteríteni)
pilkkoa sipuli;to chop up an onion;hagymát aprítani
sulattaa voita;to melt butter;vajat megolvasztani
sulattaa lihaa;to defrost meat;húst kiolvasztani
rikkoa muna;to break an egg;tojást feltörni
kuoria banaani;to peel a banana;banánt meghámozni
kuoria peruna;to peel a potato;krumplit meghámozni
kuoria muna;to shell an egg;tojást megpucolni (héját levenni)
kaulita taikina;to roll the dough out;tésztát kinyújtani
tarjoilla;to serve;felszolgálni
korjata pöytä;to clear the table;leszedni az asztalt
tiskata;to do the dishes;mosogatni
friteerattu banaani;deep-fried banana;rántott banán
paistettu riisi;fried rice;sült rizs
höyrytetty siika;steamed whitefish;gőzölt süllő (hal)
keitetty muna;boiled egg;főtt tojás
paahdettu leipä;toasted bread;pirí­tós kenyér
raastettu porkkana;grated carrot;reszelt répa
savustettu lohi;smoked salmon;füstölt lazac
haudutettu paisti;braised roast;párolt sült hús
ruskistettu jauheliha;browned minced meat;pirított darált hús
marinoitu broileri;marinated chicken;pácolt csirke
