Finnish;English;hungarian
lelu;toy;játék
Actionman-nukke;G.I. Joe;Actionman baba
autorata;racing system;automatikus pálya
Barbie-nukke;Barbie doll;Barbi baba
hyrrä;spinning top;tetejére
jojo;yo-yo;jo-jó
kippiauto;dump truck;dömper
leluauto;toy car;Egy játékautó
nukke;doll;baba
mollamaija;rag doll;molla maija
muovailuvaha;plasticine;gyurma
nukenvaunut;doll's pram;babakocsik
nukkekoti;doll house;egy babaház
palapeli;puzzle;kirakós játék
pehmolelu;soft toy;puha játék
piirros;drawing;rajz
puuhevonen;rocking horse;fa ló
puuleikkijuna;wooden toy train;fa játékvonat
rakennuspalikka;brick, block;építőkocka
nalle;teddybear;maci
vesipyssy;water gun;vízi puska
värikynät;colored pencils;színes ceruzák
värityskirja;coloring book;kifestőkönyv
satukirja (satu);story book;mesekönyv (tündérmese)
väriliidut;crayons;zsírkréták
ulkoleikki;outdoor game;szabadtéri játék
hiekkalaatikko;sandbox;homokozó
hiekkalinna;sand castle;homokvár
hippa;tag;címke
hyppynaru;skipping rope;ugrókötél
jääkiekkopeli;ice hockey game;hoki játék
kapteeni käskee;Simon says;mondja a kapitány
keinu;swing;hinta
kiikkulauta;see-saw;libikóka
kiipeilyteline;climbing frame;mászóka
kivi, paperi ja sakset;rock-paper-scissors;kő, papír és olló
kolmipyörä;tricycle;tricikli
köydenveto;tug of war;kötélhúzás
lapio;spade;lapát
leija;kite;sárkány
leikkikenttä;playground;játszótér
leikkimökki;playhouse;színház
liukumäki;slide;csúszik
pallomeri;ball pit;golyók tengere
partio;scouts;járőr
pihaleikit;playground games;udvari játékok
piiloleikki;hide and seek;bújócska
pomppulinna;inflatable castle;ugrálóvár
pulkka;sled;szánkó
puumaja;tree house;faház
rattikelkka;snow racer;bob
ruutuhyppely;hopscotch;négyzetes ugrás
seuraa johtajaa;follow the leader;Kövesd a vezetőt
tuolileikki;musical chairs;játék a székekkel
tyynysota;pillow fight;Párnacsata
ämpäri;bucket;vödör
antaa pusu;to give a kiss;csókot adni
askarrella;to do arts and crafts;kézműves
auttaa äitiä / isää;to help mother / father;segíts anyának/apának
harrastaa balettia;to do ballet;balettozni
hoitaa;to take care of;gondoskodni
hyppiä;to hop, jump;ugrás
hyppiä lätäköissä;to jump in puddles;ugrál a tócsákban
hypätä narua;to skip rope;ugrókötelezni
hypätä ruutua;to play hopscotch;ugróiskolát játszani
istua äidin sylissä;to sit on mother's lap;ülj anya ölébe
itkeä;to cry;kiáltás
itsenäistyä;to become independent;függetlenné válni
juosta;to run;fuss
juosta kilpaa;to run a race;futni egy versenyt
kastella sänky;to wet the bed;nedvesítse meg az ágyat
kasvaa;to grow;nő
kasvattaa lapsia;to raise children;gyerekeket nevelni
katsoa televisiota;to watch television;tévét nézni
katsoa piirrettyjä;to watch cartoons;nézd meg a rajzfilmeket
keinua;to swing;hintázni
kiljua;to squeal, scream;visítás
kiukutella;to whine, tantrum;beszállni egy kisállatba
kiusata muita;to tease / bully others;zaklatnak másokat
kiivetä;to climb;mászik
koota palapelejä;to do jigsaw puzzles;rejtvényeket összerakni
kutittaa;to tickle;viszket
käydä eläintarhassa;to visit the zoo;látogassa meg az állatkertet
käydä huvipuistossa;to visit an amusement park;menj el egy vidámparkba
käydä koulua;to go to school;iskolába menni
käydä kylvyssä;to take a both;fürödni
käydä liikuntakerhossa;to go to a sports club;elmenni a konditerembe
käydä mummolassa;to visit grandma;látogassa meg a nagymamát
käydä näytelmäkerhossa;to go to drama club;menj dráma klubba
käydä pianotunneilla;to attend piano lessons;vegyen zongoraleckéket
käydä potalla;to go potty;menj bili
käydä ratsastustunneilla;to attend riding lessons;vegyen lovasleckéket
käyttäytyä kunnolla;to behave well;viselkedik
laskea kymmeneen;to count to ten;számolj el tízig
laskea liukumäkeä;to go down the slide;menj le a csúszdán
laskea mäkeä pulkalla;to go downhill with a sled;bottal lemenni a dombról
laskea pulkkamäkeä;to sled down the hill;menj le egy szánkódombról
laulaa;to sing;énekelni
leikkiä;to play;játszani
leikkiä hiekkalaatikolla;to play in the sandbox;játszani a homokozóban
leikkiä hippaa;to play tag;Címke lejátszásához
leikkiä kotia;to play house;otthon játszani
leikkiä legoilla;to play with legos;játszani legóval
leikkiä lumisotaa;to have a snowball fight;hóháborút játszani
leikkiä nallella;to play with a teddybear;játszani egy mackóval
leikkiä nukella;to play with a doll;játszani egy babával
leikkiä pallolla;to play with a ball;labdával játszani
leikkiä pihalla;to play in the yard;játszani az udvaron
leikkiä piilosta;to play hide and seek;bújócskázni
lukea satuja;to read fairytales;tündérmeséket olvasni
lukea kuvakirjoja;to read picture books;képeskönyveket olvasni
maalata;to paint;festék
mennä mummolaan;to go to grandma's place;menj a nagymamához
mennä yökylään;to go on a sleepover;menj az éjszakai faluba
mennä päikkäreille;to go nap;tombolni
nukkua;to sleep;aludni
nukkua päikkärit / päiväunet;to have a nap;szunyókálj / szunyókálj
olla äidin sylissä;to be in mother's arms;hogy anya karjaiban legyen
oppia hiihtämään;to learn to ski;tanulj meg síelni
oppia kirjoittamaan;to learn to write;tanulj meg írni
oppia laskemaan;to learn to count;tanulj meg számolni
oppia luistelemaan;to learn to skate;tanulj meg korcsolyázni
oppia uimaan;to learn to swim;tanulj meg úszni
pelata jalkapalloa;to play soccer;focizni
pelata tietokonepelejä;to play computer games;számítógépes játékokat játszani
pelätä pimeää;to be afraid of the dark;félj a sötéttől
piirtää;to draw;húz
poimia kukkia äidille;to pick flowers for mother;virágot szedni anyának
pomppia;to bounce;ugrál
potkia palloa;to kick a ball;rúgd a labdát
puhaltaa saippuakuplia;to blow soap bubbles;szappanbuborékok fújása
pukeutua itse;to dress oneself;öltöztesd fel magad
pyytää apua;to ask for help;segítséget kérni
pyöräillä;to ride a bike;bicikli
rakentaa hiekkalinna;to build a sandcastle;homokvárat építeni
rakentaa legoilla;to build with legos;legóval építkezni
rangaista;to punish;büntetni
roikkua puissa;to hang in the trees;lógni a fákon
saada kavereita;to get friends;barátokat szerezni
saada raivari;to throw a tantrum;szerezz egy raidert
seikkailla;to go on adventures;kalandozni
sotkea;to mess up;rendetlenség
suuttua;to get angry;dühbe gurul
syödä aamupala;to eat breakfast;reggelizni
syödä iltapala;to eat dinner;vacsorázni
syödä välipala;to eat a snack;egyél egy falatot
tarvita apua;to need help;kell segítség
totella;to obey;engedelmeskedik
tehdä lumienkeleitä;to make snow angels;csinálj hóangyalokat
tehdä lumiukko;to build a snowman;hóembert épít
tehdä läksyt;to do homework;házifeladatot csinálni
tulla äidin syliin;to come in mother's arms;anya karjába kerülni
töniä muita;to push others;lökd másokat
viedä kouluun;to drop off at school;iskolába vinni
viedä päiväkotiin;to drop off at daycare;óvodába vinni
vierastaa ihmisiä;to be shy of people;elidegeníteni az embereket
viihtyä koulussa;to do well in school;érezd jól magad az iskolában
värittää;to color;szín
lastenhuone;children's room;gyerekszoba
lastenvaatteet;children's clothes;gyerek ruha
lapsenvahti;babysitter;bébiszitter
lastenhoitaja;nanny;dajka
päiväkoti;nursery;óvoda
esikoulu, "eskari";preschool;óvoda, "eskari"
lastenrattaat;pushchair;babakocsi
kahluuallas;paddling pool;pancsoló medence
kellukkeet;floaties;vízi szárnyak
uimarengas;swim ring;úszógyűrű
lapsialennus;child discount;Gyermekkedvezmény
lastenallas;children's pool;gyermekmedence
turvakoroke;booster seat;ülésmagasító
maitohampaat;milk teeth;tejfogak
varhaiskasvatus;early childhood education;kisgyermekkori nevelés
nukkumaanmenoaika;bedtime;lefekvés ideje
iltasatu;bedtime story;esti mese
iltapesu;evening wash;esti mosás
välitunti;recess, playtime;szünet
"päiväunet, "päikkärit";nap;szunyók, "napok"
tuhma;badly-behaved;rossz
kiltti;well-behaved;kedves
iltapäiväkerho;afternoon club;délutáni klub
taskuraha;pocket money;zsebpénz
viikkoraha;weekly allowance;heti juttatás
synttärilahja;birthday present;születésnapi ajándék
pääsiäispupu;easter bunny;Húsvéti nyuszi
joulupukki;Santa;Mikulás
hammaskeiju;tooth fairy;a fogtündér
satuhahmo;fairy tale character;mesefigura
suloinen;sweet, lovely;édes
söpö;cute;aranyos
prinsessa ja prinssi;princess and prince;hercegnő és herceg
seikkailu;adventure;kaland
mielikuvitus;imagination;képzelet
raivokohtaus, raivari;temper tantrum;dühroham, düh
Olen syntynyt viidestoista heinäkuuta vuonna 2004.;I was born on July 15, 2004.;2004. július tizenötödikén születtem.
