Finnish;English;hungarian
kuukautiset, menkat;menstruation;menstruáció, menstruáció
kuukautiskierto;menstrual cycle;menstruációs ciklus
säännöllinen;regular;szabályos
epäsäännöllinen;irregular;szabálytalan
hedelmällinen;fertile;termékeny
hedelmöitys;fertilization;fogantatás, megtermékenyítés
ovulaatio;ovulation;peteérés
ovulaatiotesti;ovulation test;ovulációs teszt
munasolu;ovum, egg cell;tojás
siemenneste;semen;sperma
spermasolu;sperm cell;hímivarsejt
siittiö, sperma;sperm, sperm cell;sperma, sperma
alkio;embryo;embrió
munasarja;ovary;petefészek
kohtu;uterus, womb;méh
raskaustesti;pregnancy test;terhességi teszt
positiivinen raskaustesti;positive pregnancy test;pozitív terhességi teszt
yrittää lasta;to try for a baby;gyerekért próbálkozik
yrittää tulla raskaaksi;to try to get pregnant;próbál teherbe esni
harrastaa seksiä;to have sex;szexeljen
tehdä raskaustesti;to do a pregnancy test;csinálj terhességi tesztet
tulla raskaaksi;to become pregnant;teherbe esni
lapsettomuus;childlessness;gyerektelenség
vauvakuume;baby fever;babaláz
hedelmättömyys;infertility;meddőség
hedelmällisyystesti;fertility test;termékenységi teszt
hedelmöityshoidot;fertility treatments;termékenységi kezelések
lapsettomuushoidot;infertility treatments;meddőségi kezelések
luovutettu sperma;donated sperm;spermiumot adományozott
spermapankki;sperm bank;spermabank
spermadonori, spermanluovuttaja;sperm donor;sperma donor
siemennestenäyte;semen sample;spermaminta
sperman pakastus;sperm freezing;a spermiumok lefagyása
ovulaation induktio;ovulation induction;ovuláció indukció
follikkeli;follicle;mirigy
inseminaatio;insemination;megtermékenyítés
keinohedelmöitys;artificial insemination;mesterséges megtermékenyítés
koeputkihedelmöitys;in vitro fertilization;in vitro megtermékenyítés
hormonihoito;hormone replacement therapy;hormonterápia
mikrohedelmöitys;microfertilization;mikrotermékenyítés
ehkäisypillerit;birth control pill;fogamzásgátló tabletták
e-pillerit;the pill;e-tabletták
kierukka;intrauterine device;tekercs
jälkiehkäisy;emergency contraception;műtét utáni megelőzés
Minulla on säännöllinen kuukautiskierto.;I have a regular menstrual cycle.;Rendszeres menstruációs ciklusom van.
Me yritämme lasta.;We're trying for a baby.;Gyerekért próbálkozunk.
Yritämme tulla raskaaksi.;We're trying to get pregnant.;Megpróbálunk teherbe esni.
Haluatko vauvan?;Do you want a baby?;szeretnél babát?
Haluan lapsia. Haluan äidiksi.;I want children. I want to be a mother.;gyerekeket akarok. anya akarok lenni.
En halua lapsia.;I don't want children.;nem akarok gyerekeket.
Ei minusta ole äidiksi.;Being a mother isn't for me.;Nem érzem magam anyának.
En halua ainakaan vielä lapsia.;I don't want children yet anyway.;Én legalábbis még nem akarok gyereket.
Haluan lapsia vasta myöhemmin.;I only want children later.;Csak később akarok gyereket.
Nyt ei ole hyvä hetki yrittää lasta.;Now is not a good time to try for a baby.;Most nem alkalmas arra, hogy babát próbáljak.
Pelkään, että tulen raskaaksi.;I'm afraid I'll get pregnant.;Félek, hogy teherbe esek.
Olenko liian vanha äidiksi?;Am I too old to be a mother?;Túl öreg vagyok ahhoz, hogy anya legyek?
Biologinen kello tikittää.;The biological clock is ticking.;Ketyeg a biológiai óra.
Tulin raskaaksi.;I became pregnant.;terhes lettem.
Tulin raskaaksi ensi yrittämällä.;I became pregnant on the first try.;Első próbálkozásra teherbe estem.
