Finnish;English;hungarian
ikä;age;kor
koko ikänsä;his whole life;egész életében
kasvaa;to grow;növekszik
sukupolvi;generation;generáció
syntymä;birth;születés
synnyttää;to give birth;medve
syntyä;to be born;megszületni
vauva;baby;baba
taapero;toddler;totyogó
ryömiä;to crawl;kúszni
lapsuus;childhood;gyermekkor
murrosikä;puberty;pubertás
murrosikäinen, teini;teenager;kamasz, tinédzser
nuoruus;youth;ifjúság
nuori;young;fiatal
täysi-ikäinen;adult (18 yo);felnőtt (18 éves)
aikuisikä;adulthood;felnőttkor
aikuinen;adult;felnőtt
aikuistua;to become an adult;felnő
olla raskaana;to be pregnant;gyerekkel lenni
imetys;breast feeding;gondozás
imettää;to breastfeed;szoptat
adoptoida;to adopt;örökbe fogadni
ottolapsi;adopted child;örökbefogadott gyermek
lastenkoti;orphanage;Gyermekotthon
holhooja;guardian;gyám
kasvatus;upbringing;oktatás
kasvattaa;to raise, to bring up;nő
lapsilisä;child benefit;gyermekkedvezmény
keski-ikä;middle age;Közép kor
vanhuus;old age;öreg kor
eläke;retirement;nyugdíj
eläkeikä;retirement age;nyugdíjas kor
eläkkeellä;retired;nyugdíjas
vanhus;senior citizen;nyugdíjas ember
senior;seniori;idősebb
vanheta;to become older;öregedni
vanhentua;to get old;öregszik
vanhainkoti;retirement home;szanatórium
elinikä;lifespan;élettartam
Kuinka vanha sinä olet?;How old are you?;Hány éves vagy?
Kuinka vanha hän on?;How old is he/she?;Hány éves?
Minkäikäinen hän on?;What age is he/she?;Milyen idős?
Hän on 18 vuotta vanha.;She is 18 years old.;18 éves.
Hän on 18-vuotias.;She's an 18 year old.;18 éves ember.
Ikäni on 45 vuotta.;My age is 45 years.;45 éves a korom.
Hän täyttää tänään 18.;She's turning 18 today.;Ma 18 éves.
Kuinka paljon hän täyttää?;How old is she becoming?;Mennyit tölt meg?
Paljonko täytät tänä vuonna?;How old will you be this year?;Hány éves leszel idén?
Paljonko täytit tänä vuonna?;How old did you get this year?;Hány éves múltál idén?
Hän on kolme kuukautta vanha.;She's three months old.;Három hónapos.
Vauvani on kolme kuukautta vanha.;My baby is three months old.;Három hónapos a babám.
Vauvani on nyt puolivuotias.;My baby is now half a year old.;A babám most fél éves.
Hän on puolitoistavuotias (1,5-vuotias).;She's a year and a half old.;Másfél éves (1,5 éves).
