Finnish;English;hungarian
tykätä, pitää (+mistä);to like;kedvelni, kedvelni (+of)
rakastaa (+partitive);to love;szerelem (+partitív)
vihata (+partitive);to hate;gyűlölet (+partitív)
inhota (+partitive);to dislike;undor (+partitív)
Minusta...;In my opinion...;Gondolom...
Minun mielestä(ni)...;In my opinion)...;Szerintem)...
Olen sitä mieltä, että...;I think that...;Azt gondolom hogy...
Luulen / Ajattelen, että...;I think...;Azt gondolom...
Uskon, että...;I believe that...;Hiszem, hogy a...
Olen varma, että...;I'm sure that...;Biztos vagyok benne, hogy...
Minusta tuntuu, että;I feel that...;Úgy érzem, hogy
Minun näkökulmastani...;From my point of view...;Az én szempontból...
Minusta Pariisi on ihana kaupunki.;In my opinion Paris is a wonderful city.;Szerintem Párizs csodálatos város.
Sinusta Tampere on parempi.;In your opinion Tampere is better.;Szerinted Tampere jobb.
Hänestä matkustaminen on tylsää.;In his/her opinion traveling is boring.;Unalmasnak találja az utazást.
Meistä Pariisi on liian suuri.;In our opinion Paris is too large.;Párizs túl nagy számunkra.
Teistä lentäminen on pelottavaa.;In your opinion flying is scary.;Félelmetesnek találod a repülést.
Heistä Lontoo on ihana.;In their opinion London is wonderful.;London csodálatos számukra.
Kallesta meidän pitää jäädä kotiin.;In Kalle's opinion we should stay home.;Itthon kell maradnunk Kallétól.
Liisasta keskustelu on ohi.;In Liisa's opinion the conversation is over.;A Lisáról szóló vita véget ért.
Opettajasta Pariisi on mahtava.;In the teacher's opinion Paris is great.;Tanárként Párizs nagyszerű.
Pojista on ihan sama.;In the boys' opinion it's whatever.;A fiúknál ez nem számít.
(Minun) mielestäni uiminen on kivaa.;In my opinion swimming is nice.;(Szerintem az úszás jó dolog.
(Sinun) mielestäsi uiminen on tylsää.;In your opinion swimming is boring.;(Ön) azt gondolja, hogy az úszás unalmas.
Hänen mielestään uiminen on rentouttavaa.;In his/her opinion swimming is relaxing.;Szerinte az úszás pihentető.
(Meidän) mielestämme uiminen on ihanaa.;In our opinion swimming is wonderful.;(Szerintünk) az úszás csodálatos dolog.
(Teidän) mielestänne uiminen on vaikeaa.;In your (pl.) opinion simming is hard.;(Ön) azt gondolja, hogy az úszás nehéz.
Heidän mielestään uiminen on lapsille.;In their opinion swimming is for children.;Szerintük az úszás gyerekeknek való.
Kallen mielestä uiminen on väsyttävää.;In Kalle's opinion swimming is exhausting.;Kalle szerint az úszás fárasztó.
Liisan mielestä uiminen on vaarallista.;In Liisa's opinion swimming is dangerous.;Liisa szerint az úszás veszélyes.
Opettajan mielestä uiminen on helppoa.;In the teacher's opinion swimming is easy.;A tanár szerint az úszás könnyű.
Poikien mielestä uiminen on siistiä.;In the boys' opinion swimming is cool.;A fiúk szerint az úszás menő.
Minusta tuntuu, että tulevaisuus on toivoton.;I feel that the future is hopeless.;Úgy érzem, a jövő reménytelen.
Sinusta tuntuu, että kukaan ei pidä sinusta.;You feel that nobody likes you.;Úgy érzed, senki sem szeret téged.
Hänestä tuntuu, että muut vaativat liikaa.;She feels the others demand too much.;Úgy érzi, mások túl sokat követelnek.
Meistä tuntuu, että olemme epäonnistuneet.;We feel that we have failed.;Úgy érezzük, kudarcot vallottunk.
Teistä tuntuu, että ette voi luottaa poliisiin.;You feel that you can't trust the police.;Úgy érzi, nem bízhat a rendőrségben.
Heistä tuntuu, että voisivat tappaa toisensa.;They feel that they could kill each other.;Úgy érzik, megölhetik egymást.
Kallesta tuntuu, että Ari haluaa hänestä eroon.;Kalle feels Ari wants to get rid of him.;Kalle úgy érzi, hogy Ari meg akar szabadulni tőle.
Liisasta tuntuu, että motivaatio on kadoksissa.;Liisa feels her motivation is lost.;Liisa úgy érzi, hiányzik a motiváció.
Opettajasta tuntuu, että mikään ei riitä.;The teacher feels nothing is enough.;A tanár úgy érzi, semmi sem elég.
Pojista tuntuu, että vauva itkee aina.;The boys feel that the baby always cries.;A fiúk úgy érzik, hogy a baba mindig sír.
(Minä) luulen, että nämä ovat jäähyväiset.;I think this is farewell.;(szerintem) ez a búcsú.
(Sinä) luulet, että helvetti ei ole olemassa.;You think hell doesn't exist.;(Te) azt hiszed, hogy a pokol nem létezik.
Hän luulee, että miehensä pettää häntä.;She thinks her husband's cheating on her.;Azt hiszi, hogy a férje megcsalja.
(Me) luulemme, että uiminen on tylsää.;We think swimming is boring.;(Szerintünk) unalmas az úszás.
(Te) luulette, että teitä tarvitaan.;You (plural) think that you're needed.;(Ön) úgy gondolja, hogy szükség van rád.
He luulevat, että Kalle ei tule.;They think that Kalle isn't coming.;Azt hiszik, hogy Kal nem jön.
Kalle luulee, että häntä odotetaan.;Kalle thinks that they're waiting for him.;Kalle úgy gondolja, hogy számítanak rá.
Liisa luulee, että kaikki vihaavat häntä.;Liisa thinks everyone hates her.;Liisa azt hiszi, hogy mindenki utálja.
Opettaja luulee, että oppilaat kuuntelevat.;The teacher thinks the students listen.;A tanár azt hiszi, hogy a diákok hallgatnak.
Pojat luulevat, että tytöt tykkäävät heistä.;The boys think that the girls like them.;A fiúk azt hiszik, hogy a lányok kedvelik őket.
Tykkäätkö / Pidätkö tästä asunnosta?;Do you like this apartment?;Tetszik ez a lakás?
Mitä sinä ajattelet tästä?;What do you think of this?;Mit gondolsz erről?
Mitä ajattelet tästä taulusta?;What do you think of this painting?;Mi a véleményed erről a festményről?
Mitä mieltä sinä olet tästä?;What's your opinion on this?;Mi a véleményed erről?
Mitä mieltä olet tupakoinnista?;What's your opinion on smoking?;Mi a véleményed a dohányzásról?
Teinkö sinusta oikean päätöksen?;Do you think I made the right decision?;Jól döntöttem veled kapcsolatban?
Olenko minä sinusta komea?;Do you think I'm handsome?;Szerintetek jóképű vagyok?
Oletko samaa mieltä?;Do you agree?;Egyetértesz?
Onko sinulla sama näkemys asiasta?;Do you have the same view on the matter?;Hasonló a véleményed a dologról?
Miksi asia on sinusta niin?;Why do you think that?;Miből gondolod ezt?
Miksi ajattelet niin?;Why do (you) think that?;Miből gondolod (te)?
Miksi olet sitä mieltä?;Why is that your opinion?;Miből gondolod?
Miten niin?;How so?;Hogy-hogy?
Millä perusteella?;Based on what?;Milyen alapon?
Oletko nyt ihan varma?;Are you sure about that?;Biztos vagy benne?
Onko sinusta siis niin, että...?;So you really think that...?;Szóval szerinted...?
Mutta entäs kun...?;But what about...?;De mi van ha...?
Tarkoitatko siis, että...?;So do you mean that...?;Szóval úgy érted...?
Olen samaa mieltä.;I agree.;Egyetértek.
Olen samaa mieltä sinun kanssa.;I agree with you.;Egyetértek veled.
Olen samaa mieltä siitä / asiasta.;I agree with you on that.;Egyetértek ezzel.
Olen samaa mieltä kuin sinä.;I have the same opinion as you.;Ugyanaz a vélemeényem, mint neked.
Olen täysin samaa mieltä (sinun kanssa).;I agree completely (with you).;Teljesen egyetértek veled).
Olen jokseenkin samaa mieltä.;I tend to agree.;Valahogy egyetértek.
Olen osittain samaa mieltä.;I agree partly.;részben egyetértek.
Taidan olla samaa mieltä.;I think I agree.;Azt hiszem, egyetértek.
Minusta sinä olet oikeassa.;I think you're right.;Szerintem igazad van.
Luulen, että olet oikeassa.;I think that you're right.;Szerintem, igazad van.
Olet täysin oikeassa.;You're 100% correct.;Teljesen igazad van.
Olet siinä oikeassa.;You're correct about that.;Ebben igazad van.
Se on ihan totta.;That's completely true.;Ez teljesen igaz.
Aivan niin. Niin on. Niin onkin. Todellakin.;Exactly. / I agree.;Úgy van. Ez. Igen, ez az. Valóban.
Niin minustakin.;Yeah, I think so too.;Én is úgy gondolom.
Pitää paikkansa!;That's right!;Úgy van!
Niin kai. Voi olla.;I guess so.;Azt hiszem. Lehet.
Niin on joo.;That's true.;Úgy van.
Sinulla on hyvä pointti.;You have a good point.;Van egy jó érvelésed.
Olen eri mieltä.;I disagree.;Nem értek egyet.
En ole samaa mieltä.;I don't agree.;Máshogy gondolom.
Olen eri mieltä kuin sinä.;I disagree with you.;Nem értek egyet veled.
Olen eri mieltä siitä / asiasta.;I disagree on that.;Nem értek egyet ezzel / dologgal.
Olen täysin eri mieltä (sinun kanssa).;I disagree completely (with you).;Teljesen nem értek egyet (veled).
Olen jokseenkin eri mieltä.;I tend to disagree.;Kicsit nem értek egyet.
Olen osittain eri mieltä.;I partly disagree.;részben nem értek egyet.
Taidan olla eri mieltä.;I think I disagree.;Azt hiszem, nem értek egyet.
En ole ihan samaa mieltä.;I don't agree completely.;Nem egészen értek egyet.
Olet väärässä.;You're wrong.;Tévedsz.
Minusta sinä olet väärässä.;I think you're wrong.;Szerintem tévedsz.
En osaa sanoa.;I don't know (I kind of disagree).;Nem mondhatom.
En oikein tiedä, mutta luulen, että...;I don't really know, but I think that...;Nem igazán tudom, de szerintem...
Ei minusta.;I don't think so.;Nem rólam.
En nyt ihan sanoisi niin.;I wouldn't quite say it like that.;Ezt most nem mondanám.
En voi olla samaa mieltä.;I can't agree with that.;Nem tudok egyetérteni.
Se taitaa pitää paikkansa, mutta...;That's probably true, but...;Azt hiszem, ez igaz, de...
Ehkä se on niinkin, mutta...;It could be like that, but...;Talán az, de...
Ethän näin voi väittää.;You can't claim so.;Ezt nem mondhatod.
Mutta toisaalta... Mutta silti...;But then again... But regardless...;De másrészt... De mégis...
Joo, mutta...;Yes, but...;Igen, de...
En oikein usko, että asia on niin.;I don't really believe that's that how it is.;Nem igazán hiszem, hogy ez a helyzet.
Jotenkin minusta tuntuu, että...;I somehow have the feeling that...;Valahogy úgy érzem...
Näin voi ollakin, mutta...;That could be true, but...;Lehet, hogy így van, de...
En oikein usko tuota.;I don't really believe that;Ezt nem igazán hiszem el.
