Finnish;English;hungarian
aggressio;aggression;agresszió
ahdistus;anxiety;szorongás
ahneus;greed;kapzsiság
alakuloisuus;dejection;levertség
apatia;apathy;fásultság
epätoivo;despair;kétségbeesés
epävarmuus;uncertainty;bizonytalanság
halveksunta;contempt;megvetés
häpeä;shame;szégyen
kateellisuus;envy;irigység
katkeruus;bitterness;keserűség
katumus;regret;bűnbánat
kauhu;horror;borzalom
kiukku;crossness;dühroham
kärsimättömyys;impatience;türelmetlenség
kärttyisyys;testiness;izgulni
levottomuus;restlessness;agitáció
loukkaus;insult;sértés
masennus;depression;depresszió
mustasukkaisuus;jealousy;féltékenység
nolous;embarrassment;zavar
nöyryytys;humiliation;megaláztatás
paheksunta;resentment;rosszallás
paniikki;panic;pánik
pelko;fear;félelem
pettymys;disappointment;csalódottság
suru;grief;bánat
surullisuus;sadness;szomorúság
suuttumus;indignation;harag
synkkyys;melancholy;sötétség
syyllisyys;guilt;bűnösség
tyytymättömyys;dissatisfaction;elégedetlenség
yksinäisyys;loneliness;magányosság
viha;hate;harag, utálat
ärsytys;irritation;irritáció
aggressiivinen;aggressive;agresszív
ahdistunut;anxious;gyötrődve
ahne;greedy;kapzsi
alakuloinen;dejected;kék
apea;glum;komor
epäluuloinen;distrustful;gyanús
epätoivoinen;desperate;kétségbeesett
epävarma;uncertain;bizonytalan
halveksiva;contemptuous;tiszteletlen
harmistunut;annoyed, upset;elszomorodott
huolestunut;worried;érintett
hämmentynyt;bewildered;zavart
ikävystynyt, kyllästynyt;bored;unott
kateellinen;envious;Féltékeny
katkera;bitter;keserű
katuvainen;regretful;bűnbánó
kauhuissaan;horrified;rettegésben
kiukkuinen;peeved;zsémbes
kyyninen;cynical;cinikus
kärsimätön;impatient;türelmetlen
kärsivä;suffering;fájdalmas
kärttyinen;bad-tempered;epekedő
levoton;restless;nyughatatlan
loukkaantunut;offended;sérült
masentunut;depressed;nyomott
mustasukkainen;jealous;irigy
nolostunut;embarrassed;félénk
nöyryytetty;humiliated;megalázott
paheksuva;resentful;könyörgő
pelästynyt;frightened;rémült
pettynyt;disappointed;csalódott
surullinen;sad;szomorú
suuttunut;angry, indignant;mérges
synkkä;melancholic;komor, szomorú
turhautunut;frustrated;frusztrált
tyrmistynyt;baffled;megdöbbent
tyytymätön;dissatisfied;elégedetlen
yksinäinen;lonely;magányos
vihainen;angry;őrült
ärsyyntynyt;displeased;elégedetlen, nem örül
ärtynyt;cross, vexed;bosszús
ärtyisä;irritable;ingerlékeny
halveksia;to despise;megvet
inhota;to detest, loathe;gyűlöl
ikävöidä;to long for;hosszú
kadehtia;to envy;irigykedni
kaivata;to miss;hiányzik
katua;to regret;megbánás
murehtia, huoli;to grieve, worry;aggodalom, aggodalom
paheksua;to disapprove;neheztel
pelätä;to fear;félni
vihata;to hate;utál
hermostua;to get nervous;idegessé válni
huolestua;to start worrying;szorongani
hämmentyä;to get confused;összezavarodni
katkeroitua;to become bitter;savanyú
kiusaantua;getting embarrassed;bosszankodni
kyynistyä;to become jaded;cinikussá válni
lamaantua;to be paralyzed;lebénulni
loukkaantua;to get offended;megsérülni
nolostua;to get embarrassed;zavarban lenni
pelästyä;to become startled;megijeszt
raivostua;to lose temper;megvadul
stressaantua;to become stressed;stresszelni
suuttua;to get mad;dühbe gurul
turhautua;to get frustrated;hogy frusztrált legyen
vihastua;to become angry;dühös lesz
ärsyyntyä;to become irritated;bosszankodni, irritálja
Minä halveksin kaikkia.;I despise everyone.;mindenkit megvetem.
Minä inhoan naapuriani.;I detest my neighbor.;Utálom a szomszédomat.
Minä ikävöin isääni.;I miss my father.;Hiányzott apám.
Minä kadehdin teitä.;I envy you (plural).;irigyeltem.
Minä kaipaan sukulaisiani.;I miss my relatives.;Hiányoznak a rokonaim.
Minä kaduin päätöstäni.;I regretted my decision.;Megbántam a döntésemet.
Minä murehdin kohtaloani.;I fretted over my fate.;Aggódtam a sorsom miatt.
Minä paheksun tilannetta.;I disapprove of the situation.;neheztelek a helyzetre.
Minä pelkään koiria.;I'm afraid of dogs.;Félek a kutyáktól.
Minä vihaan valehtelijoita.;I hate liars.;Utálom a hazugokat.
Minä hermostun herkästi.;I get nervous easily.;könnyen ideges leszek.
Minä huolestuin terveydestäni.;I got worried about my health.;Aggódtam az egészségemért.
Hämmennyin kysymyksestä.;I got confused by the question.;Megzavart a kérdés.
Katkeroiduin ja syytin häntä.;I became bitter and blamed him.;Elkeseredtem, és őt hibáztattam.
Minä kiusaannun huomiosta.;I get embarrassed by the attention.;ugratom a figyelemért.
Kyynistyin vuosien mittaan.;I became jaded over the years.;Cinikus lettem az évek során.
Minä lamaannuin pelosta.;I got paralyzed by fear.;Megbénultam a félelemtől.
Minä loukkaannuin sanoistasi.;I got offended by your words.;Megsértődtem a szavaidon.
Minä nolostuin paljastuksesta.;I was embarrassed by the revelation.;Zavarba jöttem a kinyilatkoztatástól.
Minä pelästyn helposti.;I'm easily startled.;könnyen megijedek.
Minä raivostuin hänelle.;I lost my temper with him.;megharagudtam rá.
Minä stressaannun työni takia.;I get stressed because of my work.;A munkám miatt stresszes vagyok.
Minä suutuin hänelle.;I got mad at him.;haragudtam rá.
Minä turhauduin byrokratiaan.;I got frustrated with the bureaucracy.;Csalódott voltam a bürokráciában.
Minä vihastuin poikiin.;I got angry at the boys.;Mérges lettem a fiúkra.
Minä ärsyynnyn helposti.;I get irritated easily.;Könnyen irritálok.
hämmentää;to bewilder;összezavarni
kiusata;to bully;terrorizál
loukata;to wound, to insult;megsérteni
pelästyttää;to frighten;megijeszteni
pettää;to let down;megtéveszteni
provosoida;to provoke;provokál
nolata;to embarrass;zavarba hoz
nöyryyttää;to humiliate;megalázni
ahdistella;to harass;molesztál
syyttää;to blame;feddés
kohdella;to treat;csemege
pilkata;to mock;gúny
härnätä;to taunt;kötekedik
Se hämmentää häntä yhä.;It still confuses him.;Még mindig összezavarja.
Hän kiusasi luokkakaveriaan.;He bullied his classmate.;Megfélemlítette osztálytársát.
Hän loukkasi tunteitani.;He hurt my feelings.;Megbántotta az érzéseimet.
Hän loukkasi minua.;He insulted me.;Ő bántott engem.
Hän pelästytti minut.;He frightened me.;Megijesztett.
Hän petti äitinsä odotukset.;He disappointed his mother.;Meghiúsította anyja elvárásait.
Hän yrittää aina provosoida minua.;He's always trying to provoke me.;Mindig provokálni próbál.
Hän nolasi minut.;He embarrassed me.;Zavarba hozott.
Hän nöyryyttää lastaan.;He humiliates his child.;Megalázza gyermekét.
Hän ahdistelee naisia.;He harasses women.;Zaklatja a nőket.
Hän aina syyttää minua.;He always blames me.;Mindig engem hibáztat.
Hän kohtelee lapsiaan huonosti.;He treats his children badly.;Rosszul bánik a gyerekeivel.
Hän pilkkaa asioita, joita rakastan.;He mocks the things I love.;Kigúnyolja azokat, amiket szeretek.
Hän härnää vastustajaansa.;He taunts his opponent.;Zaklatja ellenfelét.
Minua ahdistaa.;I feel anxious.;Izgulok.
Minua harmittaa.;I feel upset.;Feldúlt vagyok.
Minua hermostuttaa.;I feel nervous.;Ideges vagyok.
Minua hirvittää.;I feel dread.;el vagyok rémülve.
Minua huolestuttaa / huolissani.;I'm worried.;Aggódom.
Minua hävettää myöntää se.;I'm ashamed to admit it.;szégyellem bevallani.
Minua inhottaa sade.;I detest rain.;Utálom az esőt.
Minua itkettää.;I feel like crying.;Sírhatnékom van.
Minua jännittää.;I feel excited.;Izgatott vagyok.
Minua kaduttaa.;I feel regret.;Megbántam.
Minua kammottaa.;I feel appalled.;Kiborít.
Minua kauhistuttaa.;I feel horrified.;Megrémít.
Minua kyllästyttää.;I feel fed up.;Untat.
Minua masentaa.;I feel depressed.;Depressziós vagyok.
Minua nolottaa.;I feel embarrassed.;Szégyellem.
Minua surettaa.;I feel saddened.;Szomorúvá tesz.
