Finnish;English;hungarian
Minua ujostuttaa.;I feel shy.;Félénksé tesz.
Sinua hävettää.;You feel ashamed.;Szégyelld magad.
Häntä suututtaa.;She feels angry.;Ez feldühíti.
Meitä ihmetyttää.;We feel confused.;meglepődünk.
Teitä masentaa.;You (plural) feel depressed.;Ez nyomaszt.
Heitä pelottaa.;They feel afraid.;Meg vannak ijedve.
Teitä väsyttää.;You feel tired.;Fáraszt.
Minua haukottaa.;I feel like yawning.;ásítok.
Sinua pissattaa.;You feel like you have to pee.;Mindjárt pisilni készülsz.
Häntä heikottaa.;He feels weak.;Ez gyengíti őt.
Meitä yskittää.;We feel like we have to cough.;Köhögünk.
Heitä oksettaa.;They feel nauseous.;Hánytatja őket.
minua ujostuttaa;I feel shy;félénk vagyok
sinua hävettää;you feel ashamed;szégyelld magad
häntä suututtaa;she feels angry;feldühíti
meitä ihmetyttää;we feel confused;csodálkozunk
teitä masentaa;you feel depressed;depressziós vagy
heitä pelottaa;they feel afraid;Meg vannak ijedve
minua ei ujostuta;I don't feel shy;Nem vagyok szégyenlős
sinua ei hävetä;you don't feel ashamed;nem szégyelled
häntä ei suututa;she doesn't feel angry;nem haragszik
meitä ei ihmetytä;we don't feel confused;nem csodálkozunk
teitä ei masenna;you don't feel depressed;nem leszel depressziós
heitä ei pelota;they don't feel afraid;nem félnek
Heitä hämmästyttää suuri maidonkulutus.;They're amazed by the large milk consumption.;Csodálkoznak a magas tejfogyasztáson.
Välillä häntä ihmetyttää vaimonsa käytös.;Sometimes his wife's behavior confuses him.;Néha meglepődik felesége viselkedésén.
Meitä mietityttää, kenelle video on tarkoitettu.;We're wondering who the video is meant for.;Kíváncsiak vagyunk, kinek szól a videó.
Minua askarruttaa lääkärin tekemä diagnoosi.;I'm confused about the doctor's diagnosis.;Aggódom az orvos diagnózisa miatt.
Meitä huolestuttaa ilmastonmuutos.;We're worried about climate change.;Aggódunk az éghajlatváltozás miatt.
Minua alkoi säälittää tuo poika.;I started to feel pity for the boy.;Kezdtem sajnálni azt a fiút.
Minua nolotti, kun en tunnistanut häntä.;I was embarrassed when I didn't recognise her.;Zavarban voltam, hogy nem ismertem fel.
Minua hävettää niin…;I feel so ashamed…;Annyira zavarban vagyok…
Tyttöä alkoi ujostuttaa.;The girl got a bit shy.;A lány kezdett szégyenlős lenni.
Meitä kaduttaa, että tultiin Suomeen.;We regret coming to Finland.;Megbántuk, hogy Finnországba jöttünk.
Heitä itkettää surullinen elokuva.;They feel like crying because of the sad movie.;Egy szomorú film megsiratja őket.
Minua surettaa, että hän ei ymmärrä minua.;It saddens me that he doesn't understand me.;Elszomorít, hogy nem ért engem.
Harmaa syksy masentaa monia.;The grey autumn makes many feel depressed.;A szürke ősz sokakat elnyom.
Minua harmittaa, kun unohdan avaimet kotiin.;I feel annoyed, when I forget my keys at home.;Felháborít, ha otthon felejtem a kulcsokat.
Meitä ärsyttää, koska bussi on myöhässä.;We feel annoyed, because the bus is late.;Bosszankodunk, mert késik a busz.
Minua inhottaa sade ja kova tuuli.;I detest rain and hard wind.;Utálom az esőt és az erős szelet.
Vauvaa kiukuttaa, jos hän ei saa ruokaa.;The baby feels annoyed if he doesn't get food.;A baba mérges lesz, ha nem kap enni.
Teitä suututtaa, koska se on loppuunmyyty.;You feel angry, because it's sold out.;Idegesít, mert elfogyott.
Minua vituttaa tämä jatkuva vesisade.;This constant rain pisses me off.;Ez az állandó vízeső idegesít.
Minua raivostuttaa, koska et ymmärrä minua.;I feel angry, because you don't understand me.;Felháborít, mert nem értesz engem.
Häntä pelottaa, koska huoneessa on pimeää.;She's scared because it's dark in the room.;Fél, mert a szoba sötét.
Meitä kauhistutti liikenne tiellä.;The traffic on the road horrified us.;Megrémültünk az úton zajló forgalomtól.
Rikoksen raakuus kammotti kaikkia.;The brutality of the crime horrified everyone.;A bűncselekmény brutalitása mindenkit megrémített.
Minua hirvitti, mutta suostuin kuitenkin.;I was terrified, but I agreed to do it regardless.;Megrémültem, de mégis beleegyeztem.
Kysymys häkellytti häntä.;The question shook him.;A kérdés zavarba hozta.
Minua ahdistaa käydä taloyhtiön saunassa.;I feel anxiety about using the building's sauna.;Aggódok, hogy elmegyek a lakóközösségi szaunába.
Isää jännittää vilkas liikenne.;Dad feels worried about the heavy traffic.;Apa ideges a forgalmas forgalom miatt.
Aloin kyllästyttää itse itseäni.;I started to get fed up with myself.;kezdtem untatni magam.
Häntä miellyttää suomalaisten suorapuheisuus.;She is pleased with the frankness of Finns.;Szereti a finnek őszinteségét.
Kysymys hymyilyttää äitiä ja isää.;The question makes mom and dad smile.;A kérdés megmosolyogtatja anyát és apát.
Minua naurattaa, kun katson hauskaa elokuvaa.;I feel like laughing when I watch a funny movie.;Megnevettet, ha egy vicces filmet nézek.
Minua ilahduttaa, kun sinä tuot kukkia.;I feel delighted when you bring flowers.;Boldoggá tesz, ha virágot hozol.
Minua huvittavat tosi-tv-ohjelmat.;I feel amused by reality tv shows.;Érdekelnek a valóságshow-k.
Häntä ei huvita lähteä.;He doesn't feel like leaving.;Nem érdekli, hogy elmenjen.
Talvella meitä lämmittää kuuma kaakao.;In winter, we warm up with hot chocolate milk.;Télen a forró kakaó melegít bennünket.
Ulkona on liian kylmää. Meitä paleltaa.;Outside it's too cold. We feel cold.;Túl hideg van odakint. Megfagyunk.
Kaupungilla oli kuumaa. Nyt minua janottaa.;It was hot in the city. Now I feel thirsty.;Meleg volt a városban. Most szomjas vagyok.
On jo myöhä: minua nukuttaa.;It's already late: I feel sleepy.;Már késő van: álmos vagyok.
Kun olen väsynyt, minua piristää kahvia.;When I'm tired, I get woken up by some coffee.;Ha fáradt vagyok, a kávé felvidít.
