Finnish;English;hungarian
asento;pose, position;pozíció
alaspäin katsova koira;Downward-Facing Dog;lefelé néző kutya
ylöspäin katsova koira;Upward-Facing Dog;felfelé néző kutya
puolikas istuva selänkierto;Sitting Half Spinal Pose;félig ülő hátsó forgás
käänteinen lankku;Reverse Table Pose;fordított deszka
selän suoristus eteentaivutuksessa;Standing Half Forward-Bend;a hát kiegyenesítése előrehajláskor
lapsen asento;Childspose;a gyermek helyzete
eteentaivutus istuen;Seated Forward Bend;előrehajlítás ülve
eteentaivutus seisten;Standing Forward Bend;álló előre kanyar
kuolleen miehen asento;Corpse Pose;halott póz
sivuojennus suorakulmassa;Extended Side Angle Pose;oldalirányú kiterjesztése derékszögben
soturi I;Warrior Pose I;harcos I
syväkyykky;Garland Pose;mély guggolás
hartiaseisonta;Shoulder Stand;váll állvány
päälläseisonta;Headstand;állva
kobra;Cobra Pose;kobra
lehmä;Cow Pose;tehén
kissa;Cat Pose;macska
heinäsirkka;Locust Pose;sáska
vene;Boat Pose;hajó
aura;Plow Pose;aura
lankku;Plank Pose;deszka
vuoriasento;Mountain Pose;hegyi póz
tuoliasento;Chair Pose;szék pozíció
puu;Tree Pose;faipari
jousi;Bow Pose;íj
silta;Wheel Pose;híd
istuma-asento;sitting position;ülő helyzet
seisoma-asento;standing position;álló helyzetben
konttausasento;standing on all fours;torz helyzet
vatsamakuu;laying down on belly;hasfájás
selinmakuu;laying down on back;hátfájás
joogamatto;yoga mat;jógamatrac
joogatunti;yoga session;jóga óra
aamujooga;morning yoga;reggeli jóga
tasapaino;balance;egyensúly
venytys;stretching;nyújtani
liike;movement;mozgalom
hengitys;breathing;légúti
keho;body;test
sisäinen rauha;inner peace;a belső béke
rentoutuminen;relaxation;kikapcsolódás
meditaatio;meditation;elmélkedés
taipuisuus;flexibility;rugalmasság
seisoa;to stand;állvány
istua;to sit;ül
maata;to lay down;fekszik
aloittaa;to begin;Rajt
hengittää;to breathe;lélegzik
syventää hengitys;to breathe deeper;mélyítse el a lélegzetet
rentoutua;to relax;lazíts
rentouttaa;to relax something;lazíts valamit
asettua;to position, place oneself;rendezni
asettaa;to position, place something;készlet
pysyä;to stay, remain;marad
pysyä asennossa;to maintain a pose;pozícióban maradni
pitää asento;to hold a pose;tartsa a pozíciót
palata takaisin;to return, go back;Gyere vissza
pidentää;to extend, lengthen;meghosszabbítja
venyttää;to stretch, elongate;nyújtózkodni
kurottaa;to reach for;elérni
nostaa ylös;to lift up;felemelni
laskea alas;to lower, bring down;Alsó
vetää sisään;to pull in;visszahúzni
halata jalkoja;to hug legs;öleld át a lábakat
painaa;to push, press;nyomja meg
astua;to step;lépés
kääntää;to turn;fordulat
koukistaa;to bend something;hajlít
suoristaa;to straighten something;kiegyenesedik
leventää;to widen;szélesíteni
levittää;to spread, extend;terjedés
jakaa paino;to distribute the weight;elosztani a súlyt
tuntea;to feel;érez
löytää;find;megtalálja
toistaa;to repeat;ismétlés
kuunnella omaa kehoa;to listen to your body;hallgass a testedre
Hengitä nenän kautta sisään!;Breathe in through your nose!;Lélegezz be az orrodon keresztül!
Hengitä nenän kautta ulos!;Breathe out through your nose!;Lélegezz ki az orrodon keresztül!
Päästä hengitys virtaamaan!;Let your breath flow!;Engedd folyni a lélegzetet!
Tunne hengitys rintakehässä!;Feel your breath in your chest!;Érezd a lélegzetet a mellkasodban!
Seiso ryhdikkäästi!;Stand up straight!;Húzd ki magad!
Istu risti-istunnassa!;Sit cross-legged!;Ülj keresztbe!
Asetu selinmakuulle!;Lie down on your back!;Feküdj a hátadra!
Makaa selälläsi!;Lay on your back!;Feküdj hanyatt!
Aloita vuoriasennossa!;Start in the Mountain Pose!;Kezdje hegyi pózban!
Löydä mukava asento!;Find a comfortable position!;Találj egy kényelmes pozíciót!
Pysy asennossa!;Stay in the pose!;Maradj pozícióban!
Pidä asento muutaman hengityksen ajan.;Hold the position for a few breaths.;Tartsa a pozíciót néhány lélegzetvételig.
Nosta lantio ylös!;Lift your hips up!;Emelje fel a csípőjét!
Pidä jalat koukussa!;Keep your legs bent!;Tartsd beakasztott lábaidat!
Jännitä reisiä!;Tense your thighs!;Nyújtsa ki a combját!
Koukista polvia!;Bend your knees!;Hajlítsd be a térded!
Tuo polvet kohti rintaa!;Bring your knees towards your chest!;Húzd a térdedet a mellkasod felé!
Muuta jalkojen asentoa!;Change the position of your feet!;Változtasd meg a lábaid helyzetét!
Jaa paino koko jalkapohjalle!;Divide the weight over the entire bottom of your foot!;Oszd el a súlyt a teljes talpon!
Aseta vasen käsi lattiaan!;Pleace your left hand on the floor!;Tedd a bal kezedet a padlóra!
Paina kämmenet lattiaan!;Press your palms on the floor!;Nyomd a tenyeredet a padlóhoz!
Nosta polvet ilmaan!;Lift your knees into the air!;Térdelj fel!
Nosta oikea polvi ylös!;Raise your right knee!;Emelje fel a jobb térdét!
Halaa oikeaa polvea vasemmalla käsivarrella!;Hug your right knee with your left arm!;Bal karjával ölelje át jobb térdét!
Käännä oikea polvi sivulle!;Turn your right knee to the side!;Fordítsd oldalra a jobb térdedet!
Suorista vasen jalka!;Straighten your left leg!;Egyenesítsd ki a bal lábadat!
Nosta kättä pään yli!;Raise your arm over your head.;Emelje fel a kezét a feje fölé!
Kurota käsiä kohti kattoa!;Reach your arms towards the ceiling!;Nyújtsa a kezét a mennyezet felé!
Laske kädet alas!;Lower your arms!;Kezeket le!
Pyöristä selkää!;Round your back!;Fordíts hátat!
Pidennä selkää!;Stretch your back!;Nyújtsa ki a hátát!
Kohota rintakehää ylös!;Raise your chest up!;Emeld fel a mellkasodat!
Vedä leukaa rintaa kohti!;Pull your chin towards your chest!;Húzza az állát a mellkasa felé!
Rentouta niska ja leuka!;Relax your neck and chin!;Lazítsa el a nyakát és az állát!
Toista sama vastakkaisella puolella!;Repeat the same thing in the other side!;Ismételje meg ugyanezt a másik oldalon is!
