Finnish;English;hungarian
shakki (šakki);chess;sakk
pelata shakkia (šakkia);to play chess;sakk lejátszásához
peli, shakkipeli;(chess) game;játék, sakk játék
shakkilauta (šakkilauta);chessboard;Sakktábla
valkea ruutu;light square;fehér doboz
tumma ruutu;dark square;sötét doboz
pelaaja;player;játékos
vastustaja;opponent;ellenfél
suurmestari;grandmaster;fő mester
shakinpelaaja;chess player;sakkjátékos
shakkinappulat;chess pieces;sakkcsomók
sotilas (colloquial: moukka);pawn;Katona (köznyelvi: biztos)
torni;rook;torony
ratsu (colloquial: hevonen);knight;Knight (köznyelv: ló)
lähetti;bishop;hírnök
kuningatar (colloquial: daami);queen;Királynő (köznyelv: Dami)
kuningas;king;király
eristetty sotilas;isolated pawn;elkülönített katona
kaksoissotilas;double pawn;kettős katona
takasotilas;backward pawn;hadsereg
yhdistetyt sotilaat;connected pawns;Kombinált katonák
upseeri;queen, knight, bishop, or rook;tisztviselő
valkea nappula;white piece;fehér gomb
musta nappula;black piece;fekete gomb
valkea;White (as a noun);fehér
musta;Black (as a noun);fekete
shakata;to check;csal
matittaa, shakkimatittaa;to checkmate, to mate;Matitta, sakkszőnyeg
voittaa peli;to win;Nyerj egy játékot
hävitä peli;to lose;elveszít egy játékot
korottaa sotilas kuningattareksi;to promote a pawn to a queen;Emelje fel a katona királynőjét
luovuttaa peli;to give up the game;add fel a játékot
lyödä nappula (col.: syödä);to capture a piece;hogy megnyomja a gombot (kol.: Egyél)
puolustaa;to protect;véd
siirtää nappula;to move a piece;lépni egy bábuval
suojata kuningasta;to protect the king;Védje a királyt
uhata nappulaa;to threaten a piece;fenyegeti a gombot
uhrata nappula;to sacrifice a piece;feláldozni egy bábut
haarukoida;to fork;villa
shakki;check;sakk (a végén)
shakki / shakkaus;check / checking;Sakk / shey
shakkimatti, matti;checkmate, mate;Sakk Matti, Matti
patti;stalemate;patt
matittaminen;checkmating;szőnyeg
aikatappio;timeout;menetrend
avaussiirto;opening move;megnyitó átadás
avausvaihe;opening;nyitófázis
avoin linja;open file;nyitott vonal
blitz (colloquial: blixt);blitz;Blitz (köznyelvi: BLIXT)
gambiitti;gambit;gambit
heikko ruutu;weak square;gyenge
ikuinen shakki;perpetual check;örök sakk
kaksoisshakki;double check;kettős chip
kehitys;development;fejlesztés
keskipeli;middlegame;középső játék
keskustaruutujen hallinta;control of the center squares;A központi képernyők irányítása
keskustan hallinta;control of the center;belvárosi irányítás
kiinnitys;pin;rögzítés
sotilaan korotus;promotion of a pawn;katonai
kosketussääntö;touch-move rule;kapcsolattartó szabály
koulumatti;scholar's mate;iskolai szőnyeg
kuningashyökkäys;king hunt;támadás
linnoitus (less official: tornitus);castling;Erőd (kevésbé hivatalos: tornitus)
lyhyt linnoitus;kingside castling;rövid erőd
pitkä linnoitus;queenside castling;hosszú erőd
loppupeli;endgame;utolsó játék
luovutus;resignation;kézbesítés
lyönti;capture;üt
munaus;blunder;hiba
nopea shakki;rapid chess;gyors sakk
ohestalyönti;en passant;lejtő
pakkosiirto;forced move;kényszerhordozás
pakoruutu;flight square, escape square;csóválás
pikashakki (colloquial: blixt);fast chess, blitz;Gyors horog (köznyelvi: BLIXT)
shakkikello;chess clock;sakkóra
shakkikerho;chess club;sakkklub
shakkiturnaus;chess tournament;sakkverseny
siirto;move;mozog
siirtopakko;zugzwang;vándorlás
siirtovuoro;turn to move;váltás
sivustointi;fianchetto;telek
tandemshakki;bughouse;tandemshakki
tasapeli, remissi;draw;sorsolás, remisszió
uhraus;sacrifice;áldozat
sisilialainen puolustus;Sicilian Defense;Szicíliai védelem
espanjalainen peli;Spanish Opening, Ruy Lopez;Spanyol játék
kuningatargambiitti, daamigambiitti;Queen's Gambit;Gambite királynő, Daamigambit
italialainen peli;Italian Game;Olasz játék
ranskalainen puolustus;French Defense;Francia védelem
slaavilainen puolustus;Slav Defense;Szláv védelem
Caron-Kannin puolustus;Caro-Kann Defense;A Caron fedélzet védelme
Pircin puolustus;Pirc Defense;PIRC védelme
Linnoitettu kuningas on paremmin turvassa.;A castled king is more secure.;A dúsított király jobban biztonságos.
