Finnish;English;hungarian
kiipeily;climbing;mászó
kiipeilyseinä;climbing wall;mászófal
ylös;up(wards);fel
vaara;danger;rossz
vuori;mountain;hegy
vuoren huippu;top of the mountain;a hegy teteje
vuoristo;mountain range;hatótávolság
korkea;high;magas
kiipeilyhalli;climbing hall;mászócsarnok
jännitys;excitement;feszültség
riski;risk;kockázat
kallio;rock;kő
kallioseinämä;the face of a rock;szikla
maisema;view;tájkép
seinäkiipeily;wall climbing;falmászás
kalliokiipeily;rock climbing;sziklamászás
boulderointi;bouldering;bouldering
urheilukiipeily;sport climbing;sportmászás
trädikiipeily;traditional climbing;famászás
tekninen kiipeily;aid climbing;technikai hegymászás
vapaakiipeily;free climbing;szabad mászás
vuorikiipeily;mountaineering;hegymászás
jääkiipeily;ice climbing;jégmászás
kilpakiipeily;climbing competition;versenymászás
nopeuskiipeily;speed climbing;gyorsmászás
liidaus, alaköysikiipeily;lead climbing;ólommászás, alsó kötélmászás
yläköysikiipeily;top-rope climbing;felső kötélmászás
köysilaskeutuminen;rappelling, abseiling;leereszkedés
big wall -kiipeily;big wall climbing;nagy falmászás
Alppikiipeily;Alpine climbing;Alpesi hegymászás
välineistö;equipment;felszerelés
turvallisuusvälineet;safety equipment;biztonsági felszerelés
mankka, magnesiumkarbonaatti;chalk, magnesium carbonate;sütemény, magnézium-karbonát
mankkapussi;chalk bag;katonai zsák
kypärä;helmet;sisak
kiipeilykengät;climbing shoes;mászócipő
valjaat;harness;hám
istumavaljaat;sit harness;Ülésheveder
köysitikkaat;rope ladder;Kötéllétra
nauhatikkaat;tape ladder;szalag létra
kiipeilyköysi;climbing rope;mászókötél
dynaaminen köysi;dynamic rope;dinamikus kötél
jalkalenkki;foot loop;lábhurok
varmistuslaite;belay device;tartalék eszköz
haka;clasp, piton;szén-monoxid
porahaka, porahaat;bolt, bolts;fúrószár, Fúrószár
sulkurengas;carabiner (locker);tömítőgyűrű
ruuvisulkurengas;screw locker carabiner;csavaros rögzítőgyűrű
jousihaka;carabiner;rugós horog
nauhalenkki;sling;szalaghurok
kiila;nut;ék
jatko;quickdraw;folytatás
crashpad, pädi;crashpad, bouldering mat;ütközőpad, fej
kantahuukki;heelhook;alapvonal
varvashuukki;toehook;lábujj horog
ankkuri;anchor;horgony
yläankkuri;top anchor;felső horgony
jääruuvi;ice screw;jégcsavar
jäärauta;crampon;jégvas
jäähakku;ice axe;jégcsákány
laskeutumiskahdeksikko;figure 8 rappel device;leszállás nyolc
frendi, kamu;friend;haver, haver
camalot;camalot;Camalot
prusik-narulenkki;Prusik rope loop;prusik zsinórhurok
prusik-solmu;Prusik knot;prusik csomó
kiipeillä; to climb (as a hobby);mászik (hobbiként)
kiivetä;to climb (once);mászik (egyszer)
ylittää;to traverse, pass;meghaladja
valloittaa huippu;to conquer the peak;hódítsa meg a csúcsot
nousta huipulle;to rise to the top;emelkedik a csúcsra
roikkua paikalleen;to hang in place;lógjon a helyén
liidata;to rappel, to lead;ragaszkodni
pudota;to fall;csepp
ylettyä otteeseen;to reach a handhold;kapaszkodóért nyúlni
nousta ylös;to rise;állj fel
laskea alas;to lower;Alsó
varmistaa;to belay;biztosítsa
laskeutua;to rappel;rendezni
kiipeilijä;climber;hegymászó
aloittelija;beginner;kezdő
kiipeilykaveri;climbing partner;hegymászó haver
kilpakiipeilijä;competing climber;versenyképes hegymászó
köysistö;rope team;kötélpálya
varmistaja;belayer;kezes
spottaaja;spotter;felderítő
beta;beta;béta
lihas, lihakset;muscle, muscles;izom, izmok
krimppaus;crimping;krimpelés
vaikeustaso;difficulty grade;nehézségi szint
köydenpituus;rope length, pitch length;kötélhossz
kallioreitti;route;sziklaösvény
kallionseinämä;rock wall;ko fal
matala reitti;low route;alacsony útvonal
vaikea reitti;difficult route;nehéz útvonal
on-sight;on sight;láthatáron
flash;flash;vaku
red point;redpoint;piros pont
kruksi;crux;kereszt
kiipeilytekniikka;climbing technique;mászó technika
kiipeilyliike;climbing move;mászó mozgás
dynaaminen liike;dynamic movement;dinamikus mozgás
dyno;dyno;dyno
muuvi;move;Egyéb
kiipeilyote;climbing hold;hegymászó markolat
pintsi;pinch;egy pint
saideri;sidepull;almabor
sloupperi;sloper;slampos
släbi;slab;släbi
spottaus;spotting;foltosodás
lista;edge;lista
cräkki, halkeama;crack;cräkki, crack
ständi;stand;állvány
