Finnish;English;hungarian
avanto;hole in the ice;lyuk a jégben
bambuvapa;bamboo rod;bambusz bot
evä;fin;uszony
haavi;hand net;háló
heittokalastus;cast fishing;öntés horgászat
hiilikuituvapa;carbon rod;szénszálas rúd
hyönteistoukka;maggot / insect larva;rovarlárva
isorysä;fyke net;nagy durranás
kaarirysä;hoop net;ív kyphosis
kala;fish;hal
kalalammikko;fish pond;halastó
kalastaja;fisherman;halász
kalastuskausi;fishing season;horgászszezon
kalastuskortti;fishing permit;horgászengedély
kalastusvälineet;fishing gear;horgászfelszerelés
katiska, merta;fish trap;katiska, tenger
kalaverkko;fish net;halászháló
kidukset;gills;kopoltyúk
koho;bob, bobber;úszó
koukku;hook;horog
kutuaika;spawning season;ívási idő
lasikuituvapa;glass rod;üvegszálas rúd
lippa;spinner;napellenző
mato;worm;féreg
mäti;spawn;őz
nuotta;seine;kerítőháló
onginta;polo fishing;zsákbamacska
onkiminen;hook and line fishing;horgászat
onki;fishing rod;egy horgászbot
paino;sinker;súly
perata;to gut;belek
perho;fly;légy
perhokalastus;fly-fishing;legyező horgászat
pilkkionginta;ice fishing;jeges horgászat
pitkäsiima;longline;vonóháló
pyrstö;tail;farok
rauhoitusaika;closed season;szezon zárása
ruoto;fish bone;csont
rysä;fyke;fyke
saada kalaa;to catch fish;halat fogni
siima;line / twin;vonal
sumppu;fish hold, fish box;halláda
suomu;scale;skála
suomustaa;to scale;skálázni
syöttikala;bait fish;csalihal
urheilukalastus;sport fishing;sporthorgászat
verkkokalastus;net fishing;hálós horgászat
