Finnish;English;hungarian
siivouskaappi;cleaning supply cupboard;tisztító szekrény
pölynimuri;vacuum cleaner;porszívó
imurinpusseja;vacuum cleaner bags;porszívó táskák
pölypussi;dust bag;porzsák
siivouspyyhe;cleaning towel;törlőtörölköző
mikrokuituliina;microfiber cloth;mikroszálas kendő
rätti;rag;rongy
siivousliina;cleaning cloth;törlőkendő
allasharja;sink brush;medencekefe
lattiaharja;floor brush;padlókefe
lattialasta;floor wiper;padló esztrich
rikkalapio;dustpan;szemétlapát
moppi;mop;felmosó
hankausmoppi;scrubbing mop;súroló felmosó
lattiakuivain;floor dryer;padlószárító
wc-harja;toilet brush;WC-kefe
ikkunalasta;squeegee;Az ablakpárkányon
monitoimimoppi;multipurpose mop;többcélú felmosó
sanko, ämpäri;bucket;vödör, vödör
pölyhuiska;duster;poroló
suojakäsineet;protective gloves;védőkesztyű
talouskäsineet;household gloves;gazdasági kesztyűk
pulloharja;bottle brush;palackkefe
pesukone, pyykkikone;washing machine;mosógép, mosógép
kuivausrumpu;drier;szárítógép
pyykkinaru;clothes line;szárítókötél
pyykkipoika;clothes peg;mosodai fiú
linko;spin dryer;elszívó
tiskikone, astianpesukone;dishwasher;mosogatógép, mosogatógép
astianpesuharja;dish brush;mosogatókefe
roskakori;garbage can;kuka
roskapussi;garbage bag;szemetes zsák
lika;dirt;piszok
tahra;stain;folt
pöpö;bug, bacteria;bogár
pöly;dust;por
mikrobi;microbe;mikroba
bakteeri;bacteria;bakteriális
rasva;grease;zsír
rasvalika;greasy dirt;zsíros szennyeződés
eritetahra;secretion stain;váladékfolt
roska;garbage;szemét
jäte;waste;Pazarlás
kalkkisaostuma;calcium deposit;vízkő
epäpuhtaus;impurity;szennyeződés
pinta;surface;felület
kosketuspinta;contact surface;érintkezési felület
matto;carpet;szőnyeg
lattiakaivo;floor drain;padlóösszefolyó
puhdas;clean;tiszta
likainen;dirty;piszkos
epäpuhdas;impure, dirty;tisztátalan
siisti;tidy;tiszta, takarított
epäsiisti, sotkuinen;untidy, messy;rendetlen, rendetlen
asetella;to arrange;beállítani
desinfioida;to disinfect;fertőtleníteni
hangata;to scrub;bozót
harjata;to brush;kefe
heittää roskiin;to throw away;eldobni
huuhdella;to rinse;öblítés
huuhdella kunnolla;to rinse thoroughly;alaposan öblítse le
huuhtoa;to flush;flush
imuroida;to vacuum clean;vákuum
järjestää;to arrange, sort;rendezni
kastella;to water;öntözni
kerätä pyykit;to collect laundry;összegyűjteni a szennyest
kierrättää;to recycle;Újrahasznosít
kiillottaa hana;to shine the tap;fényesítse a csapot
korjata astiat pöydältä;to clear the table;letakarítani az edényeket az asztalról
kääntää patja;to turn the mattress;fordítsa meg a matracot
lakaista;to sweep;söprés
likaantua;to get dirty;piszkossá válik
panna järjestykseen, järjestellä;to organize;rendet rakni, elintézni
pedata sänky;to make the bed;megágyaz
pestä ikkunat;to wash the windows;az ablakokat lemosni
pestä pyykit;to wash laundry;ruhát mosni
pestä tiskit;to wash the dishes;mosogass el
pitää siistinä;to keep clean;tartsa tisztán
poistaa tahra;to remove a stain;távolítson el egy foltot
puhdistaa;to clean;tisztít
pyyhkiä pölyt;to wipe the dust;törölje le a port
pyyhkiä pöytä;to wipe the table;törölje le az asztalt
pyyhkiä kuivaksi;to dry;dörzsölje le
pyyhkäistä;to wipe quickly;söprés gyorsan
roskata;to litter;szemetel
siivota;to clean up;takarítani
piiskata / tampata matto;to whip the dust out of a carpet;ostor / megveregeti a szőnyeget
tiskata;to do the dishes;mosogatni
tuulettaa;to air a room;szellőztetni
tyhjentää roskakori;to empty the garbage can;ürítsd ki a szemetest
vaihtaa petivaatteet;to change the sheets;cserélje ki az ágyneműt
viedä roskat ulos;to take the garbage out;kivinni a szemetet
vesi;water;víz
saippua;soap;szappan
pesuaine;detergent;mosószer
puhdistusaine;cleaner;tisztító
desinfioiva puhdistusaine;disinfectant cleaner;fertőtlenítő tisztítószer
tiskiaine, astianpesuaine;dishwasher soap;mosogatószer, mosogatószer
yleispuhdistusaine;multi-purpose cleaner;általános célú tisztítószer
uuninpuhdistusaine;oven cleaner;sütő tisztító
viemärin avaus -aine;drainage opener;lefolyónyitó
etikka;vinegar;ecet
liuos;solution;megoldás
kemiallinen pesu;dry cleaning;vegyi mosás
