Finnish;English;hungarian
alhainen vuokra;low rent;alacsony bérleti díj
asuntolaina, kiinnelaina;home loan, mortgage;jelzálog
asuntopula;housing shortage;lakáshiány
irtisanomisaika;notice period;értesítés
kiinteistönhoitaja;caretaker, janitor;ingatlan-kezelő
kiinteistönvälittäjä;estate agent;ingatlanügynök
korkea vuokra;high rent;magas bérleti díj
kuorma-auto;truck;kamion
lähinaapuri;next-door neighbor;közvetlen szomszéd
muuttaa;to move (house);változás
muuttoauto;moving van;mozgó teherautó
muuttofirma;moving company;mozgó cég
muuttolaatikko;moving box;mozgó doboz
muovinen muuttolaatikko;plastic moving box;műanyag mozgódoboz
pahvilaatikko;cardboard box;kartondoboz
pinottava laatikko;stackable box;egymásra rakható doboz
banaanilaatikko;banana box;banános doboz
muuttomies;mover;egy migráns
muuttomiehet;movers;migránsok
muuttopäivä;moving day;költözés napja
muuttosiivous;moving-out cleaning;mozgó takarítás
naapuri;neighbor;szomszéd
pakettiauto;van;furgon
tilapäismajoitus;temporary accommodation;ideiglenes szállás
tupaantuliaiset;house-warming party;házavatás
vuokra;rent;bérbeadás
vuokraennakko;rent deposit;bérleti előleg
vuokraisäntä;landlord;földesúr
vuokralainen;tenant;bérlő
vuokrasopimus;renting contract;bérlet
muuttaa uuteen asuntoon;to move to a new place;új lakásba költözni
pakata;to pack;csomag
pakata tavarat muuttolaatikkoihin;to pack things in moving boxes;csomagolja be a dolgokat költöztető dobozokba
täyttää muuttolaatikot;to fill the moving boxes;töltse ki a mozgódobozokat
kantaa muuttolaatikot;to carry the moving boxes;mozgódobozokat hordani
purkaa muuttolaatikot;to empty the moving boxes;csomagolja ki a mozgódobozokat
kilpailuttaa muuttopalvelu;to ask for bids for moving services;költözési szolgáltatási pályázatok
vuokrata;to rent;bérlés
vuokrata pakettiauto;to rent a van;bérelni egy furgont
tilata muuttopalvelu;to order a moving service;költöztetést rendelni
sanoa irti (irtisanoa);to give notice;kilép (elbocsát)
Etsin uutta asuntoa.;I'm looking for a new place to live.;Új lakást keresek.
Haluaisin muuttaa toiseen kaupunkiin.;I would like to move to another city.;Szeretnék másik városba költözni.
Haluaisin muuttaa uuteen asuntoon.;I would like to move to a new apartment.;Szeretnék új lakásba költözni.
Haluaisin muuttaa isompaan asuntoon.;I would like to move to a bigger apartment.;Szeretnék nagyobb lakásba költözni.
Minun nykyinen asuntoni on liian pieni.;My current apartment is too small.;A jelenlegi lakásom túl kicsi.
Haluan muuttaa niin pian kuin mahdollista.;I want to move as soon as possible.;Szeretnék minél előbb költözni.
Haluaisin tilavamman asunnon.;I'd like a more spacious apartment;Szeretnék egy tágasabb lakást.
Haluaisin vuokrata ison kolmion.;I'd like to rent a large 3-room apartment.;Szeretnék bérelni egy nagy háromszöget.
Haluaisin ostaa asunnon.;I'd like to buy an apartment.;Szeretnék lakást venni.
Haluaisin ostaa omakotitalon.;I'd like to buy a detached house.;Családi házat szeretnék vásárolni.
Haluaisin myydä asuntoni.;I'd like to sell my apartment.;Szeretném eladni a lakásomat.
Haluaisin löytää uuden vuokralaisen.;I'd like to find a new tenant.;Szeretnék új bérlőt keresni.
En halua asua vuokralla.;I don't want to rent.;Nem akarok albérletben élni.
Meillä ei ole varaa ostaa asuntoa.;We can't afford to buy an apartment.;Nem engedhetjük meg magunknak, hogy házat vegyünk.
Muutin viime viikolla.;I moved last week.;Múlt héten költöztem.
Muutin Suomeen viime vuonna.;I moved to Finland last year.;Tavaly Finnországba költöztem.
Muutin perhesyiden takia (esim. avioero).;I moved for family reasons (e.g. divorce).;Családi okok miatt költöztem (pl. válás).
Edellinen asuntoni oli liian pieni.;My previous apartment was too small.;Az előző lakásom túl kicsi volt.
Edellinen asuntomme oli liian suuri.;Our previous apartment was too large.;Az előző lakásunk túl nagy volt.
Halusin muuttaa lähemmäs työpaikkaani.;I want to move closer to my place of work.;Közelebb akartam költözni a munkahelyemhez.
Halusin asua lähempänä keskustaa.;I wanted to live closer to the city center.;Közelebb akartam élni a központhoz.
Minun täytyy pakata kaikki tavarani.;I have to pack all my things.;Össze kell csomagolnom minden cuccomat.
Tarvitsen isoja muuttolaatikoita.;I need large moving boxes.;Nagy költöztető dobozok kellenek.
Mistä voin vuokrata muuttolaatikoita?;Where can I rent moving boxes?;Hol tudok költöztető dobozokat bérelni?
Hain banaanilaatikoita kaupasta.;I fetched banana boxes from the store.;Felvettem a banános dobozokat a boltban.
Käärin viinilasit sanomalehtiin.;I wrap the wine glasses in newspapers.;A borospoharakat újságokba csomagoltam.
Suljen laatikot pakkausteipillä.;I close the boxes with packing tape.;Csomagolószalaggal lezárom a dobozokat.
