Finnish;English;hungarian
Opiskelen alkeiskurssilla.;I'm studying in a beginner's course.;elemi tagozaton tanulok.
Opiskelen iltakurssilla.;I'm studying in an evening course.;Esti tanfolyamon tanulok.
Opiskelen kotoutumiskoulutuksessa.;I'm studying in integration education.;Integrációs képzésben tanulok.
Opiskelen ammattikoulussa.;I study at a vocational school.;Szakközépiskolában tanulok.
Haluan opiskella ammattikoulussa.;I want to study at a vocational school.;Szakközépiskolában szeretnék tanulni.
Kotimaassani opiskelin yliopistossa.;In my home country, I studied at university.;Hazámban tanultam az egyetemen.
Opiskelen suomen kieltä. Opiskelen suomea.;I'm studying Finnish.;A finn nyelvet tanulom. finnül tanulok.
Opiskelen tällä hetkellä matematiikkaa.;I'm currently studying maths.;Jelenleg matematikát tanulok.
Olen opiskellut kieliä ja ekonomiaa.;I've studied languages and economics.;Nyelveket és közgazdaságtant tanultam.
Nuorena opiskelin biologiaa.;When I was young, I studied biology.;Fiatal koromban biológiát tanultam.
Opiskelin kotimaassani lääketiedettä.;I studied medicine in my home country.;Hazámban tanultam orvost.
Olen opiskellut suomea yhden vuoden.;I've been studying Finnish for one year.;Egy évig tanultam finn nyelvet.
En ole ennen opiskellut ammattia.;I haven't studied a profession before.;Még soha nem tanultam szakmát.
Opiskelen lähihoitajaksi.;I'm studying to be a practical nurse.;Ápolónőnek tanulok.
Opiskelen insinööriksi.;I'm studying to be an engineer.;Mérnöknek tanulok.
Opiskelin kotimaassani opettajaksi.;I studied to be a teacher in my home country.;Hazámban tanultam tanárnak.
Suomessa haluan opiskella hitsaajaksi.;In Finland, I want to study to be a welder.;Finnországban szeretnék hegesztőnek tanulni.
Valmistun ensi vuonna lähihoitajaksi.;I'm graduating as a practical nurse next year.;Jövőre fogok diplomázni ápolónőként.
Valmistun kohta rakennusmieheksi.;I'll soon be graduating as a construction worker.;Építőipari munkás diploma megszerzése előtt állok.
Valmistuin vuonna 2012 kirjanpitäjäksi.;I graduated in 2012 as an accountant.;2012-ben végeztem könyvelőként.
Valmistuin kotimaassani opettajaksi.;I graduated as a teacher in my home country.;Hazámban szereztem tanári diplomát.
Valmistuin maisteriksi.;I graduated with a master's degree.;mesterképzést szereztem.
En koskaan valmistunut.;I never graduated.;Soha nem végeztem.
Valmistun ensi kuussa yliopistosta.;I'll graduate from university next month.;Jövő hónapban végzek az egyetemen.
Valmistuin lukiosta vuonna 2003.;I graduated from high school in 2003.;2003-ban érettségiztem a középiskolában.
Valmistuin Varsovan yliopistosta vuonna 2011.;I graduated from the University of Warsaw in 2011.;2011-ben diplomáztam a Varsói Egyetemen.
Kävin peruskoulun ja lukion Kiinassa.;I did primary and secondary school in China.;Kínában jártam általános iskolába és középiskolába.
Kävin yliopiston kuudessa vuodessa.;I completed university in six years.;Hat évig jártam egyetemre.
Olen käynyt pelkästään peruskoulun.;I've only completed primary school.;Én csak általános iskolába jártam.
