Finnish;English;hungarian
pankki;bank;bank
konttori;office;hivatal
asuntolaina;mortgage;jelzálog
henkivakuutus;life insurance;életbiztosítás
kassakaappi;safe;biztonságos
korko;interest;kamat
käyttötili;current account, checking account;beszámoló
lainanlyhennys;repayment on a loan;kölcsön -visszafizetés
lasku;bill;esik
liikepankki;commercial bank;kereskedelmi bank
luotto;credit;hitel
luottotiedot;credit information;hitel információ
luottokortti;credit card;hitelkártya
luottokorttimaksu;credit card payment;hitelkártya -fizetés
luottoraja;credit limit;hitelkeret
lähimaksu;contactless payment;bezár
mobiilimaksu;mobile payment;mobil fizetés
nostoraja;withdrawal limit;emelési határ
osuuspankki;cooperative bank;szövetkezeti bank
pankinjohtaja;bank manager;bankvezető
pankkiautomaatti;cash dispenser;ATM
pankkiholvi;bank vault;boltozat
pankkiiri;banker;bankár
pankkipalvelut;banking services;banki szolgáltatások
pankkisiirto, tilisiirto;bank transfer;Bank átutalás, bankátutalás
pankkikortti;bank card;betéti kártya
pankkilaina;bank loan;bankhitel
pankkitalletus;bank deposit;bankfizetés
pankkitili;bank account;bankszámla
pankkivirkailija;bank clerk;bankminiszter
perintä;debt collection;gyógyulás
saldo;balance on an account;egyensúly
shekki;cheque;ellenőrzés
säästöpankki;savings bank;takarékpénztár
säästötili;savings account;takarékszámla
talletuskorko;deposit rate;betéti ráta
talletustili;deposit account;betéti számla
tilinumero;bank account number;számlaszám
tiliote;bank statement;nyilatkozat
tunnusluku, PIN-koodi;pin number;Tű, tű
vakuutus;insurance;biztosítás
vakuutusyhtiö;insurance company;biztosítótársaság
valuutta;currency;valuta
valuuttakurssi, vaihtokurssi;exchange rate;árfolyam, árfolyam
velan lyhennys;debt repayment;adósság -visszafizetés
velka;debt;adósság
asioida pankissa;to do business at the bank;bankügyek
avata tili;to open an account;Nyisson meg egy számlát
erääntyä;to become due;érett
kasvaa korkoa;to grow interest;növekszik az érdeklődés
käyttää luottokorttia;to use a credit card;Használjon hitelkártyát
käyttää pankkikorttia;to use a bank card;Használjon bankkártyát
käyttää verkkopankkia;to use online banking;Használjon online banki szolgáltatást
lainata pankista;to borrow from the bank;hitelt kölcsönöz
lähettää rahaa ulkomaille;to send money abroad;Küldjön pénzt külföldre
maksaa lasku;to pay a bill;Vedd fel a fület
nostaa käteistä;to withdraw cash;készpénzt gyűjt
näppäillä tunnusluku;to enter the pin code;Írja be a jelzőt
saada laina;to get a loan;hitelt szerez
siirtää rahaa;to transfer money;átutal
sulkea, kuolettaa pankkikortti;to freeze a bankcard;A bezáráshoz becsapja a betéti kártyáját
säästää rahaa;to save money;pénzt takaríthat meg
tallettaa rahaa;to deposit money;befizetési pénz
tilata uusi kortti;to order a new card;Rendeljen új kártyát
täyttää lainahakemus;to fill out a loan application;A hitelkérelem kitöltése
vaihtaa valuuttaa;to exchange currency;árut pénznem
Minun pitää käydä pankissa.;I have to go to the bank.;Meg kell látogatnom a bankot.
Minun on pakko käydä konttorissa.;I must go to the bank office.;El kell mennem az irodába.
