Finnish;English;hungarian
elokuvateatteri;cinema;mozi
elokuva, leffa;movie;Egy film, egy film
näytös;show;megmutat
ensi-ilta;premiere;bemutató
elokuvasali;cinema hall;moziterem
istumapaikka;seat;ülés
traileri;trailer;utánfutó
dubbaus, jälkiäänitys;dubbing;szinkronizálás, utóhatás
käsikirjoitus;script;kézirat
tekstitys;subtitles;felirat
valkokangas;movie screen;képernyő
elokuva-arvostelu;movie review;film áttekintése
näyttelijä;actor;színész
näyttelijätär;actress;színésznő
filmitähti;movie star;filmsztár
päänäyttelijä;main lead;filmsztár, főszereplő
ohjaaja;director;felügyelő
tuottaja;producer;termelő
kuvaaja;cameraman;operatőr
ääniteknikko;sound engineer;hangtechnikus
käsikirjoittaja;scriptwriter;forgatókönyvíró
avustaja;extra;helyettes
sijaisnäyttelijä;stuntman;kaszkadőr
yleisö;audience;közönség
dokumenttielokuva;documentary;dokumentumfilm
jännityselokuva, trilleri;thriller;Izgalmas film, thriller
kauhuelokuva;horror movie;horrorfilm
toimintaelokuva;action movie;akciófilm
seikkailuelokuva;adventure movie;kaland
rikoselokuva;crime movie;bűnügyi film
animaatioelokuva;animated movie;animációs film
piirretty elokuva;animated movie (drawn);rajzfilm
perhe-elokuva;family movie;családi film
scifi-elokuva, tieteiselokuva;sci-fi movie;sci-fi film, tudományos fantasztikus
sotaelokuva;war movie;háborús film
komedia;comedy;komédia
draama;drama;dráma
musikaali;musical;zenei
lyhytelokuva;short film;rövidfilm
elämäkertaelokuva;biographical movie;életrajz
kotimainen elokuva;domestic movie;háztartási film
romanttinen elokuva;romantic movie;romantikus film
historiallinen elokuva;historical movie;történelmi film
palkittu elokuva;award-winning movie;díjnyertes film
jymymenestys;blockbuster;lekvár
kermakakkukomedia;slapstick comedy;krémtortakomédia
hauska elokuva;funny movie;vicces film
tylsä elokuva;boring movie;unalmas film
jännittävä elokuva;exciting movie;izgalmas film
pelottava elokuva;scary movie;ijesztő film
yllättävä elokuva;surprising movie;Meglepő film
mielenkiintoinen elokuva;interesting movie;érdekes film
väkivaltainen elokuva;violent movie;erőszakos film
käydä elokuvissa;to go to the movies;Menj moziba
varata liput;to reserve tickets;Könyvjegyek
ostaa liput;to buy tickets;Vásároljon jegyeket
valita istumapaikat;to choose the seats;felvesz
ostaa herkkuja;to buy snacks;Vásároljon finomságokat
näytellä;to act;játék
esiintyä;to perform;előfordul
dubata;to dub;dub
filmata;to shoot;film
Haluatko käydä elokuvissa?;Do you want to go to the movies?;Moziba akar menni?
Tulisitko mukaan elokuviin?;Would you come to the movies with me?;Jöjnél a moziba?
