Finnish;English;Hungarian
potilas;patient;betege
asiakas;customer;ügyfél
farmaseutti;pharmacist;gyógyszerész
apteekkari;chemist;patikaárus
apteekki;pharmacy;patika
farmakologinen;pharmacological;farmakológiai
lääkemääräys;prescription rendelés;gyógyszerfelírás
resepti;prescription recept;felírás
e-resepti;e-prescription e-recept;elektronikus recept
sähköinen resepti;electronic prescription digitális recept;elektronikus vény
puhelinresepti;phone-in prescription telefonszámos recept;telefonos vény
lääke;medicine szer;gyógyszer
lääkitys;medication kezelés;gyógyszerelés
lääkehoito;medical treatment terápia;gyógyszeres kezelés
lääketiede;(field of) medicine orvostudomány;gyógyítás tudománya
lääketieteellinen;medicinal orvosi;gyógyászati
hoitomenetelmä;treatment method eljárás;kezelési mód
lääkevalmiste;medicinal product készítmény;gyógyszerkészítmény
lääkelaki;pharmaceutical law gyógyszertörvény;gyógyszertörvény
pakkausseloste;package leaflet használati utasítás;betegtájékoztató
KELA-kortti, kelakortti;Finnish health insurance card social security card;TAJ-kártya
reseptivapaa lääke;over-the-counter medicine OTC medication;gyógyszer vény nélkül
itsehoitolääke;non-prescription medicine; önkezelő szer, gyógyszer vény nélkül
reseptilääke;prescription drug vényköteles gyógyszer;gyógyszer receptre
kolmiolääke;controlled medication kontrollált gyógyszer;engedélyköteles szer
rinnakkaisvalmisteet;parallel products generics;hasonló készítmények
lääkkeen kauppanimi;trade name márkanév;kereskedelmi név
vaikuttava aine;active substance hatóanyag;hatóanyag
antibiootti;antibiotic fertőtlenítő szer;antibiotikum
antihistamiinit;antihistamines allergiaellenes;antihisztaminok
e-pilleri, ehkäisypilleri;birth control pill contraceptive;fogamzásgátló tabletta
emulsio;emulsion emulzió;emulzió
flunssalääke;flu medicine cold remedy;influenza gyógyszer
ilmavaivalääke;flatulence remedy wind relief;puffadás elleni szer
insuliini;insulin inzulin;inzulin
kipugeeli;pain relief gel fájdalomcsillapító gél;fájdalomcsillapító zselé
kipulääke, särkylääke;painkiller analgesic;fájdalomcsillapító
kipuvoide;pain relief cream fájdalomkrém;fájdalomcsillapító krém
kolesterolilääke;cholesterol medicine lipid medication;koleszterinszint-csökkentő szer
kuumelääke;antipyretic lázcsillapító;lázzal szembeni szer
kylmävoide;cold cream hűsítő krém;hideg krém
kyypakkaus;snakebite kit mérgeskígyó-készlet;kígyómarás elleni csomag
lihasrelaksantit;muscle relaxants izomlazítók;izomrelaxánsok
lääkehiili;activated charcoal aktívszén;aktiv szén
mahahappolääke;gastric acid medicine savlekötő;gyomorsav-ellenes szer
maitohappobakteerit;lactic acid bacteria probiotikum;tejsavbaktériumok
masennuslääke;antidepressant serotonin reuptake inhibitor;antidepresszáns
matkapahoinvointilääke;travel sickness medicine motion sickness drug;utazásellenes gyógyszer
mielialalääke;mood stabilizer hangulatjavító;hangulatstabilizátor
migreenilääke;migraine medication fejfájás elleni szer;migrén gyógyszer
monivitamiini;multivitamin vitamin complex;multivitamin
nikotiinilaastari;nicotine patch nikotinos tapasz;nikotin tapasz
närästyslääke;heartburn medicine reflux ellenes;gyomorégés elleni szer
pahoinvointilääke;antinausea drug émelygésgátló;hányás ellenes gyógyszer
parasetamol;paracetamol acetaminophen;paracetamol
penisilliini;penicillin penicillin;penicillin
perusvoide;base cream alapozó krém;alapkrém
psykoosilääke;antipsychotic antipszichotikum;antipszichotikum
rauhoittava lääke;sedative tranquillizer;nyugtató
ravintolisä;dietary supplement supplement;étrend-kiegészítő
ripulilääke;medicine for diarrhea dia- medicine;hasmenés elleni gyógyszer
rokote;vaccine immunization;vakcina
tulehduskipulääke;anti-inflammatory drug NSAID;gyulladáscsökkentő
ulostuslääke, ummetuslääke;laxative purgatív;hashajtó
unilääke;sleeping pill hypnotic;altatók
verenohennuslääke;blood thinner anticoagulant;véralvadásgátló
verenpainelääke;blood pressure medication antihypertensive;vérnyomáscsökkentő
vitamiinit;vitamins nutrient tablets;vitaminok
voide;cream lotion;krém
yskänlääke;cough medicine antitussive;köhögés elleni szer
antotapa;route of administration administration route;adagolási mód
oraalinen antotapa;oral route of administration buccal route;orális alkalmazás
nasaalinen antotapa;nasal route of administration nasal route;nazális alkalmazás
rektaalinen antotapa;rectal route of administration suppository route;rektális alkalmazás
suun kautta;orally by mouth;szájon át
nenän kautta;nasally through nose;orron keresztül
peräaukon kautta;anally via anus;végbélen át
kielen alla;under the tongue sublingual;nyelv alatt
ihon alla;under the skin subcutaneously;bőr alá
suussa liukeneva tabletti;soluble tablet oro-dispersible tablet;szájban oldódó tabletta
pureskeltava tabletti;chewable tablet mandulható tabletta;rágótabletta
kalvopäällystetty tabletti;film-coated tablet coated pill;filmes bevonatú tabletta
kalvopäällysteinen tabletti;film-coated tablet same as above;filmes tabletta
ihonalainen lääke;subcutaneous drug sub-skin injection;bőr alá adott gyógyszer
implantaatti;implant implantátum;beültetett eszköz
sisäänhengitettävä lääke;inhalable drug inhalation medication;inhalációs gyógyszer
kapseli;capsule gel-capsule;kapszula
tabletti;tablet pill;tabletta
suihke;spray aerosol;spray
liuos;solution liquid;oldat
jauhe;powder dust;türkőr
pistos;injection shot;injekció
injektio ihokudokseen;injection into skin tissue intradermal injection;intradermális injekció
poretabletti;effervescent tablet carbon tablet;pezsgőtabletta
silmätipat;eye drops ocular drops;szemcsepp
korvatipat;ear drops auricular drops;fülcsepp
nenäsuihke;nose spray nasal aerosol;orrspray
lasiampulli;ampoule vial;ampulla
suppo = peräpuikko;suppository rectal pellet;Kúp
peräruiske;enema rectal douche;kúp
annossumutin, inhalaattori;inhaler nebulizer;inhalátor
emätinpuikko;vaginal sup;vaginális kúppal, emätinkúp
emätinvoide;vaginal cream intimate cream;vaginális krém
lääkelaastari;medicine patch medicated patch;gyógyszeres tapasz
pitkävaikutteinen lääke;long-acting drug extended-release medication;hosszú hatású szer
aurinkosuoja;sunscreen sun protection;napvédő
desinfiointiaine;disinfectant sanitizer;fertőtlenítőszer
dosetti;pill dispenser pill organizer;tablettaadagoló
ensiapupakkaus;first aid kit emergency set;elsősegély-csomag
haavanpuhdistusaine;wound cleanser wound cleanser;sebcsírozó
hammastahna;toothpaste dentifrice;fogkrém
harsotaitos;gauze dressing géz;gézlap
kasvomaski;face mask surgical mask;arcmaszk
kosmetiikka;cosmetics beauty products;kozmetikumok
kuumemittari;thermometer temp gauge;hőmérő
kynsisakset;nail scissors manicure scissors;körömolló
käsidesi;hand sanitizer hand gel;kézfertőtlenítő
laastari;band-aid plaster;tapasz
matolääke kissalle/koiralle;worm medicine for pets antiparasitic;bélszéles elleni szer
neula;needle syringe needle;tű
pinsetit;tweezers forceps;csipesz
punkkipihdit;tick pliers tick remover;tacsipipetta
raskaustesti;pregnancy test pregnancy kit;terhességi teszt
ruiskepullo;injection bottle vial;injekciós üveg
ruisku;syringe medical syringe;injekciós tű
side;bandage dressing;kötés
siderulla;bandage roll gauze roll;kötésgöngyöl
tabletinhalkaisija;pill splitter pill cutter;készletező
tabletinmurskain;pill crusher pill grinder;tablettatörő
verenpainemittari;blood pressure monitor BP meter;vérnyomásmérő
käyttää lääkettä;to use medication take medicine;gyógyszert szed
syödä lääkettä;to take medication ingest drug;gyógyszert bevenni
käyttää lääkettä väärin;to misuse medication take incorrectly;gyógyszert helytelenül használ
määrätä lääke;to prescribe a medication prescribe;felír gyógyszert
antaa lääkemääräys;to give a prescription issue prescription;felír
näyttää kelakortti;to show social security card present insurance card;TAJ-kártyát felmutat
ostaa lääke apteekista;to buy medication from the pharmacy purchase drug;gyógyszert venni a patikában
ottaa suun kautta;to take orally swallow;orálisan bevenni
niellä lääke;to swallow a medicine swallow pill;meginni a gyógyszert
