Finnish;English;hungarian
ikimerkki;forever stamp;állandó
joulukortti;Christmas card;Karácsonyi kártya
kirje;letter;levél
kirjattu kirje;registered letter;ajánlott levél
kirjekuori;envelope;boríték
lähettäjä;sender;feladó
lähetys;shipment;terjedés
lähin palvelupiste;closest postal outlet;legközelebbi szolgáltatási pont
muuttoilmoitus;notice of change of address;eltávolítási értesítés
osoite;address;cím
pikakirje;express letter;expressz levél
posti;post office;postai
postiennakko;Cash On Delivery;Készpénz kézbesítéskor
postikortti;postcard;képeslap
postilaatikko;letterbox, mailbox;postafiók
postiluukku;mail slot;levélszekrény
postimerkki;stamp;bélyeg
postinjakaja;mailman, postman;postás
postinumero;postal code;irányítószám
valtakirja;power of attorney;meghatalmazás
ALV, arvonlisävero;VAT, value added tax;HÉA, HÉA
digitaalinen tullaus;digital customs clearance;digitális vám
passi, ajokortti;ID, passport, driver's license;Útlevél, vezetői engedély
henkilökortti, henkkarit;identity card;Igazolvány, akaszterek
kadonnut paketti;lost parcel;Hiányzó csomag
kotiinkuljetus;home delivery;otthoni szállítás
käsittelymaksu;handling fee;jutalékdíj
lahjalähetys;gift item;ajándék közvetítés
lähetys kotiin;deliver to home;Szállítási ház
lähetyksen seurantakoodi;tracking code;Szállítási követési kód
lähetystunnus;item ID;Szállítási azonosító
nettiostos;online purchase;bevásárlás
noutopaikka;pickup location;pick -up
noutopiste;pickup point;felvételi pont
paketti;parcel;csomag
pakettiautomaatti;parcel point;árusító automata
paketti kotimaahan;domestic parcel;Csomag a hazájához
paketti EU:n ulkopuolelta;parcel from outside the EU;Csomag az EU -n kívülről
paketti EU:n ulkopuolelle;parcel to outside the EU;Csomag az EU -n kívül
paketin koko;size of the parcel;A csomag mérete
palautus;return;visszatérés
palvelupiste;service point;szolgálati pont
postipaketti;post parcel;oszlop
seuranta;tracking;követés
saapumisilmoitus;notice of arrival;érkezési értesítés
säilytysaika;storage period;visszatartás
särkyvä;fragile;törékeny
toimituspaikka;delivery location;szállítási pont
tullattava lähetys;item that requires customs clearance;előléptetés
tullaus;customs clearance;vámkezelés
tulli;customs;vám
tuonti-ilmoitus;import declaration;import értesítés
tuontitullaus;import clearance;behozatali vám
ulkomailta saapuva paketti;a package from abroad;külföldön
vahingoittunut paketti;damaged parcel;sérült csomag
lähettää kirje / paketti;to send a letter / parcel;Küldjön levelet / csomagot
maksaa käsittelymaksu;to pay the handling fee;Fizessen a feldolgozási díjat
maksaa lähetys netissä;to pay for shipping online;Fizessen online a szállítást
saada kirje / paketti;to receive a letter / parcel;Szerezzen be egy levelet / csomagot
seurata lähetystä;to track the shipment;Figyelje a szállítmányt
tehdä tuontitullaus;to clear through customs;behozatal
toimittaa paketti perille;to deliver a parcel to someone;Szállítja meg a csomagot
viedä paketti automaattiin;to take a parcel to a parcel point;Vigye a csomagot az automatára
pidentää paketin säilytysaikaa;to extend parcel's storage period;Hosszabbítsa meg a csomag visszatartási idejét
