Finnish;English;hungarian
Myymälät;Stores;Áruházak
kauppa;shop, store;kereskedelmi
kioski;kiosk;kioszk
kirpputori;flea market;bolhapiac
liike / yritys / firma;business;Üzleti / vállalat / vállalat
lähimyymälä;neighborhood shop;közeli
myymälä;store;bolt
ostoskeskus;shopping center;bevásárlóközpont
osuuskauppa;cooperative shop;szövetkezet
pienyritys;small business;kisvállalkozás
ruokakauppa;grocery store;élelmiszerbolt
suuryritys;big corporation;nagyvállalat
tavaratalo;department store;áruház
valintamyymälä;supermarket;szupermarket
Kaupassa;At the store;A boltban
asiakaspalvelu;customer service;ügyfélszolgálat
elintarvikeosasto;food department;élelmiszer részleg
hevi-osasto;fruit and vegetable department;Hevi osztály
itsepalvelu;self-service;önszolgálat
kassat;cashiers (pic);pénztárak
kassajono;cashier queue;pénztáros sor
kauppatavara;merchandise;áru
kylmäkaappi;refrigerator;hűtőszekrény
käytävä;aisle;folyosó
leipäosasto;bread department;kenyér osztály
lihatiski;meat counter;húsvére
loppuunmyynti;final sales;teljes eladás
loppuunmyyty;sold out;teljesen lefoglalva
osamaksu;payment installment;részlet
ostoskori;shopping basket;kosár
ostoskärry;shopping cart;bevásárlókocsi
ostoslista;shopping list;bevásárló lista
pakasteallas;freezer;mélyhűtő
päivittäistavarat;groceries;élelmiszerek
sisäänkäynti;entrance;Bejárat
uloskäynti;exit;kijárat
vaateosasto;clothing department;ruházat
viivakoodi;bar code;vonalvezető
Raha;Money;Pénzügyi
ALV;VAT;KÁD
bonuskortti;bonus card;bónuszkártya
hinta;price;ár
kassakone;cash register;pénztárgép
kolikko;coin;érme
kuitti;receipt;nyugta
käteinen;cash;készpénz
luottokortti;credit card;hitelkártya
pankkikortti;bank card;betéti kártya
sentti;cent;cent
seteli;bill;jegyzet
Verbejä;Verbs;Igék
hinnoitella;to price;költség
hinnoittaa;to fix the prices;áraz
hyllyttää;to shelve;lezár ügyet
kustantaa;to finance;közzétesz
käydä ostoksilla;to go shopping;bevásárol
käydä ruokakaupassa;to go to the grocery store;élelmiszerbolt ba menni
laskea;to count;kiszámít
maksaa käteisellä;to pay with cash;fizessen készpénzben
maksaa luotolla;to pay on credit;kifizet
maksaa pankkikortilla;to pay with bank card;betéti kártyával fizetni
myydä;to sell;elad
ostaa;to buy;vétel
ostaa osamaksulla;to buy with installments;vétel részletre
rikastua;to make money;szerencsét hoz
tinkiä;to haggle;alku
valita;to choose;választ
Ihmisiä;People;Emberek
asiakas;customer;vevő
kassa;cashier;kassza
kauppias;shopkeeper;kereskedő
kuluttaja-asiamies;consumer ombudsman;fogyasztó
myyjä;salesperson;eladó
myyntipäällikkö;sales manager;értékesítési menedzser
