Finnish;English;Hungarian
Onpas kiva kuulla äänesi pitkästä aikaa!;So nice to hear your voice after so long!;Olyan jó újra hallani a hangod!
Sinusta ei ole kuulunut mitään.;Haven't heard anything from you!;Semmit sem hallottam rólad.
Onko äiti siellä lähellä?;Is mom somewhere close there?;Anya ott van a közelben?
Onkohan äiti lähistöllä?;Is mom in the vicinity?;Lehet hogy anya ott van a közelben?
Minulla olisi asiaa äidille.;I would like to talk to mom.;Anyával szeretnék beszélni.
Voisinko puhua äidin kanssa?;Could I talk to mom?;Beszélhetnék anyával?
Kerro terveisiä!;Give my regards!;Add át üdvözletem!
Kerro terveisiä kaikille!;Give my regards to everyone!;Üdvözlök mindenkit!
Kertoisitko Maijalle terveisiä?;Would you give Maija my regards?;Üdvözölnéd Maiját is?
Maija lähettää terveisiä.;Maija sends her regards.;Maija üdvözletét küldi.
Pyydä Maijaa soittamaan minulle!;Ask Maija to call me!;Mondd meg Maijának, hogy hívjon fel!
Mikä sinun puhelinnumerosi on?;What is your phone number?;Mi a telefonszámod?
Kertoisitko puhelinnumerosi?;Could you give your phone number?;Meg tudnád adni a telefonszámod?
Saanko puhelinnumerosi?;Can I get your phone number?;Megkaphatom a telefonszámod?
Saisinko puhelinnumeronne?;Could I get your phone number?;Megkaphatnám a telefonszámát?
Puhelinnumeroni on...;My phone number is...;A telefonszámom...
Onko puhelinnumeronne muuttunut?;Has your phone number changed?;Megváltozott a telefonszáma?
Onko puhelinnumeronne ennallaan?;Is your phone number still the same?;Ugyanaz maradt a telefonszáma?
Voinko soittaa sinulle huomenna?;Can I call you tomorrow?;Holnap felhívhatlak?
Sopiiko jos soitan sinulle huomenna?;Is it okay if I call you tomorrow?;Rendben van, ha holnap hívlak?
Soitellaanko huomenna?;Shall we call tomorrow?;Holnap beszéljünk telefonon?
Voisitko soittaa minulle?;Could you call me?;Felhívnál?
Voitko soittaa minulle kun ehdit?;Can you call me when you have the time?;Felhívsz, ha lesz időd?
Soita takaisin heti kun ehdit.;Call me back as soon as you can.;Hívj vissza, amint tudsz.
Muista soittaa minulle illalla!;Remember to call me in the evening!;Ne felejts el felhívni este!
Muistapa soittaa!;Remember to call (me)!;Ne felejts el felhívni!
Soita minulle, kun saat tämän viestin.;Call me when you get this message.;Hívj fel, ha megkapod ezt az üzenetet.
