Finnish;English;Hungarian
alkoholi;alcohol;alkohol
alkoholijuoma;alcoholic beverage;szeszes ital
alkoholipitoinen;containing alcohol;alkoholos
alkoholipitoinen juoma;alcoholic drink;alkoholtartalmú ital
alkoholiton;alcohol-free;szeszmentes
alkoholiton juoma;alcohol-free drink;alkoholmentes ital
baari, pubi;bar, pub;kocsma
baaritiski;bar counter;pult
baarimikko, baarimesteri;bartender;csapos
oluttuoppi;beer mug;söröskorsó
viina;liquor;pálinka (szeszes ital)
viini;wine;bor
viinilasi;wine glass;borospohár
krapula;hangover;másnaposság
oksennus, yrjö;puke, vomit;hányás
juoda alkoholia;to drink alcohol;alkoholt inni
käyttää alkoholia;to use alcohol;alkoholfogyasztás
sisältää alkoholia;to contain alcohol;alkoholt tartalmazni
terästää juoma alkoholilla;to spice up a drink with alcohol;megbolondítani italt szesszel
polttaa viinaa salaa;to brew your own booze;házipálesz főzni
tislata;to distill;párolni
juopotella;to drink excessively;iszogatni túl sokat
kännätä, ryypätä, pämpätä;to drink excessively (spoken);vedelni (szleng)
dokata;to drink excessively (slang);döngölni (szleng)
tissutella;to drink small amounts regularly;kocsmázgatni
vetää / ottaa lärvit;to get drunk (spoken);berúgni
oksentaa;to puke, vomit;hányni
kankkunen, kohmelo;hangover (spoken);másnap (szleng)
potea krapulaa;to kick a hangover;küzdeni másnappal
hoidella krappulaansa;to treat your hangover;gyógyítani a másnaposságot
alkoholilaki;Alcoholic Beverages Act;alkoholtörvény
kieltolaki;prohibition law;szesztilalom
Alko;the alcohol store called Alko;Alko (monopólium)
anniskelu;to serve alcohol on the premises;helyben fogyasztásra kiszolgálás
anniskelulupa;license to serve alcohol;italkimérési engedély
anniskeluun oikeutettu;licenced to serve alcohol;italt árusítható hely
ikäraja;age limit;korhatár
alaikäinen;under-age;kiskorú
henkkarit;ID;személyi
Näytä henkkarit!;Show your ID!;Mutasd a személyidet!
alkoholivero;alcohol tax;szeszadó
alkoholirikos;alcohol offense;szeszbűncselekmény
alkoholin luvaton maahantuonti;illicit import of alcohol;illegális alkohol-behozatal
alkoholin luvaton myynti;illicit sale of alchohol;illegális alkoholárusítás
alkoholin nauttiminen yleisellä paikalla;consuming alcoholic beverages in a public place;nyilvános alkoholfogyasztás
alkometri;breathalyzer;szondáztató
tarkkuusalkometri;evidential breathalyzer;hiteles alkoholszonda
alkometrin lukema;breathalyzer reading;szonda eredménye
promille;per mille;ezrelék
0.5 promillea;0.5 per mille;0,5 ezrelék
rattijuopumus;drunken driving;ittas vezetés
törkeä rattijuopumus;aggravated drunken driving;súlyos ittas vezetés
ajokielto;driving ban;jogosítvány bevonás
ryyppyputki;binge drinking;ivászat
päihtynyt;drunk, intoxicated;ittas
alkoholin vaikutuksen alainen;under the influence of alcohol;alkohol hatása alatt
olla hiprakassa;to be tipsy;spiccesnek lenni
olla huppelissa;to be tipsy (spoken);spicces (szleng)
olla humalassa / päissään;to be drunk;részegnek lenni
olla kännissä;to be drunk (spoken);piás (szleng)
olla nakit silmillä / räkäkännissä;to be really drunk (slang);teljesen kiütve
olla perskännissä / kaatokännissä;to be very drunk (slang);totál részeg
olla nousuhumalassa;to start to be properly drunk;emelkedő mámorban lenni
olla laskuhumalassa;to start to be less drunk;lefelé menő mámorban
riippuvuus;addiction;függőség
juoppo;drunkard;iszákos
juopumus;drunkenness;ittasság
alkoholisti;alcoholic;alkoholista
alkoholismi;alcoholism;alkoholizmus
alkoholiongelma;alcohol problem;alkoholprobléma
ongelmajuominen;drinking problem;problémás ivás
ongelmajuoja;problem drinker;problémás ivó
kärsiä alkoholiongelmista;to suffer an alcohol problem;alkoholproblémától szenvedni
alkoholisoitua;to become an alcoholic;elalkoholistásodni
rappioalkoholisti;derelict;lecsúszott alkoholista
pultsari;derelict (spoken);csöves (szleng)
Nimettömät alkoholistit;Alcoholics Anonymous;Névtelen Alkoholisták
AA-jäsenyys;AA membership;AA-tagság
alkoholistihuolto;treatment of alcoholics;alkoholista-gondozás
pakkohoito;coercive treatment;kényszerkezelés
toipumisohjelma;recovery program;felépülési program
olla selvinpäin;to be sober;józanul lenni
saavuttaa raittius;to become sober;józanná válni
pysyä raittiina;to stay sober;józan maradni
selväpäinen;sober;józan gondolkodású
raitistunut alkoholisti;recovered alcoholic;felépült alkoholista
