Finnish;English;hungarian
festarit, festivaalit;festival;Fesztiválok, fesztiválok
elokuvajuhlat, filmijuhlat;film festival (party);Filmfesztivál, filmfesztivál (party)
elokuvafestivaalit, filmifestivaalit;film festival;Filmfesztivál, filmfesztivál
rockfestarit;rock festival;rockfestarisai
oopperajuhlat, oopperafestivaalit;opera festival;Operafesztivál, Opera Fesztivál
herättäjäjuhlat;annual Christian Awakening summer festival;felébresztési parti
kuntavaalit, kunnallisvaalit;municipal election;önkormányzati választások, önkormányzati választások
hallitusvaalit;governmental election, election of the board of directors;kormányzati választások
parlamenttivaalit, eduskuntavaalit;parliamentary election;parlamenti választások, parlamenti választások
presidentinvaalit;presidential election;elnökválasztás
kirkollisvaalit, seurakuntavaalit;church election;Egyházi választások, egyházközségi választások
EU-vaalit, eurovaalit;election of the European Parliament;EU választások, európai választások
vaalivalvojaiset;political party event when the votes are being counted;választói
protestivaalit;election with a lot of protest votes;tiltakozás
hallitusneuvottelut;government formation negotiations;kormányzati tárgyalások
rauhanneuvottelut;peace talks, peace negotiations;Békebeszélgetések
avajaiset;formal opening ceremony;nyílás
open house -kutsut;cocktail- tm. tilaisuus, which guests can arrive to when they see fit;Nyílt ház meghívók
cocktailkutsut;cocktail party;koktél
kokkarit;cocktail party (spoken);koktélparti
vastaanottajaiset;reception, social (formal) welcoming event;befogadó
illallistanssiaiset;ballroom dance party including a banquet;vacsora tánc
iltakutsut;social gathering starting in the evening, soiree;Esti meghívók
juhlapäivälliset;banquet, formal ceremonial dinner;vacsora
konserttitanssiaiset;charity dance party with a large orchestra;koncertánc
paljastajaiset;reveal ceremony, event held to reveal e.g. a statue;feltáró
julkistajaiset;social event at the launch of something (e.g. book);nyilvános
virkaanasettajaiset;ceremony of placing someone into office, inauguration (pope, professor, president);feladat
virkaanastujaiset;ceremony of placing someone into office;beiktatás
rikkojaiset;event during which a record is attempted to be broken;törés
kruunajaiset;coronation ceremony;koronázás
olympialaiset;the Olympics;Olimpia
olympialaiskisat, olympiakisat;the Olympic games;Olimpiai játékok, olimpiai játékok
kesäolympialaiset;summer Olympics;Nyári olimpia
talviolympialaiset, talvikisat;winter Olympics;Téli olimpia, téli játékok
paralympialaiset;Paralympics;paralimpia
hiihtokisat, hiihtokilpailut;cross-country skiing competition;Síversenyek, síversenyek
ravit, ravikilpailut;horse (harness) racing event;ügetés, versenyzés
kuninkuusravit;harness racing contest for Finnhorse breed horses;királyság
iltaravit;horse racing event held in the evening;este
asuntomessut;trade fair about houses and home decorations;Lakótár
