Finnish;English;Hungarian
Uskonnot;Religions;Vallások
buddhalaisuus;Buddhism;Buddhizmus
buddhalainen;Buddhist;Buddhista
evankelisluterilainen;Evangelical Lutheran;evangélikus-lutheránus
helluntaiseurakunta;Pentecostal church;pünkösdista gyülekezet
hindulaisuus;Hinduism;Hinduizmus
hindu;Hindu;hindu
islaminusko;Islamic religion;iszlám vallás
juutalaisuus;Judaism;zsidóság
juutalainen;Jew, Jewish;zsidó
muslimi;Muslim;muszlim
katolisuus;Catholicism;katolicizmus
katolilainen;Catholic;katolikus (ember)
katolinen kirkko;Catholic Church;Katolikus Egyház
kreikkalaiskatolinen;Greek Catholic;görögkatolikus
kristinusko;Christianity;kereszténység
kristitty;Christian;keresztény
kungfutselaisuus;Confucianism;konfucianizmus
kveekarit;Quakers;kvékerek
luterilaisuus;Lutheranism;lutheránus vallás
luterilainen;Lutheran;lutheránus
metodismi;Methodism;metodizmus
metodisti;Methodist;metodista
Myöhempien aikojen pyhien Jeesuksen Kristuksen kirkko;The Church of Jesus Christ of Latter-day Saints;Utolsó Napi Szentek Jézus Krisztus Egyháza (mormonok)
ortodoksinen kirkko;Orthodox Church;Ortodox Egyház
pakanuus;Paganism;pogányság
protestantismi;Protestantism;protestantizmus
protestantti;Protestant;protestáns
sikhiläisyys;Sikhism;szikhizmus
taolaisuus;Taoism / Daoism;taoizmus
Yhdistynyt metodistikirkko;United Methodist Church;Egyesült Metodista Egyház
wicca;Wicca;wicca
ahmadiyya;Ahmadiyya;ahmadiyya
bön;Bon;bön vallás
candomblé;Candomblé;candomblé
falun gong;Falun Gong;falun gong
jainalaisuus;Jainism;dzsainizmus
jesidit;Yazidi;jezidi
lastikultti;cargo cult;rakománykultusz
mandealaisuus;Mandaeism;mandaizmus
manikealaisuus;Manichaeism;manicheizmus
mithralaisuus;Mithraism;mithraizmus
santeria;Santería;santería
sekulaari humanismi;secular humanism;világi humanizmus
sunnalaisuus;Sunni Islam;szunnita iszlám
tenrikyō;Tenrikyo;tenrikjó
voodoo;West African Vodún;voodoo / vodun
zarathustralaisuus;Zoroastrianism;zoroasztrianizmus
Tilaisuuksia;Events;Események
bar mitsva;bar mitzva;bar micvá
bat mitsva;bat mitzva;bat micvá
hanukka;Hanukkah;hanuka
hautajaiset;funeral;temetés
jumalanpalvelus;church service;istentisztelet
kaste;christening;keresztelő
konfirmaatio;confirmation;bérmálás
pyhä ehtoollinen;Sacred Holy Communion;szentáldozás
rippikoulu;confirmation school;konfirmációs iskola
sapatti;Shabbat;sábbát
vihkiäiset;wedding ceremony;esküvő
Paikkoja;Places;Helyek
hautausmaa;cemetery;temető
helvetti;hell;pokol
kappeli;chapel;kápolna
kirkko;church;templom
moskeija;mosque;mecset
paratiisi;paradise;paradicsom
synagoga;synagogue;zsinagóga
temppeli;temple;szentély
Ihmisiä;People;Emberek
agnostikko;agnostic;agnosztikus
arkkipiispa;archbishop;érsek
ateisti;atheist;ateista
imaami;imam;imám
jumala;god;isten
kalifi;kaliph;kalifa
kanttori;cantor;kántor
kappalainen;chaplain;káplán
kirkkoherra;priest;plébános
lukkari;parish clerk;harangozó (templomi)
messias;Messiah;Messiás
muessin;muezzin;muzzein
mufti;mufti;mufti
naispappi;woman minister;női lelkész
opetuslapsi;disciple;tanítvány
paavi;pope;pápa
pakana;heathen;pogány (ember)
pappi;minister;pap
pastori;pastor;lelkipásztor
piispa;bishop;püspök
profeetta;prophet;próféta
pyhimys;saint;szent
rabbi;rabbi;rabbi
rovasti;dean;esperes
suntio;verger;templomszolga
uskovainen;devout;hívő
Verbejä;Verbs;Igék
kastaa;to baptize;megkeresztel
käydä kirkossa;to go to church;templomba járni
palvoa;to worship;imádni
ripittäytyä;to confess;gyónni
rukoilla;to pray;imádkozni
saarnata;to deliver a sermon;prédikálni
siunata;to bless;megáldani
vastustaa kiusausta;to resist temptation;kísértésnek ellenállni
veisata virsiä;to sing hymns;zsoltárt énekelni
Adjektiiveja;Adjectives;Melléknevek
hurskas;pious;jámbor
košer, kosher;kosher;kóser
pakanallinen;pagan;pogány (melléknév)
pirullinen;satanic;ördögi
raamatullinen;biblical;bibliai
syntinen;sinful;bűnös
Substantiiveja;Nouns;Főnevek
alttari;altar;oltár
enkeli;angel;angyal
epäjumala;idol;bálvány
jumalanpilkka;blasphemy;istenkáromlás
kirkkoneuvosto;church council;egyházközségi tanács
kirkkovaltuusto;parish council;egyházközségi képviselőtestület
kirkollisverotus;church taxation;egyházadó
koraani;Koran;Korán
paasto;fasting;böjt
piru;devil;ördög
raamattu;Bible;Biblia
ramadan;Ramadan;ramadán
ristiinnaulitseminen;crucifixion;keresztre feszítés
rukous;prayer;ima
saarna;sermon;prédikáció
saarnatuoli;pulpit;szószék
sielu;soul;lélek
siunaus;blessing;áldás
synti;sin;bűn
toora;Torah;Tóra
uskonnonvapaus;freedom of religion;vallásszabadság
uusi testamentti;New Testament;Újszövetség
vanha testamentti;Old Testament;Ószövetség
virsi;hymn;ének (egyházi)
ylösnousemus;resurrection;feltámadás
Sanontoja;Sayings;Mondások
Kullakin on oma ristinsä.;(Each one has his own cross.) We all have our own problems to bear.;Mindenkinek megvan a maga keresztje.
Kääntää toinen poski.;(Turn the other cheek.) To accept without retaliating when someone does you wrong.;Odafordítja a másik orcáját.
Kävelen kotonani aatamin asussa.;(I walk in my home in Adam's outfit.) I walk around stark naked.;Ádám kosztümben járok otthon.
