Finnish;English;hungarian
Olen lääkäri.;I'm a doctor;Orvos vagyok.
Olen ammatiltani lääkäri.;I'm a doctor by profession;Szakmám szerint orvos vagyok.
Teen töitä lääkärinä.;I work as a doctor;orvosként dolgozom.
Taiteelliset ammatit;Artsy professions;Művészi szakmák
kirjailija;writer (literature vocab);szerző
kuvanveistäjä;sculptor;szobrász
(taide)maalari;painter;festő
muusikko;musician (music vocab);zenész
näyttelijä;actor (acting vocab);színész
runoilija;poet;költő
taiteilija;artist;művész
valokuvaaja;photographer;fotós
elokuvaohjaaja;film director;filmrendező
Luontoammatit;Nature professions;Természeti foglalkozások
eläinlääkäri;veterinarian;állatorvos
metsuri;lumberjack;favágó
puutarhuri;gardener;kertész
kukkakauppias;florist (flower vocab);egy virágüzlet
kalastaja;fisherman;halász
kaivosmies;miner;egy bányász
maanviljelijä;farmer;Gazda
metsänvartija;forester;erdész
erämaaopas;wilderness guide;vadon kalauz
Ihmisläheiset ammatit;People professions;Emberközpontú foglalkozások
asianajaja;lawyer;jogász
baarimikko;barman (drinks);csapos
edustaja;representative;reprezentatív
hammaslääkäri;dentist;fogorvos
henkivartija;bodyguard;testőr
hieroja;masseur;masszírozó
jalkojenhoitaja;chiropodist;lábgyógyász
kampaaja;hairdresser (more vocab);fodrász
kauppias;shop keeper;kereskedő
pormestari, kaupunginjohtaja;mayor;polgármester
kodinhoitaja;trainer homehelp;házvezetőnő
kätilö;midwife;bába
kääntäjä;translator;fordító
lääkäri;doctor (doctor vocab);orvos
myyjä;shop assistant;eladó
ompelija;dressmaker;varrónő
opettaja;teacher;tanár
optikko;optician;látszerész
pankkiiri;banker;bankár
pankkivirkailija;bank clerk;banktisztviselő
pankinjohtaja;bank manager;bankvezető
pankkiryöstäjä;bank robber;bankrabló
parturi;barber;borbély
perheenemäntä;housewife;háziasszony
poliisi;police officer;rendőrség
poliitikko;politician (politics);politikus
postinkantaja;postman;postás
psykologi;psychologist;pszichológus
psykiatri;psychiatrist;pszichiáter
rahastonhoitaja;treasurer;kincstárnok
räätäli;tailor;Szabó
sairaanhoitaja;nurse;ápoló
sihteeri;secretary;titkár
sosiaalityöntekijä;social worker;szociális munkás
tarjoilija;waiter;Pincér
tulkki;interpreter;tolmács
tuomari;judge (law and crime);bíró
vakuutusasiamies;insurance agent;biztosítási ügynök
Rakennusalan ammatit;Construction professions;Építőipari foglalkozások
arkkitehti;architect;építészmérnök
hitsaaja;welder;hegesztő
kirvesmies;carpenter;Ács
mekaanikko;mechanic;szerelő
muurari;bricklayer;kőműves
putkimies;plumber;vízvezeték-szerelő
rakennusinsinööri;construction engineer;építőmérnök
rakennusmestari;building engineer;építész
sähköasentaja;electrician;villanyszerelő
teknikko;technician;technikus
Tieteelliset ammatit;Scientific professions;Tudományos szakmák
biologi;biologist;biológus
fyysikko;physicist (physics vocab);fizikus
geologi;geologist;geológus
kemisti;chemist (chemistry vocab);vegyész
laborantti;laboratory worker;laboratóriumi asszisztens
meteorologi;meteorologist (weather);meteorológus
tieteilijä;scientist;tudós
tutkija;researcher;nyomozó
Toimistotyöt;Office work;Irodai munka
kirjanpitäjä;accountant;Könyvelő
konttoripäällikkö;office manager;részlegvezető
laskuttaja;invoice clerk;Számlázó
osastopäällikkö;departmental manager;tanszékvezető
talouspäällikkö;financial manager;pénzügyi vezető
toimistovirkailija;clerk;hivatalnok
valtion virkamies;civil servant;közalkalmazott
Kuljetustyöt;Transportation professions;Szállítási munka
bussinkuljettaja;bus driver;buszsofőr
kartanlukija;navigator;térképolvasó
kuorma-autoilija;truck driver;kamionsofőr
lennonjohtaja;air traffic controller;légiforgalmi irányító
lentoemäntä;stewardess;légiutas kísérő
lentäjä;pilot;pilóta
merikapteeni;sea captain;tengeri kapitány
merimies;sailor;tengerész
stuertti;steward;utaskísérő
taksinkuljettaja;taxi driver;taxisofőr
Muut ammatit;Other professions;Egyéb foglalkozások
ajo-opettaja;driving instructor;járművezető-oktató
apteekkari;pharmacist;gyógyszerész
arkeologi;archeologist;régész
avaruuslentäjä;astronaut (space);űrpilóta
jalokivikauppias;jeweler;ékszerész
kokki;cook (cooking verbs);szakács
kirjastonhoitaja;librarian (library);könyvtáros
leipuri;baker;pék
rehtori;headmaster;fő
suutari;shoemaker;cipész
toimittaja;journalist (the press);támogató
varastonhoitaja;warehouse keeper;raktárvezető
ohjelmoija;software developer;programozó
