Finnish;English;hungarian
Hei! Olen uusi täällä. Nimeni on...;Hey! I'm new here. My name is...;Hé! Új vagyok itt. A nevem...
Hei! Me emme ole varmaan vielä tavanneet.;Hey! We probably haven't met yet.;Hé! Valószínűleg még nem találkoztunk.
Hei! Me ei olla varmaan vielä tavattu.;Hey! We probably haven't met yet. (spoken);Hé! Valószínűleg még nem találkoztunk. (beszélt)
Hei! En taida tuntea sinua vielä.;Hey! I don't think I know you yet.;Hé! Azt hiszem, még nem ismerlek.
Hei! Taisin unohtaa nimesi. Minä olen Mohamed.;Hey! It seems I've forgotten your name. I'm Mohamed.;Hé! Azt hiszem, elfelejtettem a neved. Mohamed vagyok.
Olen pahoillani, mutta en muista nimeäsi.;I'm sorry but I don't remember your name.;Sajnálom, de nem emlékszem a nevedre.
Olikohan sinun nimesi Liisa?;Was your name Liisa?;Liisa volt a neved?
Olen täällä työharjoittelussa 6 viikkoa.;I'll be doing a work practice for 6 weeks here.;6 hete vagyok itt gyakorlaton.
Olen uusi harjoittelija täällä. (video);I'm a new intern here.;Új gyakornok vagyok itt. (videó)
Aloitin työharjoitteluni täällä tänään.;I started my internship (work practice) here today.;Ma kezdtem el itt a szakmai gyakorlatomat.
Minua vähän jännittää.;I'm a little nervous.;kicsit ideges vagyok.
En tiedä vielä, mitä töitä pääsen tekemään täällä.;I don't know yet what type of work I get to do here.;Még nem tudom, milyen munkát tudnék itt végezni.
Työpaikkaohjaajani on Janne Ikonen.;My workplace supervisor is Janne Ikonen.;A munkahelyi felettesem Janne Ikonen.
Pääsen tänään seuraamaan Janne Ikosta työssään.;I get to follow Janne Ikonen at his work today.;Ma nézhetem Janne Ikot a munkahelyén.
Toivon, että pääsen tutustumaan ihmisiin täällä.;I hope I'll get to know people here.;Remélem megismerhetem az itteni embereket.
Toivon, että voin olla avuksi täällä.;I hope I can be of help here.;Remélem itt tudok segíteni.
Toivon, että voin auttaa ihmisiä täällä.;I hope I'll be able to help people here.;Remélem, itt tudok segíteni az embereknek.
Toivon, että pääsen harjoittelemaan suomea täällä.;I hope I'll get to practice Finnish here.;Remélem, hogy itt gyakorolhatom a finn nyelvet.
Haluan tutustua suomalaiseen työelämään.;I want to learn about Finnish working life.;Szeretnék megismerni a finn munka világát.
En haluaisi puhua englantia.;I would rather not speak English.;Nem szeretnék angolul beszélni.
Tavoitteeni on käyttää ainoastaan suomen kieltä.;My goal is to use Finnish only.;Az a célom, hogy csak a finn nyelvet használjam.
Nämä työtilat näyttävät tosi uusilta.;These workspaces look really new.;Ezek a munkaterületek igazán újszerűnek tűnnek.
Nämä työtilat näyttävät moderneilta.;These workspaces look modern.;Ezek a munkaterületek modernnek tűnnek.
Luulen, että täällä eksyy helposti!;I think it's easy to get lost here!;Szerintem itt könnyű eltévedni!
Täällä on niin paljon väkeä.;There are so many people here.;Olyan sokan vannak itt.
Täällä on tosi paljon ihmisiä töissä.;There are a lot of people at work here.;Nagyon sokan dolgoznak itt.
Onpas täällä paljon ihmisiä töissä!;Wow, there are a lot of people working here!;Nagyon sokan dolgoznak itt!
Kuinkahan monta ihmistä täällä on töissä?;Do you know how many people work here?;Hány ember dolgozik itt?
On ihanaa, että pääsen tutustumaan eri ihmisiin.;It's wonderful that I get to meet different people.;Csodálatos, hogy különböző embereket ismerhetek meg.
Ihanaa, että pääsin tänne työharjoitteluun.;Wonderful that I get to do my work practice here.;Csodálatos, hogy itt dolgozhattam.
Täällä tuntuu olevan tosi hyvä työilmapiiri.;The work atmosphere seems really good here.;Úgy tűnik, itt nagyon jó munkahelyi légkör uralkodik.
Kaikki ovat niin avuliaita täällä.;Everyone is so helpful here.;Itt mindenki nagyon segítőkész.
Haluan oppia lisää Suomen työkulttuurista.;I want to learn more about Finnish work culture.;Szeretnék többet megtudni a finn munkakultúráról.
Minua kiinnostaa Suomen työkulttuuri.;I'm interested in Finnish work culture.;Érdekel a finn munkakultúra.
