Finnish;English;hungarian
vierailu;visit (noun);marad
emäntä;hostess;hosztesz
esitellä;to introduce;bemutatni
esittäytyä;to introduce oneself;bemutatkozik
hyvästellä;to say goodbye;elköszönni
viettää ilta yhdessä;to spend the evening together;töltsenek együtt egy estét
isäntä;host;házigazda
juhla, juhlat;party (often plural);buli, ünneplés
juhlia;to party;ünnepel
kokoontua;to get together;találkozik
kunniavieras;guest of honor;díszvendég
päivänsankari;birthday boy/girl;a nap hőse
kuokkavieras;gatecrasher;kapa vendég
kutsu;invitation;hívás
kutsua;to invite (to);meghív
kutsua kotiin;to invite to your home;visszahívás
kutsua kylään;to invite over, ask over;meghívni a faluba
kutsumaton vieras;uninvited guest;hívatlan vendég
kutsut;party;buli
kätellä;to shake hands;kezet rázni
käydä jonkun luona;to visit someone('s home);meglátogatni valakit
läksiäiset, läksiäisjuhlat;farewell party;házi feladat, házi feladat bulik
nyyttikestit, nyyttärit;potluck;gombóc tesztek, gombócok
ottaa kutsu vastaan;to accept an invitation;fogadja el a meghívást
seura;company;vállalat
tuliainen;visitor's present;ajándéktárgy
tuoda tuliaisia;to bring a present;hozzanak új jövevényeket
vierailla;to visit, pay a visit to;látogatás
vieras;guest (also means stranger);vendég
yllätysvieras;surprise guest;meglepetés vendég
Tule meille viikonloppuna!;Come to our place on the weekend!;Gyere el hozzánk ezen a hétvégén!
Tule kahville lauantaina!;Come for coffee on Saturday!;Gyertek szombaton kávézni!
Tule kylään sunnuntaina!;Come on over on Sunday!;Vasárnap gyertek a faluba!
Tulisitko kylään huomenna?;Would you come over tomorrow?;átjönnél holnap?
Tulisitko meille huomenna?;Would you come to our place tomorrow?;eljönnél hozzánk holnap?
Ehtisitkö tulla meille?;Would you have time to come over?;Szeretnél eljönni hozzánk?
Haluaisitko tulla kylään?;Would you like to come visit?;Szeretnél átjönni?
Kiitos paljon kutsusta!;Thanks for the invitation!;Nagyon szépen köszönöm a meghívást!
Tulen mielelläni!;I'd love to come!;Örülök, hogy jövök!
Tänä viikonloppuna en taida ehtiä.;I don't think I have the time to come this weekend.;Nem hiszem, hogy ezen a hétvégén kibírom.
Valitettavasti en pääse käymään.;Unfortunately I can't come visit.;Sajnos nem tudom meglátogatni.
Joku toinen kerta.;Some other time.;Valamikor máskor.
Tulisitko aamupäivällä kylään?;Would you come over in the morning?;Eljönnél reggel a faluba?
Mihin aikaan ehtisit tulla?;At what time would you have time to come?;Hány órakor szeretnél jönni?
Tule meille vaikka kolmelta.;Come over at say three o'clock.;Gyere hozzánk háromra.
Tervetuloa meille huomenna kahdelta!;Welcome to our place tomorrow at two o'clock!;Üdvözlünk holnap kettőkor!
Tulisitko vaikka kahdelta?;Could you come at say two o'clock?;Szeretnél kettőre jönni?
Sopisiko aamupäivällä kymmeneltä?;Would ten in the morning be okay?;Reggel tíz rendben lenne?
Ehtisitkö tulla kolmen maissa?;Would you have time to come around three o'clock?;Szeretnél három országban eljönni?
