Finnish;English;Hungarian
Minkä värinen sinun tukkasi on?;What color is your hair?;Milyen színű a hajad?
Onko sinulla pitkä vai lyhyt tukka?;Do you have long or short hair?;Hosszú vagy rövid hajad van?
Millaiset hiukset sinulla on?;What kind of hair do you have?;Milyen típusú a hajad?
Tykkäätkö kiharasta tukasta?;Do you like curly hair?;Szereted a göndör hajat?
Onko sinulla parta tai viikset?;Do you have a beard or a mustache?;Van szakállad vagy bajuszod?
Millainen nenä sinulla on?;What kind of nose do you have?;Milyen az orrod?
Onko sinulla iso vai pieni nenä?;Do you have a large or a small nose?;Nagy vagy kicsi az orrod?
Onko sinulla leveä vai kapea suu?;Do you have a wide or a narrow mouth?;Széles vagy keskeny a szád?
Onko sinulla paksut vai ohuet huulet?;Do you have thick or thin lips?;Vastag vagy vékony az ajkad?
Näytä missä otsasi on!;Show where your forehead is!;Mutasd, hol van a homlokod!
Onko sinulla pisamia?;Do you have freckles?;Vannak szeplőid?
Oletko pitkä vai lyhyt?;Are you tall or short?;Magas vagy alacsony vagy?
Kuinka pitkä sinä olet?;How tall are you?;Milyen magas vagy?
Näytätkö yleensä hyvältä valokuvissa?;Do you usually look good in pictures?;Általában jól nézel ki a fényképeken?
Oletko hyvännäköinen?;Are you good-looking?;Jó megjelenésű vagy?
Minkä näköinen sinä olet?;What do you look like?;Hogy nézel ki?
Minkä näköinen sinun paras ystäväsi on?;What does your best friend look like?;Hogy néz ki a legjobb barátod?
Minkä näköinen äitisi / isäsi / siskosi / veljesi on?;What does your mom / dad / sister / brother look like?;Hogy néz ki anyád / apád / nővéred / öcséd?
Onko sinulla silmälasit?;Do you have glasses?;Van szemüveged?
Onko sinulla tatuointeja?;Do you have tattoos?;Vannak tetoválásaid?
Onko sinulla lävistyksiä?;Do you have piercings?;Vannak piercingjeid?
Näytätkö samanlaiselta kuin sukulaisesi?;Do you look similar to your relatives?;Hasonlítasz a rokonaidra?
Kuinka monta kehonosaa osaat nimetä?;How many body parts can you name?;Hány testrészt tudsz megnevezni?
Minkä värisistä vaatteista tykkäät?;What color of clothes do you like?;Milyen színű ruhákat szeretsz?
Mitä sinulla on tänään päällä?;What are you wearing today?;Mit viselsz ma?
Mitä sinulla oli eilen päällä?;What were you wearing yesterday?;Mit viseltél tegnap?
Onko sinulla tänään mekko päällä?;Are you wearing a dress today?;Ma ruhát viselsz?
Onko sinulla paljon vaatteita?;Do you have a lot of clothes?;Sok ruhád van?
Käytätkö usein koruja?;Do you often use jewelry?;Gyakran viselsz ékszereket?
Käytätkö rannekelloa?;Do you use a watch?;Viselsz órát?
Onko sinulla sormuksia?;Do you have rings?;Vannak gyűrűid?
Katsotko usein peiliin? Miksi? Miksi et?;Do you often look in the mirror? Why? Why not?;Gyakran nézel a tükörbe? Miért? Miért nem?
Mitä ajattelet, kun katsot peiliin?;What do you think when you look in the mirror?;Mit gondolsz, amikor a tükörbe nézel?
Pidätkö enemmän lyhyistä vai pitkistä hiuksista? Miksi?;Do you prefer long or short hair? Why?;Jobban szereted a rövid vagy hosszú hajat? Miért?
Kuinka usein käyt kampaajalla / parturissa?;How often do you go to the hairdresser / barber?;Milyen gyakran jársz fodrászhoz / barberhez?
Paljonko olet valmis maksamaan hiustenleikkuusta?;How much are you willing to pay for a haircut?;Mennyit vagy hajlandó fizetni egy hajvágásért?
Kuinka paljon käytät aikaa / rahaa hiuksiisi?;How much time / money do you spend on your hair?;Mennyi időt / pénzt fordítasz a hajadra?
Mitä mietit, kun näet jonkun, jolla on vihreä tukka?;What do you think when you see someone with green hair?;Mit gondolsz, amikor valakit zöld hajjal látsz?
Oletko koskaan värjännyt hiuksesi?;Have you ever dyed your hair?;Valaha befestetted a hajad?
Onko sinulla jo harmaita hiuksia?;Do you already have grey hair?;Van már ősz hajad?
Kenellä tutullasi on mielestäsi erittäin kauniit hiukset?;Who do you know that you think has very beautiful hair?;Kinek a barátaid közül van szerinted nagyon szép haja?
Onko sinusta erityisen tärkeää, miltä hampaasi näyttävät?;Is it particularly important to you how your teeth look?;Különösen fontos számodra, hogyan néznek ki a fogaid?
Minkä näköiset hampaat sinulla on omasta mielestäsi?;What do you think your teeth look like?;Szerinted milyen a fogaid kinézete?
Oliko sinulla lapsena hammasraudat?;Did you have braces as a child?;Volt gyermekkorodban fogszabályzód?
Tykkäätkö käyttää koruja? Miksi? Miksi et?;Do you like to wear jewelry? Why? Why not?;Szeretsz ékszereket viselni? Miért? Miért nem?
Tykkäätkö käyttää silmä- tai aurinkolaseja?;Do you like to wear glasses or sunglasses?;Szeretsz szemüveget vagy napszemüveget viselni?
Käyttäisitkö mieluummin silmälaseja vai piilolinssejä?;Would you rather use glasses or contact lenses?;Inkább szemüveget vagy kontaktlencsét viselnél?
Mitä mieltä olet tatuoinneista? Miksi?;What do you think about tattoos? Why?;Mit gondolsz a tetoválásokról? Miért?
Mitä mieltä olet lävistyksistä? Miksi?;What do you think about piercings? Why?;Mit gondolsz a piercingekről? Miért?
Onko sinulla arpia? Mitä arpesi kertovat sinusta?;Do you have scars? What do your scars say about you?;Vannak hegeid? Mit árulnak el rólad a hegeid?
Miten suhtaudut siihen, kun jollakin on arpi kasvoissa?;How do you feel when someone has a scar on their face?;Hogyan érzel, amikor valakinek heg van az arcán?
Mitä mieltä olet karvaisista miehistä?;What do you think about hairy men?;Mit gondolsz a szőrös férfiakról?
Mitä mieltä olet karvaisista jaloista?;What do you think about hairy legs?;Mit gondolsz a szőrös lábakról?
Käytätkö päähuivia? Miksi? Miksi et?;Do you wear a headscarf? Why? Why not?;Viselsz fejkendőt? Miért? Miért nem?
Käytätkö usein värikkäitä vaatteita? Miksi? Miksi et?;Do you often wear colorful clothes? Why? Why not?;Gyakran viselsz színes ruhákat? Miért? Miért nem?
Pidätkö enemmän tummista vai vaaleista vaatteista?;Do you prefer dark or light clothes?;Jobban szereted a sötét vagy világos ruhákat?
Tykkäätkö enemmän rennoista vai tiukemmista vaatteista?;Do you prefer casual or tighter clothes?;Jobban szereted a laza vagy szorosabb ruhákat?
Miten pukeudut kouluun tai töihin?;How do you dress for school or work?;Hogyan öltözködsz iskolába vagy munkába?
Miten päätät, mitä vaatteita puet seuraavana päivänä?;How do you decide how to dress the next day?;Hogyan döntöd el, mit viselsz másnap?
Käytätkö paljon aikaa asujen valintaan?;Do you spend a lot of time choosing outfits?;Sokat időt töltesz a ruhaválasztással?
Käytätkö yli 5 minuuttia asusi valintaan?;Do you spend more than 5 minutes choosing your outfit?;Több mint 5 percet töltesz a ruhád kiválasztásával?
Onko sinulla erillisiä vaatteita, joita käytät kotona?;Do you have separate clothes that you wear at home?;Van külön ruhád, amit otthon viselsz?
Millaiset vaatteet eivät mielestäsi sovi sinulle? Miksi?;What kind of clothes do you think don't suit you? Why?;Milyen ruhák szerinted nem állnak jól neked? Miért?
Tykkäätkö enemmän käytännöllisistä vaatteista?;Do you prefer more practical clothes?;Jobban szereted a praktikus ruhákat?
Pukeudutko mielestäsi tyylikkäästi?;Do you think you dress stylishly?;Szerinted stílusosan öltözködsz?
Tunnetko ketään, joka pukeutuu erittäin tyylikkäästi?;Do you know anyone who dresses very stylishly?;Ismersz valakit, aki nagyon stílusosan öltözködik?
Tunnetko ketään, joka pukeutuu erittäin huonosti?;Do you know anyone who dresses very badly?;Ismersz valakit, aki nagyon rosszul öltözködik?
Seuraatko muotia vai pukeudutko miten haluat?;Do you follow fashion or dress however you want?;Követed a divatot, vagy ahogy akarsz, úgy öltözködsz?
Käytkö usein vaateostoksilla? Miksi? Miksi ei?;Do you often go shopping for clothes? Why? Why not?;Gyakran vásárolsz ruhát? Miért? Miért nem?
Paljonko käytät rahaa vaatteisiin vuodessa?;How much money do you spend on clothes per year?;Mennyit költesz ruhára évente?
Kuinka monet kengät sinulla on?;How many pairs of shoes do you have?;Hány pár cipőd van?
Käytätkö korkokenkiä?;Do you wear high heels?;Viselsz magassarkút?
Käytätkö meikkiä? Miksi? Miksi et?;Do you use make-up? Why? Why not?;Használsz sminket? Miért? Miért nem?
Minkä ikäisenä ihmiset yleensä alkavat meikata?;At what age do people usually start wearing makeup?;Hány éves korban kezdenek az emberek általában sminkelni?
