Finnish;English;Hungarian
Mitä tekisit, jos...;What would you do if...;Mit tennél, ha...
... keittiössä syttyisi tulipalo?;... a fire started in the kitchen?;... tűz ütne ki a konyhában?
... heräisit savun hajuun?;... you woke up to the smell of smoke?;... füstszagra ébrednél?
... työpaikan palohälytys soisi?;... the fire alarm of your workplace would ring?;... megszólalna a munkahelyeden a tűzriasztó?
... lapsesi olisi juonut pesuainetta?;... your child would have drunk detergent?;... a gyermeked mosószert ivott volna?
... lapsesi olisi syönyt lääkkeitä?;... your child would have eaten medication?;... a gyermeked gyógyszert evett volna?
... lapsesi olisi tajuttomana lattialla?;... your child would be unconscious on the floor?;... a gyermeked eszméletlenül feküdne a padlón?
... naapurin koira hyökkäisi sinun kimppuun?;... the neighbor's dog attacked you?;... a szomszéd kutyája rád támadna?
... saisit haavan päähäsi?;... you got a wound on your head?;... fejsérülést szereznél?
... saisit haavan sormeesi?;... you got a wound in your finger?;... megvágnád az ujjadat?
... joku seuraisi sinua kadulla?;... someone followed you on the street?;... valaki követne az utcán?
... näkisit auto-onnettomuuden?;... you saw a car accident?;... látnál egy autóbalesetet?
... joku yrittäisi murtautua asuntoosi?;... someone tried to break into your apartment?;... valaki megpróbálna betörni a lakásodba?
... ystäväsi yrittäisi tehdä itsemurhan?;... your friend tried to kill themselves?;... a barátod öngyilkosságot kísérelt volna meg?
... vessasta tulvisi yhä enemmän vettä?;... more and more water flooded from the toilet?;... egyre több víz ömlene a vécéből?
... autosi tuulilasi särkyisi?;... your car's windshield broke?;... betörne az autód szélvédője?
... kaatuisit etkä pystyisi nousemaan?;... you fell and were unable to get up?;... elesnél és nem tudnál felkelni?
Millaisia vaaroja seuraavat tavarat voivat aiheuttaa?;What kind of dangers can the following objects cause?;Milyen veszélyeket okozhatnak a következő tárgyak?
Miten voisit tavaroista tehdä vähemmän vaarallisia?;How could you make the objects less dangerous?;Hogyan tehetnéd a tárgyakat kevésbé veszélyessé?
ase;weapon;fegyver
auto;car;autó
kiharrin;hair curler;hajgöndörítő
liesi, hella, uuni;stove, oven;tűzhely, sütő
lääkekaappi;medicine cabinet;gyógyszeres szekrény
murtovaras;burglar;betörő
parveke;balcony;erkély
pistorasia;socket, power outlet;konnektor
portaat;staircase;lépcső
silitysrauta;iron;vasaló
takka;fireplace;kandalló
tietokone;computer;számítógép
tikkaat;ladder;létr(a)
unilääke;sleeping pill;altató
uima-allas;swimming pool;uszoda / medence
aggressiivinen koira;aggressive dog;agresszív kutya
keikkuva tuoli;wobbly chair;billegő szék
liukas katu;slippery street;csúszós utca
terävä veitsi;sharp knife;éles kés
vihainen karhu;angry bear;dühös medve
alkoholi;alcohol;szesz
telttaretki;camping trip;sátorozás
tulva;flood;árvíz
maanjäristys;earthquake;földrengés
metsäpalo;forest fire;erdőtűz
Millaisia vaaroja sinun asunnossasi on?;What kind of dangers are there in your apartment?;Milyen veszélyek vannak a lakásodban?
Millaisia mahdollisia vaaroja sinun kotonasi on?;What kind of potential dangers are there in your home?;Milyen lehetséges veszélyek vannak az otthonodban?
Mikä voi aiheuttaa vaaroja sinun kotonasi?;What can cause dangers in your home?;Mi okozhat veszélyeket az otthonodban?
Millaisia vaaroja ihmisten kodeissa vaanii?;What dangers lurk in people's homes?;Milyen veszélyek leselkednek az emberek otthonában?
Millaisia vaaroja ihmisten kodeissa piilee?;What dangers lie in people's homes?;Milyen veszélyek rejtőznek az emberek lakásaiban?
Onko sinun kotisi turvallinen ympäristö lapsille?;Is your home a safe environment for children?;Biztonságos környezet a házad a gyerekeknek?
Millaisia vaaroja lapsi voisi kohdata asunnossasi?;What kind of dangers a child could face in your home?;Milyen veszélyekkel találkozhat egy gyerek a lakásodban?
Mikä on mielestäsi kodin vaarallisin huone?;What do you think is the most dangerous room of a home?;Szerinted melyik a legveszélyesebb helyiség a házban?
Millaisia vaarallisia asioita keittiössä on?;What kinds of dangerous things are there in the kitchen?;Milyen veszélyes dolgok vannak a konyhában?
Miten voit välttyä onnettomuuksilta keittiössä?;How can you avoid accidents in the kitchen?;Hogyan kerülheted el a baleseteket a konyhában?
Millaisia vaaroja kylpyhuoneessa on?;What kinds of dangers are there in the bathroom?;Milyen veszélyek vannak a fürdőszobában?
Miten voit välttyä onnettomuuksilta kylpyhuoneessa?;How can you avoid accidents in the bathroom?;Hogyan előzhetők meg a balesetek a fürdőszobában?
Mitkä kodinkoneet ovat erityisen vaarallisia?;What home appliances are especially dangerous?;Mely háztartási gépek különösen veszélyesek?
Miten voisit tehdä asunnostasi turvallisemman?;How could you make your apartment safer?;Hogyan tehetnéd biztonságosabbá a lakásodat?
Miten voisit tehdä kodistasi turvallisempi paikka?;How could you make your home a safer place?;Hogyan tehetnéd otthonodat biztonságosabb hellyé?
Miten tekisit kodistasi turvallisempi paikka lapsille?;How would you make your home a safer place for children?;Hogyan tennéd gyermekbarátabbá az otthonodat?
Onko sinulla kotona ensiapulaukku?;Do you have a first aid kit at home?;Van otthon elsősegélydobozod?
Missä säilytät ensiapulaukkusi?;Where do you store your first aid kit?;Hol tartod az elsősegélydobozt?
Mihin laittaisit ensiapulaukun sinun kotonasi?;Where would you put a first aid kit in your home?;Hová tennéd az elsősegélycsomagot otthon?
Onko sinulla autossa ensiapulaukku?;Do you have a first aid kit in the car?;Van az autódban elsősegélycsomag?
Mitä esineitä on yleensä ensiapulaukussa?;What items are usually in a first aid kit?;Milyen tárgyak vannak általában egy elsősegélydobozban?
Onko sinun asuinalueesi vaarallinen?;Is your neighborhood dangerous?;Veszélyes a környéked?
Onko vaarallista lähteä ulos yöllä?;Is it dangerous to go out at night?;Veszélyes éjjel kimenni?
Kenelle soittaisit, jos olisit vaarassa?;Who would you call if you were in danger?;Kinek telefonálnál, ha veszélyben lennél?
Mitä tekisit, jos joku seuraisi sinua?;What would you do if someone were following you?;Mit tennél, ha valaki követne téged?
Mitä tekisit, jos joku uhkaa sinua aseella?;What would you do if someone threatened you with a gun?;Mit tennél, ha valaki fegyverrel fenyegetne?
Mitä tekisit, jos sinua uhattaisiin puukolla?;What would you do if you were threatened with a knife?;Mit tennél, ha késsel fenyegetnének?
Millaisissa vaaratilanteissa olet ollut?;In what kinds of dangerous situations have you been?;Milyen veszélyhelyzetekben voltál már?
Miten olet selvinnyt vaaratilanteista?;How have you dealt with dangerous situations?;Hogyan vészelted át a veszélyhelyzeteket?
Mikä on vaarallisin asia, jonka olet tehnyt?;What's the most dangerous thing that you've done?;Mi a legveszélyesebb dolog, amit tettél?
Miksi jotkut tykkäävät tehdä vaarallisia asioita?;Why do some people like to do dangerous things?;Miért szeretnek egyesek veszélyes dolgokat csinálni?
Onko sinun kotimaasi vaarallinen paikka?;Is your home country a dangerous place?;Veszélyes hely a hazád?
Onko kotimaasi vaarallisempi kuin Suomi?;Is your home country more dangerous than Finland?;Veszélyesebb az országod, mint Finnország?
Missä maassa on tällä hetkellä vaarallista oleskella?;In what country is it dangerous to stay at the moment?;Melyik országban veszélyes most tartózkodni?
Keksitkö joitakin vaarallisia ammatteja?;Can you think of any dangerous professions?;Tudsz mondani néhány veszélyes foglalkozást?
Millaisia vaaroja sinun ammatissa on?;What kinds of dangers are there in your profession?;Milyen veszélyekkel jár a szakmád?
Oletko havainnut vaaroja työpaikallasi?;Have you noticed any hazards in your workplace?;Észrevettél veszélyeket a munkahelyeden?
Oletko joutunut vaaratilanteisiin työssäsi?;Have you been in any accidents at work?;Kerültél már veszélyhelyzetbe a munkádban?
Millaisia vaaroja töissä esiintyy?;What kinds of dangers are there at work?;Milyen veszélyek fordulnak elő a munkahelyen?
Mikä ammattiryhmä kohtaa eniten vaaroja?;Which occupational group faces the most dangers?;Mely foglalkozási csoport szembesül a legtöbb veszéllyel?
Millaisia vaaroja poliisit kohtaavat työpaikallaan?;What kinds of dangers do police men face at work?;Milyen veszélyekkel találkoznak a rendőrök a munkájukban?
Millaisia vaaroja rakennusmiehet kohtaavat?;What kinds of dangers do construction workers face?;Milyen veszélyek érik az építőmunkásokat?
Miten vaaroja voi estää työpaikalla?;How can dangers be prevented in the workplace?;Hogyan lehet megelőzni a veszélyeket a munkahelyen?
Millaisia vaaroja talvi tuo mukanaan?;What kind of dangers does winter bring?;Milyen veszélyeket hoz magával a tél?
