Finnish;English;Hungarian
Mihin aikaan heräät yleensä?;At what time do you usually wake up?;Mikor szoktál általában felébredni?
Mihin aikaan heräät arkipäivinä?;At what time do you wake up on workdays?;Hány órakor kelsz munkanapokon?
Mihin aikaan heräät viikonloppuna?;At what time do you wake up on the weekend?;Hány órakor kelsz a hétvégén?
Kuka tai mikä herättää sinut?;Who or what wakes you up?;Ki vagy mi ébreszt fel?
Kuinka monta tuntia saat yleensä nukuttua?;How many hours of sleep do you usually get?;Általában hány órát alszol?
Otatko aamulla lääkkeitä?;Do you take medications in the morning?;Szedsz gyógyszert reggel?
Käytkö aamulla suihkussa? Miksi? Miksi ei?;Do you shower in the morning? Why? Why not?;Reggel zuhanyozol? Miért? Miért nem?
Muistatko aina pestä hampaasi?;Do you always remember to brush your teeth?;Mindig emlékszel fogat mosni?
Pesetkö hampaat ennen aamiaista vai sen jälkeen?;Do you brush your teeth before or after breakfast?;Reggeli előtt vagy után mosod meg a fogaidat?
Mitä yleensä syöt aamulla?;What do you usually eat in the morning?;Mit szoktál reggel enni?
Juotko aamulla teetä tai kahvia?;Do you drink tea or coffee in the morning?;Iszol teát vagy kávét reggel?
Syötkö aamulla puuroa? Miksi? Miksi ei?;Do you eat porridge in the morning? Why? Why not?;Szoktál reggel zabkását enni? Miért? Miért nem?
Syötkö joka aamu samaa ruokaa?;Do you eat the same food every morning?;Minden reggel ugyanazt az ételt eszed?
Luetko sanomalehteä aamulla?;Do you read the newspaper in the morning?;Reggel olvasol újságot?
Onko aamurutiinisi aina samanlainen?;Is your morning routine always similar?;Mindig hasonló a reggeli rutinod?
Kuntoiletko tai venytteletkö aamulla?;Do you exercise or stretch in the morning?;Mozogsz vagy nyújtasz reggel?
Mitä muuta teet yleensä aamulla?;What else do you usually do in the morning?;Mit szoktál még csinálni reggel?
Mihin aikaan lähdet yleensä kotoa?;At what time do you usually leave home?;Hány órakor szoktál elindulni otthonról?
Miten aloitat päiväsi?;How do you start your morning?;Hogyan kezded a reggeled?
Kuvaile, millainen aamu olisi sinusta täydellinen!;Describe what you think would be the perfect morning!;Írd le, milyen lenne számodra a tökéletes reggel!
Miksi ihmisellä on hyvä olla aamurutiini?;Why is it good for people to have a morning routine?;Miért jó, ha van reggeli rutinja az embernek?
