Finnish;English;Hungarian
Nukutko sinä yleensä hyvin?;Do you usually sleep well?;Általában jól alszol?
Saatko yleensä tarpeeksi unta?;Do you usually get enough sleep?;Általában eleget alszol?
Kuinka monta tuntia nukut yleensä yöllä?;How many hours do you usually sleep at night?;Hány órát alszol általában éjjel?
Nukutko liian paljon?;Do you sleep too much?;Túl sokat alszol?
Nukutko liian vähän?;Do you sleep too little?;Túl keveset alszol?
Saatko tarpeeksi unta?;Do you get enough sleep?;Kapsz elég alvást?
Mihin aikaan menet yleensä nukkumaan?;At what time do you usually go to sleep?;Mikor szoktál általában lefeküdni?
Mihin aikaan heräät yleensä aamulla?;At which time do you usually wake up in the morning?;Mikor szoktál általában reggel felkelni?
Nukutko pitempään viikonloppuisin?;Do you sleep longer in the weekends?;Hétvégén tovább alszol?
Monelta heräät vapaapäivänä?;At what time do you wake up on a day off?;Hánykor kelsz szabadnapon?
Nukutko syvään?;Do you sleep deeply?;Mélyen alszol?
Tarvitsetko paljon unta?;Do you need a lot of sleep?;Sok alvásra van szükséged?
Heräätkö aamulla itsestäsi?;Do you wake up by yourself in the morning?;Magadtól felébredsz reggel?
Onko sinun helppo herätä aamuisin?;Is it easy for you to wake up in the mornings?;Könnyű neked reggel felkelni?
Tarvitsetko herätyskellon?;Do you need an alarm clock?;Szükséged van ébresztőórára?
Laitatko joka päivä herätyskellon soimaan?;Do you set an alarm every day?;Minden nap beállítod az ébresztőt?
Kuka tai mikä herättää sinut aamulla?;Who or what wakes you up in the morning?;Ki vagy mi ébreszt fel reggel?
Tarvitsetko aamulla kahvia herätäksesi?;Do you need coffee in the morning to wake you up?;Szükséged van reggel kávéra, hogy felébredj?
Heräätkö välillä yöllä?;Do you wake up occasionally at night?;Felébredsz néha éjjel?
Heräätkö helposti erilaisiin ääniin?;Do you easily wake up to different sounds?;Könnyen felébredsz különböző zajokra?
Kuinka monta kertaa heräät öisin keskimäärin?;How many times do you wake up at night on average?;Átlagosan hányszor ébredsz fel éjszaka?
Oletko aamunvirkku vai illanvirkku?;Are you morning person or a night owl?;Reggeli típus vagy éjjeli bagoly?
Oletko aamuvirkku vai iltavirkku?;Are you a morning person or a night owl?;Koránkelő vagy inkább éjjeli bagoly?
Oletko aamulla yleensä väsynyt?;Are you usually tired in the morning?;Általában fáradt vagy reggel?
Nukutko päiväunet?;Do you take naps?;Szoktál délutáni szundit aludni?
Nukahdatko helposti?;Do you fall asleep easily?;Könnyen elalszol?
Miten nopeasti nukahdat?;How quickly do you fall asleep?;Milyen gyorsan alszol el?
Mikä auttaa sinua nukahtamaan?;What helps you fall asleep?;Mi segít neked elaludni?
Nukahdatko helposti, kun katsot televisiota?;Do you easily fall asleep when you watch TV?;Könnyen elalszol, ha tévét nézel?
Nukahdatko helposti, kun luet kirjaa?;Do you easily fall asleep when you read a book?;Könnyen elalszol, ha könyvet olvasol?
Onko sinun hankalaa nukahtaa?;Do you have a hard time falling asleep?;Nehéz neked elaludni?
Mikä pitää sinut hereillä yöllä?;What keeps you awake at night?;Mi tart ébren éjszaka?
Mikä estää sinua nukkumasta tarpeeksi?;What prevents you from sleeping enough?;Mi akadályoz meg abban, hogy eleget aludj?
Onko sinun vaikeaa pysyä hereillä illalla?;Is it hard for you to stay awake in the evening?;Nehéz ébren maradnod este?
Onko tapanasi valvoa pitkään?;Are you in the habit of staying up late?;Szoktál sokáig fennmaradni?
Kuinka kauan olet yhtäjaksoisesti olla hereillä?;How long have you been continuously awake?;Meddig voltál megszakítás nélkül ébren?
Onko sinulla iltarutiini ennen nukkumaanmenoa?;Do you have an evening routine before going to bed?;Van esti rutinod lefekvés előtt?
Mitä teet iltaisin ennen nukkumaanmenoa?;What do you do in the evenings before bedtime?;Mit csinálsz este lefekvés előtt?
Luetko kirjaa ennen nukkumaanmenoaikaa?;Do you read a book before bedtime?;Olvasol könyvet lefekvés előtt?
Oletko illalla puhelimella?;Are you on your phone in the evening?;Este a telefonodon vagy?
Mitä teet, kun et saa unta?;What do you do when you can't sleep?;Mit csinálsz, ha nem tudsz aludni?
Juotko illalla kahvia?;Do you drink coffee in the evening?;Iszol kávét este?
Kärsitkö unettomuudesta?;Do you suffer from insomnia?;Szenvedsz álmatlanságtól?
Oletko koskaan kärsinyt unettomuudesta?;Have you ever suffered from insomnia?;Szenvedtél már valaha álmatlanságtól?
Oletko koskaan käyttänyt unilääkkeitä?;Have you ever used sleeping pills?;Használtál már altatót?
Käytätkö tällä hetkellä unilääkkeitä?;Do you use sleeping pills right now?;Használsz most altatót?
Käytätkö melatoniinia?;Do you use melatonin?;Szedtél/szedsz melatonint?
Kuinka suuri sänkysi on?;How big is your bed?;Mekkora az ágyad?
Nukutko täydessä pimeässä vai verhot auki?;Do you sleep in complete dark or with open curtains?;Teljes sötétben alszol vagy nyitott függönnyel?
Mitä sinulla on päälläsi, kun nukut?;What do you wear while sleeping?;Mit viselsz alvás közben?
Nukutko yksin vai jonkun kanssa?;Do you sleep alone or with someone?;Egyedül alszol vagy valakivel?
Millaisessa asennossa nukut?;In what position do you sleep?;Milyen testhelyzetben alszol?
Nukutko selälläsi / vatsallasi / kyljelläsi?;Do you sleep on your back / your stomach / your side?;Háton / hason / oldalt alszol?
Puhutko unissasi?;Do you talk in your sleep?;Beszélsz álmomban?
Kuorsaatko?;Do you snore?;Horkolsz?
Kuorsaako sinun kumppanisi?;Does your partner snore?;Horkol a párod?
Pystytkö nukkumaan bussissa tai lentokoneessa?;Are you able to sleep in a bus or airplane?;Tudsz buszon vagy repülőn aludni?
Nukutko usein pommiin?;Do you often oversleep?;Gyakran elalszol (túlalszol)?
Milloin nukuit viimeksi pommiin?;When did you last oversleep?;Mikor aludtál el utoljára?
Oletko koskaan nukahtanut koulussa?;Have you ever fallen asleep in school?;Elaludtál már valaha az iskolában?
Mikä on omituisin paikka, jossa olet nukkunut?;What's the weirdest place where you've slept?;Mi a legfurcsább hely, ahol aludtál?
Näetkö paljon unia?;Do you have a lot of dreams?;Sokat álmodsz?
Näetkö yleensä hyviä unia?;Do you usually have nice dreams?;Általában szép álmaid vannak?
Näetkö unta lentämisestä?;Do you dream of flying?;Szoktál repülésről álmodni?
Muistatko unesi usein?;Do you often remember your dreams?;Gyakran emlékszel az álmaidra?
Onko sinulla toistuvia unia?;Do you have recurring dreams?;Vannak visszatérő álmaid?
Näetkö usein unta samasta aiheesta?;Do you often have dreams about the same topic?;Gyakran álmodsz ugyanarról a témáról?
Näetkö painajaisia?;Do you have nightmares?;Vannak rémálmaid?
Näetkö aina samaa painajaista?;Do you often have the same nightmare?;Ugyanazt a rémálmot látod gyakran?
Kerro jostain näkemästäsi painajaisesta!;Talk about a nightmare you've had!;Mesélj egy rémálmodról!
Oletko nähnyt selkounia?;Have you had lucid dreams?;Volt már tudatos álmod?
Miksi ihmisten täytyy nukkua?;Why do people have to sleep?;Miért kell az embereknek aludniuk?
Mikä on nukkumisen tarkoitus?;What's the function of sleeping?;Mi az alvás célja?
Kuinka monta tuntia unta ihmisen pitäisi saada?;How many hours of sleep should a person get?;Hány órát kellene egy embernek aludnia?
Kuinka monta tuntia unta aikuinen tarvitsee?;How many hours of sleep does an adult need?;Hány óra alvásra van szüksége egy felnőttnek?
Tarvitsevatko kaikki ihmiset yhtä paljon unta?;Do all people need the same amount of sleep?;Minden embernek ugyanannyi alvásra van szüksége?
Miksi vauvat tarvitsevat niin paljon unta?;Why do babies need so much sleep?;Miért van szükségük a babáknak olyan sok alvásra?
Näkevätkö eläimet unia? Mistä ne näkevät unia?;Do animals dream? What do they have dreams of?;Álmodnak az állatok? Miről álmodnak?
Miksi näemme painajaisia?;Why do we get nightmares?;Miért látunk rémálmokat?
Pidätkö nukkumisesta?;Do you like sleeping?;Szeretsz aludni?
Onko nukkuminen sinusta ajanhukkaa?;Do you think sleeping is a waste of time?;Úgy gondolod, hogy az alvás időpocsékolás?
Mitkä eläimet nukkuvat talviunta?;Which animals hibernate?;Mely állatok alszanak téli álmot?
Voivatko unet tulla todeksi?;Can dreams come true?;Valóra válhatnak az álmok?
Millä tavoilla voidaan parantaa unen laatua?;In what ways can the quality of sleep be improved on?;Milyen módokon lehet javítani az alvás minőségén?
Auttaako lampaiden laskeminen nukahtamaan?;Does counting sheep help to fall asleep?;Segít-e az elalvásban a bárányok számolása?
Miksi kahvinjuonti ennen nukkumaanmenoa on pahaksi?;Why is drinking coffee before bedtime bad?;Miért rossz lefekvés előtt kávét inni?
Ovatko päiväunet aikuisille tarpeellisia?;Are naps necessary for adults?;Szükségesek a szunyókálások a felnőtteknek?
Millaisia vaikutuksia epäsäännöllisellä unirytmillä on?;What consequences does an irregular sleep cycle have?;Milyen következményei vannak a rendszertelen alvási ritmusnak?
Mitä tapahtuu, kun ihminen ei nuku tarpeeksi?;What happens when a person doesn't sleep enough?;Mi történik, ha az ember nem alszik eleget?
Millaisissa olosuhteissa on helpointa nukkua?;In what kind of circumstances is it easiest to sleep?;Milyen körülmények között a legkönnyebb aludni?
Pitäisikö kellojen siirtelystä luopua?;Should we abandon daylight saving time?;Fel kellene hagyni az óraátállítással?
