Finnish;English;Hungarian
Millainen ilma tänään on?;What is the weather like today?;Milyen az idő ma?
Millainen ilma oli eilen?;What was the weather like yesterday?;Milyen volt az idő tegnap?
Millainen ilma kotimaassasi on tänään?;What's the weather like in your home country today?;Milyen az idő a hazádban ma?
Mistä tiedät, millainen ilma huomenna on?;Do you know what the weather will be like tomorrow?;Honnan tudod, milyen idő lesz holnap?
Tykkäätkö sateesta? Miksi?;Do you like rain? Why?;Szereted az esőt? Miért?
Tykkäätkö lumesta? Miksi?;Do you like snow? Why?;Szereted a havat? Miért?
Pidätkö kuumasta vai kylmästä säästä?;Do you like hot or cold weather?;A meleget vagy a hideget kedveled inkább?
Miltä sinusta tuntuu, kun sataa vettä?;How do you feel when it rains?;Hogy érzed magad, amikor esik az eső?
Mitä tykkäät tehdä, kun aurinko paistaa?;What do you like to do when the sun is shining?;Mit szeretsz csinálni, amikor süt a nap?
Mitä tykkäät tehdä, kun sataa vettä?;What do you like to do when it rains?;Mit szoktál csinálni, amikor esik az eső?
Mitä tykkäät tehdä, kun sataa lunta?;What do you like to do when it snows?;Mit szeretsz csinálni, amikor havazik?
Sataako sinun kotimaassasi talvella lunta?;Does it snow in your home country in winter?;Esik hó a hazádban télen?
Montako astetta kotimaassasi on kesällä?;How many degrees is it in your country in summer?;Hány fok van nyáron a hazádban?
Tiedätkö paljon sääsanoja suomeksi?;Do you know many weather words in Finnish?;Ismersz sok időjárással kapcsolatos szót finnül?
Mitkä ovat Suomen vuodenajat?;What are the Finnish seasons?;Melyek Finnország évszakai?
Onko sinulla lempivuodenaikaa?;Do you have a favorite season?;Van kedvenc évszakod?
Millainen ilma Suomessa on keväällä?;What's the weather like in spring in Finland?;Milyen az idő tavasszal Finnországban?
Millainen ilma Suomessa on syksyllä?;What's the weather like in autumn in Finland?;Milyen az idő ősszel Finnországban?
Millainen ilma Suomessa on talvella?;What's the weather like in winter in Finland?;Milyen az idő télen Finnországban?
Millainen ilma Suomessa on kesällä?;What's the weather like in summer in Finland?;Milyen az idő nyáron Finnországban?
Millaisia vuodenajat ovat kotimaassasi?;What are the seasons like in your home country?;Milyenek az évszakok a hazádban?
Millaisia vaatteita käytät kesällä?;What kind of clothes do you use in summer?;Milyen ruhákat hordasz nyáron?
Millaisia vaatteita käytät talvella?;What kind of clothes do you use in winter?;Milyen öltözetet viselsz télen?
Pidätkö Suomen talvesta / kesästä?;Do you like Finland's winter / summer?;Szereted a finn telet / nyarat?
Luettele kuukausien nimet!;List the names of the months!;Sorold fel a hónapok neveit!
Milloin kotimaassasi sataa eniten?;When does it rain the most in your home country?;Mikor esik a legtöbb eső a hazádban?
Miten voi pysyä viileänä kesällä?;How can you stay cool in summer?;Hogyan lehet hűvösen maradni nyáron?
Syötkö eri ruokia kesällä kuin talvella?;Do you eat different foods in summer than in winter?;Más ételeket eszel nyáron, mint télen?
Miten voit suojata ihosi auringolta?;How can you protect your skin from the sun?;Hogyan védheted a bőrödet a naptól?
Käytätkö kesällä aurinkovoidetta?;Do you use sunscreen in summer?;Használsz naptejet nyáron?
Onko sinulla hyvä sadetakki ja sateenvarjo?;Do you have a good raincoat and umbrella?;Van jó esőkabátod és esernyőd?
Pelkäätkö hurrikaaneja ja tornadoja?;Are you afraid of hurricanes and tornadoes?;Félsz a hurrikánoktól és tornádóktól?
Onko sinun kotimaassasi hurrikaaneja?;Are there hurricanes in your home country?;Vannak hurrikánok a hazádban?
Mitä ulkona tehdään, kun aurinko paistaa?;What do people do outside when the sun is shining?;Mit csinálnak kint, amikor süt a nap?
Mitä ulkona tehdään, kun on talvi?;What do people do outside when it's winter?;Mit szokás kint tenni télen?
Mitä tehdään ulkona syksyllä?;What do people do outside in autumn?;Mit csinálnak ősszel a szabadban?
Mitä mieltä olet tämän päivän säästä?;What do you think of today's weather?;Mit gondolsz a mai időjárásról?
Tarkistatko aina sääennusteen? Miksi?;Do you always check the weather report? Why?;Mindig megnézed az időjárás-jelentést? Miért?
Luotatko sääennusteisiin?;Do you trust weather forecasts?;Megbízol az időjárás-előrejelzésekben?
Ymmärrätkö kaikki säämerkit ennustekartoissa?;Do you understand all the symbols on forecast maps?;Érted az összes jelet az előrejelző térképeken?
Vaikuttaako sää tunteisiisi?;Does the weather affect your emotions?;Hatással van az időjárás az érzelmeidre?
Miten sää vaikuttaa sinun mielialaasi?;How does the weather affect your mood?;Hogyan befolyásolja az idő a hangulatodat?
Oletko perunut suunnitelmia sään takia?;Have you canceled plans due to the weather?;Lemondtál már terveket az időjárás miatt?
Miten valmistaudut huonoon säähän?;How do you prepare for bad weather?;Hogyan készülsz fel a rossz időre?
Oletko ollut ulkona myrskyssä? Miltä se tuntuu?;Have you been outside in a storm? How did that feel?;Voltál már kint viharban? Milyen érzés volt?
Oletko koskaan tanssinut kaatosateessa?;Have you ever danced in the pouring rain?;Táncoltál már szakadó esőben?
Mitä tarkoitetaan käsitteellä "musta joulu"?;What is meant by the term "musta joulu"?;Mit jelent a „fekete karácsony" kifejezés?
Mitä tarkoitetaan sanalla "kaamosmasennus"?;What is meant by the term "kaamosmasennus"?;Mit jelent a „téli depresszió" szó?
Mitä tarkoitetaan sanalla "takatalvi"?;What is meant by the term "takatalvi"?;Mit jelent a „visszatérő tél" kifejezés?
Miksi eri maissa on erilainen sää?;Why is the weather different in different countries?;Miért különbözik az időjárás az egyes országokban?
Miksi hurrikaaneille annetaan nimi?;Why do we give names to hurricanes?;Miért adunk nevet a hurrikánoknak?
Miksi hurrikaaneille annetaan aina naisen nimi?;Why do we always give a woman's name to hurricanes?;Miért adnak régebben mindig női nevet a hurrikánoknak?
Mikä olisi mielestäsi kiva nimi hurrikaanille?;What do you think would be a nice name for a hurricane?;Szerinted mi lenne egy jó név egy hurrikánnak?
Olisiko sinusta kivaa työskennellä meteorologina?;Would you like to work as a meteorologist?;Szeretnél meteorológusként dolgozni?
Onko kotimaassasi usein sääkatastrofeja?;Are there often weather disasters in your home country?;Gyakoriak az időjárási katasztrófák a hazádban?
Millä tavoin sää vaikuttaa liikenteeseen?;In what ways does the weather affect traffic?;Milyen módon hat az időjárás a közlekedésre?
Mihin ammatteihin sää vaikuttaa voimakkaasti?;Which occupations are strongly affected by the weather?;Mely szakmákat befolyásolja erősen az időjárás?
Missäpäin maailmaa on mielestäsi paras sää?;Where in the world do you think the weather is best?;Szerinted a világ mely részén a legjobb az idő?
Miksi ihmisten mielipiteet säästä vaihtelevat?;Why do people's opinions about the weather differ?;Miért különbözik az emberek véleménye az időjárásról?
Ovatko talvet nyt erilaisia kuin ennen? Miten?;Are winters different now than before? How?;Mások a telek most, mint régen? Hogyan?
Onko sää mielestäsi hyvä keskustelunaihe?;Do you think the weather is a good topic to talk about?;Szerinted jó beszédtéma az időjárás?
Miten eläimet sopeutuvat sääolosuhteisiin?;How do animals adapt to weather conditions?;Hogyan alkalmazkodnak az állatok az időjárási körülményekhez?
Miten helleaalto vaikuttaa ympäristöön?;How does a heat wave affect the environment?;Hogyan hat a hőhullám a környezetre?
Miten vuodenajat vaikuttavat maanviljelyyn?;How do the seasons affect farming?;Miként befolyásolják az évszakok a mezőgazdaságot?
