Finnish;English;Hungarian
Milloin koulu alkaa?;When does school start?;Mikor kezdődik az iskola?
Koulu alkaa kello viisi.;School starts at five o'clock.;Az iskola öt órakor kezdődik.
Koulu alkaa maanantaina.;School starts on Monday.;Az iskola hétfőn kezdődik.
Koulu alkaa viikon päästä.;School starts in a week.;Az iskola egy hét múlva kezdődik.
Koulu alkaa syyskuussa.;School starts in September.;Az iskola szeptemberben kezdődik.
Koulu alkaa ensi vuonna.;School starts next year.;Az iskola jövőre kezdődik.
Milloin koulu alkoi?;When did school start?;Mikor kezdődött az iskola?
Koulu alkoi kello viisi.;School started at five o'clock.;Az iskola öt órakor kezdődött.
Koulu alkoi maanantaina.;School started on Monday.;Az iskola hétfőn kezdődött.
Koulu alkoi viikko sitten.;School started a week ago.;Az iskola egy hete kezdődött.
Koulu alkoi syyskuussa.;School started in September.;Az iskola szeptemberben kezdődött.
Koulu alkoi viime vuonna.;School started last year.;Az iskola tavaly kezdődött.
Mihin aikaan / Moneltako koulu alkaa?;At what time does school start?;Hány órakor kezdődik az iskola?
Koulu alkaa kello 8:00.;School starts at 8:00.;Az iskola nyolc órakor kezdődik.
Mihin aikaan heräsit?;At what time did you wake up?;Hány órakor keltél fel?
Heräsin kello 7:30.;I woke up at 7:30.;Fél nyolckor keltem.
Mihin aikaan koulu loppui?;At what time did school finish?;Hány órakor ért véget az iskola?
Koulu loppui kello 14:45.;School finished at 14:45.;Az iskola háromnegyed háromkor ért véget.
Mihin aikaan tulet?;At what time will you come?;Mikor jössz?
Tulen kello 8:20.;I will come at 8:20.;Nyolc óra húszkor jövök.
Koulu alkaa kahdeksalta.;School starts at eight o'clock.;Az iskola nyolckor kezdődik.
Moneltako heräät aamulla?;At what time do you wake up in the morning?;Hánykor kelsz reggel?
Herään puoli kuudelta.;I wake up at half past five.;Fél hatkor kelek.
Moneltako koulu loppui?;At what time did school end?;Hánykor ért véget az iskola?
Koulu loppui puoli viideltä.;School ended at half past four.;Fél ötkor ért véget az iskola.
Moneltako heräsit eilen?;At what time did you wake up yesterday?;Hánykor keltél fel tegnap?
Heräsin eilen kymmeneltä.;I woke up yesterday at ten o'clock.;Tegnap tízkor keltem.
Oletko koskaan sukeltanut?;Have you ever dived?;Búvárkodtál már valaha?
En ole.;I haven't.;Nem.
Oletko koskaan hiihtänyt?;Have you ever skied?;Síeltél már valaha?
En ole vielä.;Not yet.;Még nem.
Oletko koskaan hitsannut?;Have you ever welded?;Hegesztettél már?
Olen! Hitsasin työkseni.;Yes! I welded for work.;Igen! Munkaként hegesztettem.
Oletko koskaan ollut kolarissa?;Have you ever been in a car accident?;Voltál már balesetben?
Joo, lapsena kaksi kertaa.;Yes, twice as a child.;Igen, gyerekkoromban kétszer.
Milloin uit viimeksi?;When did you last swim?;Mikor úsztál utoljára?
Viikko sitten.;A week ago.;Egy hete.
Kaksi kuukautta sitten.;Two months ago.;Két hónapja.
Viime kesänä.;Last summer.;Tavaly nyáron.
Aikoja sitten.;A long time ago.;Régen.
Kuinka usein käyt kuntosalilla?;How often do you go to the gym?;Milyen gyakran jársz edzőterembe?
Päivittäin.;Daily.;Naponta.
Kerran viikossa.;Once a week.;Hetente egyszer.
Kerran kuussa.;Once a month.;Havonta egyszer.
Joka toinen päivä.;Every other day.;Minden másnap.
Joka päivä.;Every day.;Minden nap.
Kaksi kertaa viikossa.;Twice a week.;Hetente kétszer.
Kuinka kauan tämä jatkuu?;How long will this continue?;Meddig folytatódik ez?
Viikon.;For a week.;Egy hétig.
Kolme kuukautta.;For three months.;Három hónapig.
Torstaihin saakka.;Until Thursday.;Csütörtökig.
Ensi maanantaihin asti.;Until next Monday.;Jövő hétfőig.
Kuinka pitkään olet ollut sairaana?;How long have you been sick?;Mióta vagy beteg?
Kaksi viikkoa.;For two weeks.;Két hete.
Kuinka pitkään tämä kestää?;How long will this last?;Meddig tart ez?
Kolme päivää.;For three days.;Három napig.
Kuinka pitkään olet lomalla?;How long are you on vacation?;Meddig vagy szabadságon?
Neljä viikkoa.;Four weeks.;Négy hétig.
Kuinka pitkään kukat säilyvät?;How long do the flowers last?;Meddig maradnak meg a virágok?
Kuukausia.;For months.;Hónapokig.
Miksi ajaksi vuokrasitte mökin?;For how long did you rent the cottage?;Mennyi időre béreltétek a házat?
Neljäksi päiväksi.;For four days.;Négy napra.
Kuinka pitkäksi ajaksi matkustit?;For how long did you travel?;Mennyi időre utaztál el?
Viideksi viikoksi.;For five weeks.;Öt hétre.
Miksi ajaksi sait asumistukea?;For how long did you get housing support?;Mennyi időre kaptál lakhatási támogatást?
Kahdeksi vuodeksi.;For two years.;Két évre.
Kuinka moneksi viikoksi haluat lähteä lomalle?;For how many weeks do you want to go on vacation?;Hány hétre akarsz nyaralni menni?
Neljäksi viikoksi.;For four weeks.;Négy hétre.
Kuinka moneksi vuodeksi opiskelusi jatkuvat vielä?;For how many years will your studies continue?;Hány évig folytatódnak még a tanulmányaid?
Viideksi vuodeksi.;For five years.;Öt évig.
Kuinka moneksi tunniksi tarvitset muuttoauton?;For how many hours do you need the moving truck?;Hány órára van szükséged a költöztetőautóra?
