Finnish;English;Hungarian
viikolla;on the week;a héten
keväällä;in (the) spring;tavasszal
kesällä;in (the) summer;nyáron
syksyllä;in (the) autumn;ősszel
talvella;in (the) winter;télben
aamulla;in the morning;reggel
iltapäivällä;in the afternoon;délután
illalla;in the evening;este
yöllä;at night;éjjel
luvulla;in the decade / century;az évtizedben / században
viime viikolla;last week;múlt héten
tällä viikolla;this week;ezen a héten
keskitalvella;in midwinter;középtélen
1990-luvulla;in the 1990s;az 1990-es években
tällä vuosisadalla;in this century;ebben a században
maanantaina;on Monday;hétfőn
tiistaina;on Tuesday;kedden
keskiviikkona;on Wednesday;szerdán
torstaina;on Thursday;csütörtökön
perjantaina;on Friday;pénteken
aamuna;on the morning;(meghatározott) reggel
iltana;on the evening;(konkrét) este
vuonna;in the year;évben
jouluna;at Christmas;karácsonykor
pääsiäisenä;at Easter;húsvétkor
ensi maanantaina;next Monday;jövő hétfőn
viime keskiviikkona;last Wednesday;múlt szerdán
tänä keväänä;this spring;idén tavasszal
ensi yönä;next night;holnap éjjel
viime vuonna;last year;tavaly
uutena vuotena;on New Year's;szilveszterkor
tammikuussa;in January;januárban
helmikuussa;in February;februárban
maaliskuussa;in March;márciusban
tässä kuussa;this month;ebben a hónapban
kuukaudessa;in a month;egy hónapban
viikossa;in a week;egy héten
vuodessa;in a year;egy évben
kerran viikossa;once a week;hetente egyszer
kaksi kertaa päivässä;twice a day;naponta kétszer
valmistuin kolmessa vuodessa;I graduated in three years;három év alatt végeztem
saat tulokset kahdessa viikossa;you'll get the results in two weeks;két hét alatt megkapod az eredményeket
viikkoon;into the week;a hétig
aamuun;into the morning;reggelig
kesään;into the summer;nyárig
vuoteen;into the year;évig
ensi viikkoon asti;until next week;jövő hétig
elokuuhun asti;until August;augusztusig
torstaihin (mennessä);by Thursday;csütörtökig
vuoteen 2030 mennessä;by the year 2030;2030-ig
en nukkunut viikkoon;I haven't slept for a week;egy hete nem aludtam
maanantaista perjantaihin;from Monday to Friday;hétfőtől péntekig
päivän;the whole day;egész nap
illan;the whole evening;egész este
vuoden;the whole year;egész év
jälkeen;after;után
aikana;during;alatt
päästä, kuluttua;in (time from now);múlva
maissa;around (time);körül
koko yön;the whole night;egész éjjel
kolmen viikon jälkeen;after three weeks;három hét után
kesän aikana;during the summer;nyár folyamán
kahden viikon päästä;in two weeks;két hét múlva
kolmen maissa;around three o'clock;három óra körül
päiväksi;for (a) day;egy napra
viikoksi;for (a) week;egy hétre
vuodeksi;for (a) year;egy évre
perjantaiksi;by Friday;péntekre
viideksi päiväksi;for five days;öt napra
neljäksi viikoksi;for four weeks;négy hétre
tule puoli neljäksi;come by half past three;gyere fél négyre
palauta se perjantaiksi;return it by Friday;add vissza péntekre
joka ilta;every evening;minden este
joka maanantai;every Monday;minden hétfőn
joka vuosi;every year;minden évben
viikko sitten;a week ago;egy hete
kuukausi sitten;a month ago;egy hónapja
vuosi sitten;a year ago;egy éve
tunti sitten;an hour ago;egy órája
