Finnish;English;Hungarian
Monesko päivä tänään on?;What is the date today?;Mi a mai dátum?
Monesko päivä palaat töihin?;What date do you return to work?;Melyik napon mész vissza dolgozni?
Monentenako päivänä palaat?;On what date do you return?;Hanyadikán jössz vissza?
Milloin lomasi loppuu?;When does your vacation end?;Mikor ér véget a szabadságod?
Onko tänään viides vai kuudes?;Is it the fifth or the sixth today?;Ma ötödike vagy hatodika van?
Minä päivänä työharjoittelusi loppuu?;On what day does your work practice end?;Melyik napon ér véget a szakmai gyakorlatod?
seitsemästoista tammikuuta;17th of January;Január tizenhetedike
viidestoista helmikuuta;15th of February;Február tizenötödike
kahdeskymmenesensimmäinen maaliskuuta;21st of March;Március huszonegyedike
kymmenes huhtikuuta;10th of April;Április tizedike
ensimmäinen toukokuuta;1st of May;Május elseje
kahdeskymmenesneljäs kesäkuuta;24th of June;Június huszonnegyedike
yhdestoista heinäkuuta;11th of July;Július tizenegyedike
viides elokuuta;5th of August;Augusztus ötödike
kahdeskymmenes syyskuuta;20th of September;Szeptember huszadika
kolmaskymmenes lokakuuta;30th of October;Október harmincadika
toinen marraskuuta;2nd of November;November másodika
kuudes joulukuuta;6th of December;December hatodika
Olen lomalla ensimmäisestä maaliskuuta kahdenteenkymmenenteenkahdeksanteen maaliskuuta.;I am on vacation from the 1st of March until the 28th of March.;Március elsejétől huszonnyolcadikáig szabadságon vagyok.
Minun lomani alkaa ensimmäinen maaliskuuta ja loppuu kahdeskymmeneskahdeksas maaliskuuta.;My vacation starts on the 1st of March and ends on the 28th of March.;A szabadságom március elsején kezdődik és huszonnyolcadikán ér véget.
Minä lähden lomalle ensimmäinen maaliskuuta ja tulen takaisin kahdeskymmeneskahdeksas maaliskuuta.;I go on vacation on the 1st of March and return on the 28th of March.;Március elsején megyek szabadságra és huszonnyolcadikán jövök vissza.
Kauppa on suljettu 1.9. alkaen.;The shop is closed from the 1st of September.;Az üzlet szeptember elsejétől zárva van.
24. kesäkuuta alkaen hinnat nousevat.;From the 24th of June, prices will rise.;Június huszonnegyedikétől emelkednek az árak.
Olemme lomalla 6.12. lähtien.;We are on vacation starting from the 6th of December.;December hatodikától szabadságon vagyunk.
3. maaliskuuta lähtien aikatauluihin tulee muutoksia.;From the 3rd of March, there will be changes in the schedules.;Március harmadikától változások lesznek a menetrendben.
Olen lomalla 12.8. asti.;I am on vacation until the 12th of August.;Augusztus tizenkettedikéig szabadságon vagyok.
Kesä jatkuu 23. elokuuta asti.;Summer lasts until the 23rd of August.;A nyár augusztus huszonharmadikáig tart.
Kirjat täytyy palauttaa 14.5. mennessä.;The books must be returned by the 14th of May.;A könyveket május tizennegyedikéig vissza kell hozni.
10. kesäkuuta mennessä minun pitää olla valmis.;I must be ready by the 10th of June.;Június tizedikéig készen kell lennem.
