Finnish;English;Hungarian
Mikä vuosi nyt on?;What year is it now?;Milyen év van most?
Minä vuonna tämä tapahtui?;What year did this happen?;Melyik évben történt ez?
Minä vuosina työskentelit Suomessa?;During what years did you work in Finland?;Mely években dolgoztál Finnországban?
Mihin vuoteen asti tietyöt jatkuvat?;Until what year do the roadworks continue?;Meddig az évig tartanak az útépítések?
Mistä vuodesta lähtien olet opiskellut suomea?;Starting from what year have you been studying Finnish?;Melyik évtől kezdve tanultál finnül?
Ystäväni kuoli viime vuonna.;My friend died last year.;A barátom tavaly meghalt.
Ystäväni kuoli vuosi sitten.;My friend died a year ago.;A barátom egy éve halt meg.
Lapseni syntyi kaksi vuotta sitten.;My child was born two years ago.;A gyermekem két éve született.
Opin tämän jo monta vuotta sitten.;I learned this many years ago already.;Ezt már sok évvel ezelőtt megtanultam.
Kävin siellä muutama vuosi sitten.;I went there a few years ago.;Néhány éve jártam ott.
Olet viime vuosina edistynyt hirveästi.;You've improved a lot over the last few years.;Az utóbbi években rengeteget fejlődtél.
Hän muutti Suomeen toissa vuonna.;He moved to Finland the year before last.;Két éve költözött Finnországba.
John on asunut Suomessa vuodesta 2017.;John has lived in Finland from the year 2017.;John 2017 óta él Finnországban.
Olen asunut Suomessa yhden vuoden.;I've lived in Finland for a year.;Egy évig éltem Finnországban.
Olen asunut Suomessa kaksi vuotta.;I've lived in Finland for two years.;Két éve élek Finnországban.
Olen asunut Suomessa puolitoista vuotta.;I've lived in Finland for a year and a half.;Másfél éve élek Finnországban.
Äänestin ennakkoon vuonna 2019.;I voted in advance in the year 2019.;2019-ben előre szavaztam.
Opiskelin ulkomailla vuosina 2015-2020.;I studied abroad in the years 2015-2020.;2015 és 2020 között külföldön tanultam.
Paul oppi paljon suomea vuoden aikana.;Paul learned a lot of Finnish during the year.;Paul sokat tanult finnül az év során.
Viime vuoden aikana meillä oli paljon haasteita.;During the last year we had many challenges.;Az elmúlt évben sok kihívásunk volt.
Viime vuosien aikana on tapahtunut kaikenlaista.;A lot has happened during the last years.;Az elmúlt években sok minden történt.
Se on saatu aikaan viiden viime vuoden aikana.;It was achieved during the last five years.;Az elmúlt öt év alatt érték el.
Viimeisten viiden vuoden aikana…;During the last five years…;Az elmúlt öt év során…
Viimeisen parin vuoden aikana…;During the last few years.;Az elmúlt pár évben…
Siitä on monta vuotta, että tapasimme.;It's been many years since we met.;Sok éve találkoztunk.
Näin on ollut viime vuodesta lähtien.;That's how it's been since last year.;Tavaly óta így van.
Tänä vuonna on satanut hirveästi lunta.;It has snowed a lot this year.;Idén rengeteg hó esett.
Kävin Oulussa kerran tämän vuoden aikana.;I went to Oulu once during this year.;Ebben az évben egyszer jártam Ouluban.
Haluan laihtua vähän kuluvana vuotena.;I want to lose some weight during the current year.;Szeretnék egy kicsit lefogyni ebben az évben.
Olen oppinut paljon tämän vuoden aikana.;I've learned a lot during this year.;Sokat tanultam ebben az évben.
Ensi vuonna on presidenttivaalit.;The presidential elections are next year.;Jövőre elnökválasztások lesznek.
Vuonna 2050 asumme kaikki avaruudessa.;In the year 2050 we will all live in space.;2050-ben mindannyian az űrben fogunk élni.
Aki valmistuu vuoden päästä / kuluttua.;Aki will graduate a year from now.;Aki egy év múlva végez.
Aki valmistuu muutaman vuoden päästä.;Aki will graduate a couple of years from now.;Aki néhány év múlva végez.
Kari valmistuu kahden vuoden päästä / kuluttua.;Kari will graduate two years from now.;Kari két év múlva végez.
Puolen vuoden kuluttua asiat paranevat.;Half a year from now things will get better.;Fél év múlva jobbra fordulnak a dolgok.
Tulevina vuosina Suomi rikastuu.;In the coming years Finland will get richer.;A következő években Finnország gazdagodni fog.
Tulevien vuosien aikana Suomi tuhoutuu.;During the coming years Finland will be destroyed.;A következő években Finnország elpusztul.
Ymmärsin kahden vuoden jälkeen.;I only understood after two years.;Két év után értettem meg.
Tee se vuoden loppuun mennessä!;Do it by the end of the year!;Csináld meg az év végéig!
Hän odotti vuoden loppuun asti.;He waited until the end of the year.;Az év végéig várt.
Ensi vuoden alkupuolella valmistun.;At the beginning of next year I will graduate.;Jövő év elején végzek.
Ensi vuoden alussa sääntö muuttuu.;At the beginning of next year the rule will change.;Jövő év elején megváltozik a szabály.
Ensi vuoden elokuussa päätös tehdään.;In August of next year the decision will be made.;Jövő év augusztusában hozzák meg a döntést.
Ensi vuoden päätökset ovat ratkaisevia.;The decisions of next year will be crucial.;A jövő évi döntések döntőek lesznek.
Hän matkustaa vasta ensi vuoden puolella.;He will travel only (on the side of) next year.;Csak jövőre fog utazni.
Se muutetaan kahden vuoden kuluessa.;They will change it in two years' time.;Két éven belül megváltoztatják.
Hän on ollut ahkera koko vuoden.;He's worked hard the whole year.;Egész évben szorgalmas volt.
Mietin samaa asiaa vuodesta toiseen.;I think about the same thing from year to year.;Évről évre ugyanarra gondolok.
Paljon on tapahtunut vuoden aikana.;A lot has happened during the year.;Sok minden történt az év során.
Tästä on monen vuoden ajan keskusteltu.;This has been discussed during many years.;Erről már sok éve folyik a vita.
Hän oli kahdessa vuodessa oppinut kaiken.;He had learned everything in two years.;Két év alatt mindent megtanult.
Kahden vuoden ajassa rakensin talon.;In the course of two years I built the house.;Két év alatt felépítettem a házat.
Hän on oppinut paljonvuosien varrella.;She has learned all kinds of things over the years.;Sokat tanult az évek során.
Vuosien saatossa vuokrat ovat nousseet.;Over the years the rents have gotten higher.;Az évek során a bérleti díjak emelkedtek.
Sain sen tehtyä vajaassa kahdessa vuodessa.;I finished it in less than two years.;Kevesebb mint két év alatt megcsináltam.
Matkustan joka vuosi kotimaahani.;I travel to my home country every year.;Minden évben hazautazom.
Olen kahden vuoden ajan pitänyt lukua asiasta.;I have tracked it during the time of two years.;Két éve vezetem a nyilvántartást erről.
Anna muuttaa Englantiin kahdeksi vuodeksi.;Anna moves to England for two years.;Anna két évre Angliába költözik.
Timo on taistellut jo kahden vuoden ajan.;Timo has been struggling for two years already.;Timo már két éve küzd.
Asuin Kanadassa vuodesta 1992 vuoteen 1995.;I lived in Canada from 1992 to 1995.;1992-től 1995-ig éltem Kanadában.
Vuosien 2016 ja 2018 välillä se väheni.;It decreased between the years 2016 and 2018.;2016 és 2018 között csökkent.
En oppinut mitään näiden vuosien aikana.;I didn't learn anything during those years.;Semmit sem tanultam azokban az években.
