Finnish;English;hungarian
hotelliemäntä;hotel hostess;háziasszony
hyttisiivooja;cabin cleaning lady;kabintisztító
junamatkustaja;train traveler;vasúti utas
junatarjoilija;train waiter;edző
kapteeni;captain;kapitány
laivamatkustaja;sea traveler;komputra utazó
lentoemäntä;stewardess;stewardess
lentomatkustaja;air traveler;légi utazó
matkustaja;traveler, passenger;utas
matkailuvirkailija;travel clerk;turisztikai tiszt
matkaopas;travel guide;útmutató
turisti;tourist;turista
vastaanottovirkailija;receptionist;recepciós
aurinkokansi;sun deck;napfény
autokansi;car deck;autófedélzet
autolautta;car ferry;autós komp
hytti;cabin;kabin
hätäkutsu;Mayday;sürgősségi hívás
kansi;deck;takar
kansituoli;deck chair;nyugágy
laiva, vene;ship, boat;hajó
laivaannousu;embarkment;emelkedik
laivalippu;boat ticket;hajójegy
matkustaa;to travel;utazási
merisairas;seasick;tenger
miehistö;crew;legénység
myrsky;storm;vihar
nousta laivaan;to embark;felszáll egy hajóra
nousta maihin;to go ashore;föld
pelastusvene;life boat;mentőcsónak
paketti;package;csomag
poistua laivasta;to disembark;kijárat
purjehtia;to sail;vitorla
risteily;cruise;hajókázás
risteilyalus;cruise ship;hajózási vonalhajózás
reitti;route;útvonal
portti, satama;port, harbor;kikötő
terminaali;terminal;terminál
upota;to sink;mosogató
bussipysäkki;bus stop;buszmegálló
ilmastointi;air conditioning;légkondicionálás
kaksikerroksinen bussi;double decker;kétszórás busz
linja-auto;bus;busz
linja-autoasema;bus station;busz végállomás
maksu;fare;fizetés
matkatavaratila;baggage compartment;poggyász tároló
huippunopea juna;high speed train;nagysebességű vonat
ikkunapaikka;seat next to the window;ablakmelletti ülés
istumapaikka;seat;ülés
junalippu;train ticket;vonatjegy
kahvilavaunu;buffet car;kávéház
käytävä;aisle;folyosó
käytäväpaikka;aisle seat;folyosó melletti ülés
laituri;platform, track, pier, dock;móló
lähtö;departure;indulás
meno-paluulippu;return ticket;Egy menettérti jegyet kérek
paikallisjuna;local train;helyi vonat
pikajuna;express train;expressz
rautatieasema, juna-asema;train station;Vasútállomás, vasútállomás
ravintolavaunu;restaurant car;étterem kocsi
vaunu;carriage;kocsi
yhteys;connection;érintkezés
Atlantin ylilento;transatlantic flight;Atlanti túlcsordulás
henkilöllisyystodistus;identity card;Személyazonosság
kotimaanlento;domestic flight;belföldi járat
käsimatkatavara;hand luggage;kézi poggyász
laajarunkoinen kone;jumbo jet;széles keret
lennonjohto;air traffic control;légiforgalmi irányítás
lento;flight;repülési
lentoaika;flight time;repülési idő
lentoasema;airport;repülőtér
lentokenttä;airfield;repülőtér mező
lentokonekaappaus;aircraft hijacking;repülőgép -elfogás
lentolippu;plane ticket;repülőjegy
lentopahoinvointi;air-sickness;légi hányinger
lentopelko;fear of flying;légi félelem
lentoterminaali;air terminal;légi termelő
lentoyhtiö;airline;hordozó
lähtöselvitys;check-in;Check -in
matkatavarat;carry-on luggage;poggyász
matkustaa ulkomaille;to go abroad;Utazás külföldre
metallinpaljastin;metal detector;fémdetektor
odotushalli;departure lounge;várócsarnok
olla ulkomailla;to be abroad;légy külföldön
pakkolasku;emergency landing;erőltetett számla
paluulento;return flight;visszatérő repülés
passi;passport;útlevél
passintarkastus;passport control;útlevél -ellenőrzés
pelastusliivi(t);life-jacket;mentőmellény
peruutusmaksu;cancellation fee;lemondási díj
poistumistiet;safety exits;vészkijárat
raja;border;határ
reittilento;scheduled flight;tervezett járat
saapuminen;arrival;érkezés
suihkukone;jet plane;sugárhajtású
tarkastuspiste;checkpoint;ellenőrző pont
tilauskone;charter airplane;bérbeadás
tilauslento, charter-lento;charter flight;charter repülés, charter járat
tullata;to declare;kijelent
tulli;customs;vám
tullivirkaijlija;customs officer;vámtisztviselő
turvavyö, istuinvyö;seatbelt, safety belt;biztonsági öv
ulkomaanlento;international flight;külföldön
viisumi;visa;Visa
